date, pm25, pm10, o3, no2, so2, co
2020/7/2, 94, 53, , 8, 3, 9
2020/7/3, 141, , , , , 
2020/6/2, 84, 78, , 13, 1, 6
2020/6/3, 102, 180, , 16, 2, 7
2020/6/4, 145, 101, , 18, 5, 13
2020/6/5, 97, 38, , 14, 6, 7
2020/6/6, 57, 41, , 15, 7, 8
2020/6/7, 89, 74, , 21, 5, 10
2020/6/8, 125, 71, , 10, 2, 5
2020/6/9, 103, 73, , 15, 4, 7
2020/6/10, 133, 70, , 12, 1, 9
2020/6/11, 142, 72, , 14, 4, 9
2020/6/12, 153, 54, , 13, 3, 11
2020/6/13, 119, 67, , 12, 3, 11
2020/6/14, 136, 16, , 8, , 2
2020/6/15, 34, 43, , 15, 3, 5
2020/6/16, 72, 61, , 14, 5, 7
2020/6/17, 97, 40, , 6, , 4
2020/6/18, 58, 40, , 7, 1, 6
2020/6/19, 89, 41, , 11, 1, 6
2020/6/20, 92, 50, , 8, 2, 6
2020/6/21, 104, 54, , 8, 1, 7
2020/6/22, 110, 52, , 9, 2, 6
2020/6/23, 99, 49, , 10, 2, 6
2020/6/24, 92, 47, , 8, 1, 7
2020/6/25, 94, 31, , 6, 1, 4
2020/6/26, 69, 46, , 10, 2, 11
2020/6/27, 118, 53, , 8, 1, 8
2020/6/28, 161, 35, , 9, 2, 6
2020/6/29, 105, 49, , 18, 5, 8
2020/6/30, 107, 27, , 8, 1, 4
2020/7/1, 88, 41, , 7, 1, 4
2020/5/2, 141, 59, , 8, 3, 6
2020/5/3, 127, 37, , 12, 2, 5
2020/5/4, 90, 45, , 11, 2, 5
2020/5/5, 86, 47, , 12, 2, 5
2020/5/6, 120, 65, , 23, 6, 10
2020/5/7, 153, 65, , 25, 4, 11
2020/5/8, 157, 9, , 10, 1, 6
2020/5/9, 86, 36, , 11, 2, 7
2020/5/10, 123, 56, , 9, 2, 5
2020/5/11, 80, 40, , 9, 1, 2
2020/5/12, 59, 68, , 6, 1, 2
2020/5/13, 85, 93, , 17, 5, 7
2020/5/14, 130, 64, , 11, 3, 6
2020/5/15, 104, 47, , 12, 2, 7
2020/5/16, 118, 55, , 13, , 7
2020/5/17, 127, 72, , 16, 2, 6
2020/5/18, 92, 54, , 11, 2, 2
2020/5/19, 61, 44, , 17, 4, 4
2020/5/20, 65, 67, , 20, 6, 9
2020/5/21, 152, 53, , 16, 3, 10
2020/5/22, 153, 29, , 10, 2, 9
2020/5/23, 79, 27, , 13, 2, 6
2020/5/24, 26, 27, , 15, 2, 4
2020/5/25, 55, 50, , 20, 5, 10
2020/5/26, 78, 42, , 12, 2, 7
2020/5/27, 104, 26, , 12, 3, 5
2020/5/28, 51, 54, , 17, 6, 6
2020/5/29, 81, 83, , 23, 5, 11
2020/5/30, 143, 57, , 10, 2, 7
2020/5/31, 89, 33, , 8, , 5
2020/6/1, 54, 62, , 15, 2, 7
2020/4/2, 79, 44, , 10, 3, 5
2020/4/3, 105, 42, , 13, 3, 5
2020/4/4, 108, 123, , 10, 3, 4
2020/4/5, 77, 56, , 16, 8, 4
2020/4/6, 89, 95, , 22, 7, 9
2020/4/7, 163, 66, , 17, 4, 7
2020/4/8, 104, 51, , 20, 8, 8
2020/4/9, 73, 35, , 9, 6, 5
2020/4/10, 73, 48, , 12, 2, 4
2020/4/11, 127, 42, , 16, 3, 4
2020/4/12, 97, 58, , 18, 3, 5
2020/4/13, 90, 67, , 23, 6, 7
2020/4/14, 128, 72, , 21, 6, 9
2020/4/15, 162, 63, , 14, 7, 8
2020/4/16, 150, 70, , 9, 3, 8
2020/4/17, 130, 49, , 12, 1, 4
2020/4/18, 97, 63, , 17, 3, 6
2020/4/19, 156, 65, , 11, 3, 6
2020/4/20, 155, 27, , 5, 1, 2
2020/4/21, 50, 33, , 6, 1, 2
2020/4/22, 43, 24, , 5, 1, 
2020/4/23, 53, 23, , 8, 1, 1
2020/4/24, 45, 63, , 11, 3, 3
2020/4/25, 88, 55, , 8, 2, 3
2020/4/26, 72, 48, , 12, 3, 5
2020/4/27, 82, 63, , 20, 5, 9
2020/4/28, 146, 71, , 14, 6, 8
2020/4/29, 149, 67, , 13, 4, 11
