"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"5076",369,"baotou","2019/4/2",76,61,49,23,10,11,2019-04-02
"5077",370,"baotou","2019/4/3",114,85,50,34,23,21,2019-04-03
"5078",371,"baotou","2019/4/4",150,94,47,32,23,18,2019-04-04
"5079",372,"baotou","2019/4/5",136,99,48,22,16,13,2019-04-05
"5080",373,"baotou","2019/4/6",119,52,47,18,10,9,2019-04-06
"5081",374,"baotou","2019/4/7",92,82,46,28,19,13,2019-04-07
"5082",375,"baotou","2019/4/8",128,70,44,15,19,10,2019-04-08
"5083",376,"baotou","2019/4/9",85,23,39,8,5,5,2019-04-09
"5084",377,"baotou","2019/4/10",50,45,38,18,11,8,2019-04-10
"5085",378,"baotou","2019/4/11",98,47,41,22,16,12,2019-04-11
"5086",379,"baotou","2019/4/12",116,56,43,22,12,8,2019-04-12
"5087",380,"baotou","2019/4/13",108,50,43,11,6,5,2019-04-13
"5088",381,"baotou","2019/4/14",60,62,46,28,17,10,2019-04-14
"5089",382,"baotou","2019/4/15",95,83,51,24,19,12,2019-04-15
"5090",383,"baotou","2019/4/16",120,83,53,27,23,11,2019-04-16
"5091",384,"baotou","2019/4/17",122,115,60,24,18,8,2019-04-17
"5092",385,"baotou","2019/4/18",136,93,53,19,17,6,2019-04-18
"5093",386,"baotou","2019/4/19",90,128,54,24,30,10,2019-04-19
"5094",387,"baotou","2019/4/20",147,394,42,16,7,6,2019-04-20
"5095",388,"baotou","2019/4/21",173,227,47,23,16,8,2019-04-21
"5096",389,"baotou","2019/4/22",168,80,70,21,10,6,2019-04-22
"5097",390,"baotou","2019/4/23",112,58,81,19,11,6,2019-04-23
"5098",391,"baotou","2019/4/24",92,92,38,11,5,5,2019-04-24
"5099",392,"baotou","2019/4/25",94,46,41,10,8,5,2019-04-25
"5100",393,"baotou","2019/4/26",79,48,55,10,11,5,2019-04-26
"5101",394,"baotou","2019/4/27",76,38,51,13,7,6,2019-04-27
"5102",395,"baotou","2019/4/28",99,55,52,23,9,9,2019-04-28
"5103",396,"baotou","2019/4/29",126,149,42,16,4,6,2019-04-29
"5104",397,"baotou","2019/4/30",140,115,50,11,6,6,2019-04-30
"5105",398,"baotou","2019/5/1",117,60,54,22,12,6,2019-05-01
"5106",399,"baotou","2019/5/2",103,75,74,24,10,8,2019-05-02
"5107",400,"baotou","2019/5/3",123,72,66,26,14,7,2019-05-03
"5209",502,"baotou","2019/2/13",110,74,34,21,25,16,2019-02-13
"5210",503,"baotou","2019/2/14",136,104,31,9,12,8,2019-02-14
"5211",504,"baotou","2019/2/15",111,23,34,7,5,5,2019-02-15
"5212",505,"baotou","2019/2/16",63,52,30,24,20,20,2019-02-16
"5213",506,"baotou","2019/2/17",121,73,29,30,28,23,2019-02-17
"5214",507,"baotou","2019/2/18",156,76,23,33,23,20,2019-02-18
"5215",508,"baotou","2019/2/19",174,89,35,30,32,20,2019-02-19
"5216",509,"baotou","2019/2/20",221,131,35,37,40,33,2019-02-20
"5217",510,"baotou","2019/2/21",216,103,30,38,36,33,2019-02-21
"5218",511,"baotou","2019/2/22",183,107,35,39,37,33,2019-02-22
"5219",512,"baotou","2019/2/23",193,108,36,38,32,29,2019-02-23
"5220",513,"baotou","2019/2/24",178,66,34,23,15,17,2019-02-24
"5221",514,"baotou","2019/2/25",120,63,29,29,23,17,2019-02-25
"5222",515,"baotou","2019/2/26",129,91,37,27,20,21,2019-02-26
"5223",516,"baotou","2019/2/27",156,92,37,31,20,24,2019-02-27
"5224",517,"baotou","2019/2/28",145,107,42,34,29,26,2019-02-28
"5225",518,"baotou","2019/3/1",171,113,49,39,30,29,2019-03-01
"5226",519,"baotou","2019/3/2",181,123,48,42,28,23,2019-03-02
"5227",520,"baotou","2019/3/3",197,159,57,46,28,28,2019-03-03
"5228",521,"baotou","2019/3/4",224,135,44,33,22,24,2019-03-04
"5229",522,"baotou","2019/3/5",170,49,40,16,6,11,2019-03-05
"5230",523,"baotou","2019/3/6",73,56,43,22,14,14,2019-03-06
"5231",524,"baotou","2019/3/7",101,80,42,32,32,12,2019-03-07
"5232",525,"baotou","2019/3/8",154,99,34,32,27,12,2019-03-08
"5233",526,"baotou","2019/3/9",184,124,36,35,29,26,2019-03-09
"5234",527,"baotou","2019/3/10",218,93,34,20,14,12,2019-03-10
"5235",528,"baotou","2019/3/11",148,55,35,19,14,11,2019-03-11
"5236",529,"baotou","2019/3/12",102,35,36,14,6,6,2019-03-12
"5237",530,"baotou","2019/3/13",80,75,35,24,20,13,2019-03-13
"5238",531,"baotou","2019/3/14",120,52,37,16,5,6,2019-03-14
"5239",532,"baotou","2019/3/15",68,72,36,29,33,17,2019-03-15
"5240",533,"baotou","2019/3/16",128,75,39,26,28,12,2019-03-16
"5241",534,"baotou","2019/3/17",130,82,39,29,20,13,2019-03-17
"5242",535,"baotou","2019/3/18",138,95,47,34,35,20,2019-03-18
"5243",536,"baotou","2019/3/19",156,127,41,35,29,18,2019-03-19
"5244",537,"baotou","2019/3/20",177,232,34,13,14,7,2019-03-20
"5245",538,"baotou","2019/3/21",119,38,36,12,6,6,2019-03-21
"5246",539,"baotou","2019/3/22",69,55,37,15,13,8,2019-03-22
"5247",540,"baotou","2019/3/23",81,61,39,23,16,12,2019-03-23
"5248",541,"baotou","2019/3/24",109,101,39,32,23,19,2019-03-24
"5249",542,"baotou","2019/3/25",149,91,40,30,17,17,2019-03-25
"5250",543,"baotou","2019/3/26",131,115,44,29,20,19,2019-03-26
"5251",544,"baotou","2019/3/27",152,65,36,10,9,7,2019-03-27
"5252",545,"baotou","2019/3/28",99,38,37,5,3,5,2019-03-28
"5253",546,"baotou","2019/3/29",64,48,35,3,2,4,2019-03-29
"5254",547,"baotou","2019/3/30",69,25,35,3,2,3,2019-03-30
"5255",548,"baotou","2019/3/31",66,44,37,13,7,7,2019-03-31
"5256",549,"baotou","2019/4/1",82,33,42,15,11,9,2019-04-01
