"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"7438",2731,"beijing","2019/4/2",52,53,37,19,4,7,2019-04-02
"7439",2732,"beijing","2019/4/3",94,69,59,25,5,6,2019-04-03
"7440",2733,"beijing","2019/4/4",142,95,60,27,5,6,2019-04-04
"7441",2734,"beijing","2019/4/5",149,248,36,13,1,3,2019-04-05
"7442",2735,"beijing","2019/4/6",108,135,37,19,3,6,2019-04-06
"7443",2736,"beijing","2019/4/7",123,75,36,20,4,6,2019-04-07
"7444",2737,"beijing","2019/4/8",132,61,33,18,6,9,2019-04-08
"7445",2738,"beijing","2019/4/9",104,31,28,10,1,5,2019-04-09
"7446",2739,"beijing","2019/4/10",82,28,38,15,1,4,2019-04-10
"7447",2740,"beijing","2019/4/11",88,58,47,16,1,4,2019-04-11
"7448",2741,"beijing","2019/4/12",138,67,49,20,2,5,2019-04-12
"7449",2742,"beijing","2019/4/13",151,72,37,19,2,5,2019-04-13
"7450",2743,"beijing","2019/4/14",163,54,41,10,1,2,2019-04-14
"7451",2744,"beijing","2019/4/15",70,74,49,20,3,4,2019-04-15
"7452",2745,"beijing","2019/4/16",133,81,78,18,4,6,2019-04-16
"7453",2746,"beijing","2019/4/17",160,91,94,28,5,10,2019-04-17
"7454",2747,"beijing","2019/4/18",183,141,42,10,1,5,2019-04-18
"7455",2748,"beijing","2019/4/19",121,62,33,12,2,4,2019-04-19
"7456",2749,"beijing","2019/4/20",83,54,17,23,1,5,2019-04-20
"7457",2750,"beijing","2019/4/21",122,109,44,22,3,9,2019-04-21
"7458",2751,"beijing","2019/4/22",156,84,95,23,2,9,2019-04-22
"7459",2752,"beijing","2019/4/23",176,60,40,12,1,7,2019-04-23
"7460",2753,"beijing","2019/4/24",168,27,24,14,1,7,2019-04-24
"7461",2754,"beijing","2019/4/25",104,25,41,7,1,2,2019-04-25
"7462",2755,"beijing","2019/4/26",71,45,47,8,1,3,2019-04-26
"7463",2756,"beijing","2019/4/27",109,44,35,12,1,4,2019-04-27
"7464",2757,"beijing","2019/4/28",110,50,40,10,1,5,2019-04-28
"7465",2758,"beijing","2019/4/29",135,61,67,16,1,8,2019-04-29
"7466",2759,"beijing","2019/4/30",180,80,40,13,1,4,2019-04-30
"7568",2861,"beijing","2019/2/10",38,33,20,11,3,4,2019-02-10
"7569",2862,"beijing","2019/2/11",83,49,28,16,6,5,2019-02-11
"7570",2863,"beijing","2019/2/12",112,48,22,13,5,7,2019-02-12
"7571",2864,"beijing","2019/2/13",86,32,29,13,2,5,2019-02-13
"7572",2865,"beijing","2019/2/14",75,51,21,15,4,8,2019-02-14
"7573",2866,"beijing","2019/2/15",133,22,28,5,2,2,2019-02-15
"7574",2867,"beijing","2019/2/16",42,20,29,5,2,3,2019-02-16
"7575",2868,"beijing","2019/2/17",38,22,27,10,1,3,2019-02-17
"7576",2869,"beijing","2019/2/18",49,43,17,26,3,7,2019-02-18
"7577",2870,"beijing","2019/2/19",96,84,29,23,2,11,2019-02-19
"7578",2871,"beijing","2019/2/20",175,29,32,14,1,6,2019-02-20
"7579",2872,"beijing","2019/2/21",94,51,39,25,2,10,2019-02-21
"7580",2873,"beijing","2019/2/22",176,76,27,30,3,14,2019-02-22
"7581",2874,"beijing","2019/2/23",195,103,46,37,5,18,2019-02-23
"7582",2875,"beijing","2019/2/24",229,29,35,28,3,10,2019-02-24
"7583",2876,"beijing","2019/2/25",153,57,30,24,5,9,2019-02-25
"7584",2877,"beijing","2019/2/26",151,68,27,28,5,10,2019-02-26
"7585",2878,"beijing","2019/2/27",139,75,37,29,5,11,2019-02-27
"7586",2879,"beijing","2019/2/28",172,80,41,27,4,9,2019-02-28
"7587",2880,"beijing","2019/3/1",165,87,40,30,5,11,2019-03-01
"7588",2881,"beijing","2019/3/2",197,111,59,33,6,13,2019-03-02
"7589",2882,"beijing","2019/3/3",250,102,42,31,6,13,2019-03-03
"7590",2883,"beijing","2019/3/4",215,81,37,29,4,10,2019-03-04
"7591",2884,"beijing","2019/3/5",172,71,38,23,2,9,2019-03-05
"7592",2885,"beijing","2019/3/6",147,17,36,6,1,2,2019-03-06
"7593",2886,"beijing","2019/3/7",36,30,35,17,2,5,2019-03-07
"7594",2887,"beijing","2019/3/8",66,75,39,27,5,7,2019-03-08
"7595",2888,"beijing","2019/3/9",150,85,28,32,5,8,2019-03-09
"7596",2889,"beijing","2019/3/10",166,81,29,29,3,9,2019-03-10
"7597",2890,"beijing","2019/3/11",183,38,38,14,1,5,2019-03-11
"7598",2891,"beijing","2019/3/12",64,26,34,5,1,3,2019-03-12
"7599",2892,"beijing","2019/3/13",28,25,33,11,1,3,2019-03-13
"7600",2893,"beijing","2019/3/14",36,31,33,12,1,3,2019-03-14
"7601",2894,"beijing","2019/3/15",34,48,33,6,1,2,2019-03-15
"7602",2895,"beijing","2019/3/16",43,54,31,19,3,5,2019-03-16
"7603",2896,"beijing","2019/3/17",81,70,47,25,4,7,2019-03-17
"7604",2897,"beijing","2019/3/18",130,98,53,36,6,9,2019-03-18
"7605",2898,"beijing","2019/3/19",175,112,59,43,6,11,2019-03-19
"7606",2899,"beijing","2019/3/20",193,76,32,20,3,8,2019-03-20
"7607",2900,"beijing","2019/3/21",153,31,35,4,1,3,2019-03-21
"7608",2901,"beijing","2019/3/22",49,29,34,10,1,2,2019-03-22
"7609",2902,"beijing","2019/3/23",33,30,33,5,1,2,2019-03-23
"7610",2903,"beijing","2019/3/24",46,67,33,20,3,4,2019-03-24
"7611",2904,"beijing","2019/3/25",109,51,39,21,2,5,2019-03-25
"7612",2905,"beijing","2019/3/26",99,86,37,24,4,7,2019-03-26
"7613",2906,"beijing","2019/3/27",118,90,33,27,4,10,2019-03-27
"7614",2907,"beijing","2019/3/28",144,56,25,13,3,5,2019-03-28
"7615",2908,"beijing","2019/3/29",108,71,30,14,2,3,2019-03-29
"7616",2909,"beijing","2019/3/30",70,26,32,4,1,3,2019-03-30
"7617",2910,"beijing","2019/3/31",25,28,34,12,NA,3,2019-03-31
"7618",2911,"beijing","2019/4/1",41,34,35,15,1,3,2019-04-01
