"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"9809",5102,"benxi","2019/4/2",113,94,45,20,13,21,2019-04-02
"9810",5103,"benxi","2019/4/3",118,88,41,25,20,19,2019-04-03
"9811",5104,"benxi","2019/4/4",115,194,76,34,27,25,2019-04-04
"9812",5105,"benxi","2019/4/5",179,147,45,14,7,6,2019-04-05
"9813",5106,"benxi","2019/4/6",70,84,40,20,15,15,2019-04-06
"9814",5107,"benxi","2019/4/7",97,61,32,23,12,9,2019-04-07
"9815",5108,"benxi","2019/4/8",99,67,38,21,11,13,2019-04-08
"9816",5109,"benxi","2019/4/9",109,58,41,21,6,8,2019-04-09
"9817",5110,"benxi","2019/4/10",83,62,49,20,5,8,2019-04-10
"9818",5111,"benxi","2019/4/11",92,93,43,24,17,17,2019-04-11
"9819",5112,"benxi","2019/4/12",139,110,56,23,21,17,2019-04-12
"9820",5113,"benxi","2019/4/13",150,98,61,20,18,17,2019-04-13
"9821",5114,"benxi","2019/4/14",175,68,41,16,5,10,2019-04-14
"9822",5115,"benxi","2019/4/15",102,76,58,23,27,16,2019-04-15
"9823",5116,"benxi","2019/4/16",108,83,77,17,20,14,2019-04-16
"9824",5117,"benxi","2019/4/17",145,77,73,16,19,12,2019-04-17
"9825",5118,"benxi","2019/4/18",106,124,47,11,7,8,2019-04-18
"9826",5119,"benxi","2019/4/19",88,92,45,20,7,6,2019-04-19
"9827",5120,"benxi","2019/4/20",99,82,42,26,14,17,2019-04-20
"9828",5121,"benxi","2019/4/21",139,79,46,20,7,11,2019-04-21
"9829",5122,"benxi","2019/4/22",137,111,65,23,19,10,2019-04-22
"9830",5123,"benxi","2019/4/23",132,75,65,20,19,15,2019-04-23
"9831",5124,"benxi","2019/4/24",103,74,39,12,7,8,2019-04-24
"9832",5125,"benxi","2019/4/25",91,42,39,12,4,7,2019-04-25
"9934",5227,"benxi","2019/2/5",81,89,27,13,14,13,2019-02-05
"9935",5228,"benxi","2019/2/6",162,64,32,8,11,14,2019-02-06
"9936",5229,"benxi","2019/2/7",139,59,27,9,12,17,2019-02-07
"9937",5230,"benxi","2019/2/8",91,70,26,20,21,15,2019-02-08
