"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"12178",7471,"cangzhou","2019/4/2",78,60,45,21,18,8,2019-04-02
"12179",7472,"cangzhou","2019/4/3",112,62,60,22,12,5,2019-04-03
"12180",7473,"cangzhou","2019/4/4",117,112,91,16,13,7,2019-04-04
"12181",7474,"cangzhou","2019/4/5",172,264,55,13,8,5,2019-04-05
"12182",7475,"cangzhou","2019/4/6",134,84,46,14,9,5,2019-04-06
"12183",7476,"cangzhou","2019/4/7",97,66,54,22,9,6,2019-04-07
"12184",7477,"cangzhou","2019/4/8",99,56,36,12,8,5,2019-04-08
"12185",7478,"cangzhou","2019/4/9",79,40,35,11,6,3,2019-04-09
"12186",7479,"cangzhou","2019/4/10",91,60,48,14,13,8,2019-04-10
"12187",7480,"cangzhou","2019/4/11",130,75,43,19,10,7,2019-04-11
"12188",7481,"cangzhou","2019/4/12",163,78,55,17,9,7,2019-04-12
"12189",7482,"cangzhou","2019/4/13",159,111,31,26,14,10,2019-04-13
"12190",7483,"cangzhou","2019/4/14",188,56,49,12,7,5,2019-04-14
"12191",7484,"cangzhou","2019/4/15",75,61,62,13,11,4,2019-04-15
"12192",7485,"cangzhou","2019/4/16",90,76,71,14,13,7,2019-04-16
"12193",7486,"cangzhou","2019/4/17",156,90,69,12,11,7,2019-04-17
"12194",7487,"cangzhou","2019/4/18",141,112,40,17,7,5,2019-04-18
"12195",7488,"cangzhou","2019/4/19",109,50,37,13,6,5,2019-04-19
"12196",7489,"cangzhou","2019/4/20",72,59,31,23,9,7,2019-04-20
"12197",7490,"cangzhou","2019/4/21",101,72,48,21,8,9,2019-04-21
"12198",7491,"cangzhou","2019/4/22",143,84,76,20,13,8,2019-04-22
"12199",7492,"cangzhou","2019/4/23",164,61,36,11,9,8,2019-04-23
"12200",7493,"cangzhou","2019/4/24",132,75,35,15,8,5,2019-04-24
"12201",7494,"cangzhou","2019/4/25",111,35,44,12,6,7,2019-04-25
"12202",7495,"cangzhou","2019/4/26",78,43,46,14,6,6,2019-04-26
"12203",7496,"cangzhou","2019/4/27",95,50,35,21,8,8,2019-04-27
"12204",7497,"cangzhou","2019/4/28",115,60,50,22,6,9,2019-04-28
"12205",7498,"cangzhou","2019/4/29",132,79,75,20,8,9,2019-04-29
"12307",7600,"cangzhou","2019/2/9",102,44,27,7,12,8,2019-02-09
"12308",7601,"cangzhou","2019/2/10",95,47,26,12,17,11,2019-02-10
"12309",7602,"cangzhou","2019/2/11",100,95,24,15,14,9,2019-02-11
"12310",7603,"cangzhou","2019/2/12",178,79,23,14,10,NA,2019-02-12
"12311",7604,"cangzhou","2019/2/13",148,60,20,14,14,NA,2019-02-13
"12312",7605,"cangzhou","2019/2/14",131,47,28,10,10,NA,2019-02-14
"12313",7606,"cangzhou","2019/2/15",104,56,35,7,8,NA,2019-02-15
"12314",7607,"cangzhou","2019/2/16",128,34,34,10,9,NA,2019-02-16
"12315",7608,"cangzhou","2019/2/17",71,55,35,17,12,NA,2019-02-17
"12316",7609,"cangzhou","2019/2/18",119,71,33,19,16,9,2019-02-18
"12317",7610,"cangzhou","2019/2/19",148,106,25,13,9,4,2019-02-19
"12318",7611,"cangzhou","2019/2/20",194,132,39,20,10,10,2019-02-20
"12319",7612,"cangzhou","2019/2/21",224,161,40,33,14,20,2019-02-21
"12320",7613,"cangzhou","2019/2/22",259,153,45,40,16,20,2019-02-22
"12321",7614,"cangzhou","2019/2/23",253,186,54,48,17,8,2019-02-23
"12322",7615,"cangzhou","2019/2/24",277,114,62,40,20,NA,2019-02-24
"12323",7616,"cangzhou","2019/2/25",197,88,29,34,13,NA,2019-02-25
"12324",7617,"cangzhou","2019/2/26",155,65,21,30,13,NA,2019-02-26
"12325",7618,"cangzhou","2019/2/27",124,121,25,38,22,NA,2019-02-27
"12326",7619,"cangzhou","2019/2/28",197,111,51,28,14,NA,2019-02-28
"12327",7620,"cangzhou","2019/3/1",189,104,54,23,13,NA,2019-03-01
"12328",7621,"cangzhou","2019/3/2",182,119,70,28,14,NA,2019-03-02
"12329",7622,"cangzhou","2019/3/3",190,116,73,24,12,NA,2019-03-03
"12330",7623,"cangzhou","2019/3/4",191,105,50,26,13,NA,2019-03-04
"12331",7624,"cangzhou","2019/3/5",181,92,50,25,10,NA,2019-03-05
"12332",7625,"cangzhou","2019/3/6",154,66,46,10,8,NA,2019-03-06
"12333",7626,"cangzhou","2019/3/7",79,54,39,17,8,NA,2019-03-07
"12334",7627,"cangzhou","2019/3/8",105,75,45,21,13,NA,2019-03-08
"12335",7628,"cangzhou","2019/3/9",145,75,59,24,14,NA,2019-03-09
"12336",7629,"cangzhou","2019/3/10",151,89,65,31,13,NA,2019-03-10
"12337",7630,"cangzhou","2019/3/11",168,66,43,17,7,NA,2019-03-11
"12338",7631,"cangzhou","2019/3/12",124,39,41,16,7,NA,2019-03-12
"12339",7632,"cangzhou","2019/3/13",65,55,41,19,9,NA,2019-03-13
"12340",7633,"cangzhou","2019/3/14",94,52,42,24,9,NA,2019-03-14
"12341",7634,"cangzhou","2019/3/15",96,51,35,16,9,NA,2019-03-15
"12342",7635,"cangzhou","2019/3/16",87,70,36,24,13,NA,2019-03-16
"12343",7636,"cangzhou","2019/3/17",126,77,47,28,15,NA,2019-03-17
"12344",7637,"cangzhou","2019/3/18",139,96,58,21,13,NA,2019-03-18
"12345",7638,"cangzhou","2019/3/19",158,78,67,15,10,NA,2019-03-19
