"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"14548",9841,"changzhou","2019/4/2",102,62,40,27,8,5,2019-04-02
"14549",9842,"changzhou","2019/4/3",134,79,50,27,8,7,2019-04-03
"14550",9843,"changzhou","2019/4/4",158,72,40,18,7,7,2019-04-04
"14551",9844,"changzhou","2019/4/5",131,71,72,21,10,7,2019-04-05
"14552",9845,"changzhou","2019/4/6",145,66,71,16,17,7,2019-04-06
"14553",9846,"changzhou","2019/4/7",133,85,76,16,14,8,2019-04-07
"14554",9847,"changzhou","2019/4/8",138,92,97,20,12,10,2019-04-08
"14555",9848,"changzhou","2019/4/9",149,47,30,12,9,7,2019-04-09
"14556",9849,"changzhou","2019/4/10",92,49,26,11,7,5,2019-04-10
"14557",9850,"changzhou","2019/4/11",98,55,37,24,13,7,2019-04-11
"14558",9851,"changzhou","2019/4/12",112,71,63,19,7,7,2019-04-12
"14559",9852,"changzhou","2019/4/13",157,61,58,31,8,8,2019-04-13
"14560",9853,"changzhou","2019/4/14",136,70,45,22,6,6,2019-04-14
"14561",9854,"changzhou","2019/4/15",123,60,60,23,6,7,2019-04-15
"14562",9855,"changzhou","2019/4/16",112,60,43,25,5,6,2019-04-16
"14563",9856,"changzhou","2019/4/17",104,72,78,24,6,7,2019-04-17
"14564",9857,"changzhou","2019/4/18",126,74,89,23,6,7,2019-04-18
"14565",9858,"changzhou","2019/4/19",137,71,35,19,5,7,2019-04-19
"14566",9859,"changzhou","2019/4/20",122,44,22,20,5,8,2019-04-20
"14567",9860,"changzhou","2019/4/21",88,47,10,22,3,7,2019-04-21
"14568",9861,"changzhou","2019/4/22",100,26,13,15,2,6,2019-04-22
"14569",9862,"changzhou","2019/4/23",66,41,15,22,2,10,2019-04-23
"14570",9863,"changzhou","2019/4/24",102,46,33,19,3,7,2019-04-24
"14672",9965,"changzhou","2019/2/4",170,99,36,17,4,13,2019-02-04
"14673",9966,"changzhou","2019/2/5",180,77,33,13,3,6,2019-02-05
"14674",9967,"changzhou","2019/2/6",151,78,29,16,4,10,2019-02-06
"14675",9968,"changzhou","2019/2/7",164,52,29,11,2,6,2019-02-07
"14676",9969,"changzhou","2019/2/8",122,21,29,8,2,3,2019-02-08
"14677",9970,"changzhou","2019/2/9",55,34,28,9,2,4,2019-02-09
"14678",9971,"changzhou","2019/2/10",51,31,27,10,2,4,2019-02-10
"14679",9972,"changzhou","2019/2/11",37,39,24,14,3,5,2019-02-11
"14680",9973,"changzhou","2019/2/12",88,48,23,18,3,7,2019-02-12
"14681",9974,"changzhou","2019/2/13",122,42,29,14,3,6,2019-02-13
"14682",9975,"changzhou","2019/2/14",105,40,30,14,2,6,2019-02-14
"14683",9976,"changzhou","2019/2/15",99,36,20,20,2,6,2019-02-15
"14684",9977,"changzhou","2019/2/16",94,53,27,14,4,6,2019-02-16
"14685",9978,"changzhou","2019/2/17",129,45,31,17,5,6,2019-02-17
"14686",9979,"changzhou","2019/2/18",102,36,24,24,2,5,2019-02-18
"14687",9980,"changzhou","2019/2/19",92,33,21,21,2,6,2019-02-19
"14688",9981,"changzhou","2019/2/20",95,70,26,22,3,8,2019-02-20
"14689",9982,"changzhou","2019/2/21",166,73,31,25,4,8,2019-02-21
"14690",9983,"changzhou","2019/2/22",171,51,29,23,3,7,2019-02-22
"14691",9984,"changzhou","2019/2/23",138,101,20,33,4,11,2019-02-23
"14692",9985,"changzhou","2019/2/24",200,85,42,39,5,12,2019-02-24
"14693",9986,"changzhou","2019/2/25",177,80,52,41,6,12,2019-02-25
"14694",9987,"changzhou","2019/2/26",163,59,34,23,4,8,2019-02-26
"14695",9988,"changzhou","2019/2/27",126,47,25,25,3,6,2019-02-27
"14696",9989,"changzhou","2019/2/28",98,52,12,25,4,7,2019-02-28
"14697",9990,"changzhou","2019/3/1",128,88,2,38,5,10,2019-03-01
"14698",9991,"changzhou","2019/3/2",174,80,NA,29,5,10,2019-03-02
"14699",9992,"changzhou","2019/3/3",168,71,NA,27,6,8,2019-03-03
"14700",9993,"changzhou","2019/3/4",159,88,7,27,4,9,2019-03-04
"14701",9994,"changzhou","2019/3/5",175,86,24,42,4,11,2019-03-05
"14702",9995,"changzhou","2019/3/6",170,76,47,26,3,8,2019-03-06
"14703",9996,"changzhou","2019/3/7",164,63,40,15,2,6,2019-03-07
"14704",9997,"changzhou","2019/3/8",80,49,28,25,4,8,2019-03-08
"14705",9998,"changzhou","2019/3/9",107,68,37,23,3,7,2019-03-09
"14706",9999,"changzhou","2019/3/10",135,60,36,26,4,8,2019-03-10
"14707",10000,"changzhou","2019/3/11",139,74,44,30,6,10,2019-03-11
"14708",10001,"changzhou","2019/3/12",153,78,40,29,7,13,2019-03-12
"14709",10002,"changzhou","2019/3/13",138,63,25,31,5,10,2019-03-13
"14710",10003,"changzhou","2019/3/14",114,63,37,21,3,7,2019-03-14
"14711",10004,"changzhou","2019/3/15",132,56,40,24,5,9,2019-03-15
"14712",10005,"changzhou","2019/3/16",127,65,52,22,8,8,2019-03-16
"14713",10006,"changzhou","2019/3/17",135,93,61,28,9,10,2019-03-17
"14714",10007,"changzhou","2019/3/18",177,70,36,17,5,10,2019-03-18
"14715",10008,"changzhou","2019/3/19",117,64,17,12,5,6,2019-03-19
"14716",10009,"changzhou","2019/3/20",120,49,27,12,7,8,2019-03-20
"14717",10010,"changzhou","2019/3/21",84,71,29,14,6,9,2019-03-21
"14718",10011,"changzhou","2019/3/22",137,22,30,8,4,6,2019-03-22
"14719",10012,"changzhou","2019/3/23",61,51,52,16,6,7,2019-03-23
"14720",10013,"changzhou","2019/3/24",108,77,64,16,7,9,2019-03-24
"14721",10014,"changzhou","2019/3/25",150,61,56,14,7,7,2019-03-25
"14722",10015,"changzhou","2019/3/26",136,56,48,24,8,8,2019-03-26
