"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"19287",14580,"chuzhou","2019/4/2",139,75,57,40,9,9,2019-04-02
"19288",14581,"chuzhou","2019/4/3",142,79,77,27,6,7,2019-04-03
"19289",14582,"chuzhou","2019/4/4",158,83,83,25,6,9,2019-04-04
"19290",14583,"chuzhou","2019/4/5",165,71,76,21,7,9,2019-04-05
"19291",14584,"chuzhou","2019/4/6",158,61,81,16,7,8,2019-04-06
"19292",14585,"chuzhou","2019/4/7",129,79,79,14,6,9,2019-04-07
"19293",14586,"chuzhou","2019/4/8",147,96,109,23,7,11,2019-04-08
"19294",14587,"chuzhou","2019/4/9",167,41,97,14,4,6,2019-04-09
"19295",14588,"chuzhou","2019/4/10",96,43,39,13,3,6,2019-04-10
"19296",14589,"chuzhou","2019/4/11",131,46,47,18,4,6,2019-04-11
"19297",14590,"chuzhou","2019/4/12",129,61,67,21,4,7,2019-04-12
"19298",14591,"chuzhou","2019/4/13",153,82,80,35,7,10,2019-04-13
"19299",14592,"chuzhou","2019/4/14",163,68,60,25,5,7,2019-04-14
"19300",14593,"chuzhou","2019/4/15",142,60,56,24,5,6,2019-04-15
"19301",14594,"chuzhou","2019/4/16",129,64,56,31,7,8,2019-04-16
"19302",14595,"chuzhou","2019/4/17",138,85,71,26,7,9,2019-04-17
"19303",14596,"chuzhou","2019/4/18",158,72,84,26,12,10,2019-04-18
"19304",14597,"chuzhou","2019/4/19",131,62,48,14,4,6,2019-04-19
"19305",14598,"chuzhou","2019/4/20",127,55,50,18,4,7,2019-04-20
"19306",14599,"chuzhou","2019/4/21",130,52,40,20,6,7,2019-04-21
"19307",14600,"chuzhou","2019/4/22",121,33,38,16,4,6,2019-04-22
"19308",14601,"chuzhou","2019/4/23",84,27,37,12,6,6,2019-04-23
"19309",14602,"chuzhou","2019/4/24",83,42,47,16,4,7,2019-04-24
"19310",14603,"chuzhou","2019/4/25",114,54,33,18,5,8,2019-04-25
"19311",14604,"chuzhou","2019/4/26",133,43,41,17,4,5,2019-04-26
"19312",14605,"chuzhou","2019/4/27",95,56,57,28,7,6,2019-04-27
"19414",14707,"chuzhou","2019/2/7",201,70,33,9,7,8,2019-02-07
"19415",14708,"chuzhou","2019/2/8",145,25,43,8,5,4,2019-02-08
"19416",14709,"chuzhou","2019/2/9",85,41,28,9,5,6,2019-02-09
"19417",14710,"chuzhou","2019/2/10",116,44,40,9,6,7,2019-02-10
"19418",14711,"chuzhou","2019/2/11",130,48,34,14,5,8,2019-02-11
