"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"21336",16629,"dalian","2019/4/2",61,43,37,20,10,5,2019-04-02
"21337",16630,"dalian","2019/4/3",68,50,50,18,8,4,2019-04-03
"21338",16631,"dalian","2019/4/4",77,91,93,14,8,6,2019-04-04
"21339",16632,"dalian","2019/4/5",152,125,47,12,4,4,2019-04-05
"21340",16633,"dalian","2019/4/6",101,73,46,16,5,3,2019-04-06
"21341",16634,"dalian","2019/4/7",77,51,40,18,5,4,2019-04-07
"21342",16635,"dalian","2019/4/8",71,48,36,18,6,4,2019-04-08
"21343",16636,"dalian","2019/4/9",73,34,39,11,5,4,2019-04-09
"21344",16637,"dalian","2019/4/10",65,39,44,17,7,3,2019-04-10
"21345",16638,"dalian","2019/4/11",71,53,44,20,6,5,2019-04-11
"21346",16639,"dalian","2019/4/12",98,79,65,15,8,6,2019-04-12
"21347",16640,"dalian","2019/4/13",163,90,54,15,5,6,2019-04-13
"21348",16641,"dalian","2019/4/14",172,63,42,13,5,4,2019-04-14
"21349",16642,"dalian","2019/4/15",96,72,73,12,7,5,2019-04-15
"21350",16643,"dalian","2019/4/16",104,67,52,11,5,4,2019-04-16
"21351",16644,"dalian","2019/4/17",120,67,67,9,4,4,2019-04-17
"21352",16645,"dalian","2019/4/18",123,85,49,11,4,4,2019-04-18
"21353",16646,"dalian","2019/4/19",98,48,43,10,4,3,2019-04-19
"21354",16647,"dalian","2019/4/20",53,56,34,23,4,4,2019-04-20
"21355",16648,"dalian","2019/4/21",92,69,44,15,4,5,2019-04-21
"21356",16649,"dalian","2019/4/22",111,60,43,20,4,4,2019-04-22
"21357",16650,"dalian","2019/4/23",99,53,34,11,6,4,2019-04-23
"21358",16651,"dalian","2019/4/24",104,112,33,14,4,5,2019-04-24
"21359",16652,"dalian","2019/4/25",133,62,31,15,4,6,2019-04-25
"21461",16754,"dalian","2019/2/5",91,121,27,9,8,9,2019-02-05
"21462",16755,"dalian","2019/2/6",172,96,29,13,10,11,2019-02-06
"21463",16756,"dalian","2019/2/7",163,48,26,4,6,4,2019-02-07
"21464",16757,"dalian","2019/2/8",87,36,25,7,8,5,2019-02-08
"21465",16758,"dalian","2019/2/9",62,32,26,6,7,5,2019-02-09
"21466",16759,"dalian","2019/2/10",67,26,25,12,10,4,2019-02-10
"21467",16760,"dalian","2019/2/11",57,70,25,17,15,11,2019-02-11
"21468",16761,"dalian","2019/2/12",137,54,26,11,11,9,2019-02-12
