"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"23707",19000,"dandong","2019/4/2",91,61,39,12,9,8,2019-04-02
"23708",19001,"dandong","2019/4/3",79,53,45,12,9,7,2019-04-03
"23709",19002,"dandong","2019/4/4",92,62,58,12,8,7,2019-04-04
"23710",19003,"dandong","2019/4/5",112,63,43,8,5,5,2019-04-05
"23711",19004,"dandong","2019/4/6",67,57,46,13,10,9,2019-04-06
"23712",19005,"dandong","2019/4/7",88,51,39,9,7,6,2019-04-07
"23713",19006,"dandong","2019/4/8",70,38,40,12,8,6,2019-04-08
"23714",19007,"dandong","2019/4/9",61,43,37,13,8,7,2019-04-09
"23715",19008,"dandong","2019/4/10",75,69,44,12,8,8,2019-04-10
"23716",19009,"dandong","2019/4/11",108,63,48,17,10,9,2019-04-11
"23717",19010,"dandong","2019/4/12",118,77,55,15,9,10,2019-04-12
"23718",19011,"dandong","2019/4/13",154,75,51,9,6,8,2019-04-13
"23719",19012,"dandong","2019/4/14",152,56,41,11,6,6,2019-04-14
"23720",19013,"dandong","2019/4/15",95,63,50,13,11,10,2019-04-15
"23721",19014,"dandong","2019/4/16",102,66,63,10,6,7,2019-04-16
"23722",19015,"dandong","2019/4/17",104,52,48,12,6,8,2019-04-17
"23723",19016,"dandong","2019/4/18",95,46,40,5,5,4,2019-04-18
"23724",19017,"dandong","2019/4/19",54,45,41,8,6,4,2019-04-19
"23725",19018,"dandong","2019/4/20",56,57,33,15,11,10,2019-04-20
"23726",19019,"dandong","2019/4/21",96,50,44,11,7,8,2019-04-21
"23727",19020,"dandong","2019/4/22",95,76,57,14,9,11,2019-04-22
"23728",19021,"dandong","2019/4/23",126,80,44,12,9,9,2019-04-23
"23729",19022,"dandong","2019/4/24",122,62,37,10,8,8,2019-04-24
"23730",19023,"dandong","2019/4/25",102,45,36,5,4,3,2019-04-25
"23832",19125,"dandong","2019/2/5",94,86,24,11,25,6,2019-02-05
"23833",19126,"dandong","2019/2/6",165,73,27,8,13,7,2019-02-06
"23834",19127,"dandong","2019/2/7",134,47,28,4,8,5,2019-02-07
"23835",19128,"dandong","2019/2/8",72,49,25,8,14,6,2019-02-08
"23836",19129,"dandong","2019/2/9",74,45,25,10,13,8,2019-02-09
"23837",19130,"dandong","2019/2/10",84,41,28,10,11,7,2019-02-10
"23838",19131,"dandong","2019/2/11",86,62,26,18,30,17,2019-02-11
"23839",19132,"dandong","2019/2/12",136,51,25,13,19,11,2019-02-12
"23840",19133,"dandong","2019/2/13",111,41,28,11,14,8,2019-02-13
"23841",19134,"dandong","2019/2/14",83,52,42,12,22,9,2019-02-14
"23842",19135,"dandong","2019/2/15",112,56,31,10,18,9,2019-02-15
"23843",19136,"dandong","2019/2/16",131,46,31,9,10,7,2019-02-16
"23844",19137,"dandong","2019/2/17",100,54,29,17,28,13,2019-02-17
"23845",19138,"dandong","2019/2/18",113,65,30,21,29,15,2019-02-18
"23846",19139,"dandong","2019/2/19",144,74,25,18,24,16,2019-02-19
"23847",19140,"dandong","2019/2/20",162,76,32,18,16,15,2019-02-20
"23848",19141,"dandong","2019/2/21",170,65,35,19,21,17,2019-02-21
"23849",19142,"dandong","2019/2/22",154,84,35,26,26,16,2019-02-22
"23850",19143,"dandong","2019/2/23",174,72,37,17,24,15,2019-02-23
"23851",19144,"dandong","2019/2/24",158,82,40,19,22,18,2019-02-24
"23852",19145,"dandong","2019/2/25",173,56,32,14,14,10,2019-02-25
"23853",19146,"dandong","2019/2/26",105,66,34,18,25,15,2019-02-26
"23854",19147,"dandong","2019/2/27",146,86,32,24,29,15,2019-02-27
"23855",19148,"dandong","2019/2/28",172,105,44,25,28,18,2019-02-28
"23856",19149,"dandong","2019/3/1",191,106,39,26,25,18,2019-03-01
"23857",19150,"dandong","2019/3/2",184,113,53,23,26,17,2019-03-02
"23858",19151,"dandong","2019/3/3",185,137,45,25,20,23,2019-03-03
"23859",19152,"dandong","2019/3/4",245,145,36,31,22,24,2019-03-04
"23860",19153,"dandong","2019/3/5",244,106,27,23,15,24,2019-03-05
"23861",19154,"dandong","2019/3/6",192,67,36,11,9,11,2019-03-06
"23862",19155,"dandong","2019/3/7",132,48,37,12,11,7,2019-03-07
"23863",19156,"dandong","2019/3/8",87,67,38,17,23,13,2019-03-08
"23864",19157,"dandong","2019/3/9",149,66,39,16,16,11,2019-03-09
"23865",19158,"dandong","2019/3/10",151,76,48,22,24,14,2019-03-10
"23866",19159,"dandong","2019/3/11",166,94,40,18,19,17,2019-03-11
"23867",19160,"dandong","2019/3/12",184,63,33,7,6,5,2019-03-12
"23868",19161,"dandong","2019/3/13",75,53,43,12,11,7,2019-03-13
"23869",19162,"dandong","2019/3/14",71,63,37,16,13,15,2019-03-14
"23870",19163,"dandong","2019/3/15",126,61,29,16,10,10,2019-03-15
"23871",19164,"dandong","2019/3/16",132,57,38,14,19,11,2019-03-16
"23872",19165,"dandong","2019/3/17",133,61,37,14,22,14,2019-03-17
"23873",19166,"dandong","2019/3/18",134,45,40,10,19,9,2019-03-18
"23874",19167,"dandong","2019/3/19",88,62,49,12,15,9,2019-03-19
"23875",19168,"dandong","2019/3/20",120,75,61,12,16,10,2019-03-20
"23876",19169,"dandong","2019/3/21",157,45,40,7,6,5,2019-03-21
"23877",19170,"dandong","2019/3/22",93,45,35,13,16,8,2019-03-22
"23878",19171,"dandong","2019/3/23",81,37,36,11,9,7,2019-03-23
"23879",19172,"dandong","2019/3/24",79,49,43,11,19,10,2019-03-24
"23880",19173,"dandong","2019/3/25",85,78,46,12,10,10,2019-03-25
"23881",19174,"dandong","2019/3/26",147,74,40,18,18,13,2019-03-26
"23882",19175,"dandong","2019/3/27",142,61,46,15,16,13,2019-03-27
"23883",19176,"dandong","2019/3/28",130,40,38,10,11,5,2019-03-28
"23884",19177,"dandong","2019/3/29",70,59,46,13,17,9,2019-03-29
"23885",19178,"dandong","2019/3/30",117,44,37,11,9,7,2019-03-30
"23886",19179,"dandong","2019/3/31",92,42,38,11,8,5,2019-03-31
"23887",19180,"dandong","2019/4/1",88,44,39,13,10,10,2019-04-01
