"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"28079",23372,"fuxin","2019/4/2",78,73,40,14,19,5,2019-04-02
"28080",23373,"fuxin","2019/4/3",102,66,38,17,23,7,2019-04-03
"28081",23374,"fuxin","2019/4/4",114,194,44,12,14,7,2019-04-04
"28082",23375,"fuxin","2019/4/5",117,77,38,6,4,3,2019-04-05
"28083",23376,"fuxin","2019/4/6",59,53,40,11,13,5,2019-04-06
"28084",23377,"fuxin","2019/4/7",74,37,36,9,7,4,2019-04-07
"28085",23378,"fuxin","2019/4/8",65,35,40,10,8,4,2019-04-08
"28086",23379,"fuxin","2019/4/9",69,61,43,19,24,6,2019-04-09
"28087",23380,"fuxin","2019/4/10",110,57,41,16,10,5,2019-04-10
"28088",23381,"fuxin","2019/4/11",84,54,41,14,11,6,2019-04-11
"28089",23382,"fuxin","2019/4/12",91,109,55,17,14,8,2019-04-12
"28090",23383,"fuxin","2019/4/13",149,80,52,10,10,6,2019-04-13
"28091",23384,"fuxin","2019/4/14",102,64,43,8,7,4,2019-04-14
"28092",23385,"fuxin","2019/4/15",61,79,47,14,13,7,2019-04-15
"28093",23386,"fuxin","2019/4/16",106,205,82,12,14,10,2019-04-16
"28094",23387,"fuxin","2019/4/17",166,427,80,10,9,7,2019-04-17
"28095",23388,"fuxin","2019/4/18",188,153,40,6,8,4,2019-04-18
"28096",23389,"fuxin","2019/4/19",115,60,46,14,11,5,2019-04-19
"28097",23390,"fuxin","2019/4/20",91,98,37,14,12,8,2019-04-20
"28098",23391,"fuxin","2019/4/21",99,110,43,14,14,9,2019-04-21
"28099",23392,"fuxin","2019/4/22",100,306,68,10,13,8,2019-04-22
"28100",23393,"fuxin","2019/4/23",149,107,72,9,11,9,2019-04-23
"28101",23394,"fuxin","2019/4/24",139,93,41,11,7,9,2019-04-24
"28102",23395,"fuxin","2019/4/25",78,40,40,8,7,2,2019-04-25
"28204",23497,"fuxin","2019/2/5",133,64,30,7,44,4,2019-02-05
"28205",23498,"fuxin","2019/2/6",100,50,31,5,53,4,2019-02-06
"28206",23499,"fuxin","2019/2/7",95,50,30,5,25,5,2019-02-07
"28207",23500,"fuxin","2019/2/8",72,40,31,7,24,6,2019-02-08
"28208",23501,"fuxin","2019/2/9",78,33,32,7,31,5,2019-02-09
"28209",23502,"fuxin","2019/2/10",65,54,29,12,32,9,2019-02-10
"28210",23503,"fuxin","2019/2/11",131,77,29,14,71,12,2019-02-11
"28211",23504,"fuxin","2019/2/12",141,46,30,12,40,7,2019-02-12
"28212",23505,"fuxin","2019/2/13",97,40,31,12,43,7,2019-02-13
"28213",23506,"fuxin","2019/2/14",91,66,32,14,46,9,2019-02-14
"28214",23507,"fuxin","2019/2/15",120,61,31,11,34,6,2019-02-15
"28215",23508,"fuxin","2019/2/16",121,39,32,8,15,5,2019-02-16
"28216",23509,"fuxin","2019/2/17",65,50,35,12,18,6,2019-02-17
"28217",23510,"fuxin","2019/2/18",93,88,28,22,47,11,2019-02-18
"28218",23511,"fuxin","2019/2/19",160,96,26,22,24,11,2019-02-19
"28219",23512,"fuxin","2019/2/20",190,45,35,13,24,6,2019-02-20
