"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"30436",25729,"ganzhou","2019/4/2",71,55,23,15,14,15,2019-04-02
"30437",25730,"ganzhou","2019/4/3",111,34,30,9,6,13,2019-04-03
"30438",25731,"ganzhou","2019/4/4",66,25,52,9,4,14,2019-04-04
"30439",25732,"ganzhou","2019/4/5",61,29,29,9,6,16,2019-04-05
"30440",25733,"ganzhou","2019/4/6",71,53,42,12,8,17,2019-04-06
"30441",25734,"ganzhou","2019/4/7",95,64,62,17,8,19,2019-04-07
"30442",25735,"ganzhou","2019/4/8",118,61,50,15,7,15,2019-04-08
"30443",25736,"ganzhou","2019/4/9",121,55,44,7,6,12,2019-04-09
"30444",25737,"ganzhou","2019/4/10",100,39,35,6,10,13,2019-04-10
"30445",25738,"ganzhou","2019/4/11",81,32,31,7,6,14,2019-04-11
"30446",25739,"ganzhou","2019/4/12",68,30,29,10,7,14,2019-04-12
"30447",25740,"ganzhou","2019/4/13",67,52,12,15,11,16,2019-04-13
"30448",25741,"ganzhou","2019/4/14",100,35,31,10,10,17,2019-04-14
"30449",25742,"ganzhou","2019/4/15",76,46,41,8,4,17,2019-04-15
"30450",25743,"ganzhou","2019/4/16",99,35,31,11,6,17,2019-04-16
"30451",25744,"ganzhou","2019/4/17",79,53,56,17,8,18,2019-04-17
"30452",25745,"ganzhou","2019/4/18",91,64,35,20,6,19,2019-04-18
"30453",25746,"ganzhou","2019/4/19",116,45,33,15,6,15,2019-04-19
"30454",25747,"ganzhou","2019/4/20",89,30,34,13,9,15,2019-04-20
"30455",25748,"ganzhou","2019/4/21",74,54,56,16,10,16,2019-04-21
"30456",25749,"ganzhou","2019/4/22",87,51,43,14,12,18,2019-04-22
"30457",25750,"ganzhou","2019/4/23",94,41,34,11,11,16,2019-04-23
"30458",25751,"ganzhou","2019/4/24",84,50,48,14,9,17,2019-04-24
"30459",25752,"ganzhou","2019/4/25",91,43,72,10,10,15,2019-04-25
"30460",25753,"ganzhou","2019/4/26",77,41,52,10,9,13,2019-04-26
"30562",25855,"ganzhou","2019/2/6",155,67,35,7,3,16,2019-02-06
"30563",25856,"ganzhou","2019/2/7",133,39,33,5,6,15,2019-02-07
"30564",25857,"ganzhou","2019/2/8",85,21,21,5,6,19,2019-02-08
"30565",25858,"ganzhou","2019/2/9",60,19,24,4,3,13,2019-02-09
"30566",25859,"ganzhou","2019/2/10",50,15,20,5,3,10,2019-02-10
"30567",25860,"ganzhou","2019/2/11",50,16,30,4,4,12,2019-02-11
"30568",25861,"ganzhou","2019/2/12",43,35,30,7,8,14,2019-02-12
"30569",25862,"ganzhou","2019/2/13",70,31,27,7,7,16,2019-02-13
"30570",25863,"ganzhou","2019/2/14",76,29,29,10,8,17,2019-02-14
"30571",25864,"ganzhou","2019/2/15",66,30,29,8,4,19,2019-02-15
"30572",25865,"ganzhou","2019/2/16",68,20,24,9,3,18,2019-02-16
"30573",25866,"ganzhou","2019/2/17",51,21,20,10,3,17,2019-02-17
"30574",25867,"ganzhou","2019/2/18",49,17,17,10,3,20,2019-02-18
"30575",25868,"ganzhou","2019/2/19",51,23,36,9,6,22,2019-02-19
"30576",25869,"ganzhou","2019/2/20",59,30,28,8,3,18,2019-02-20
"30577",25870,"ganzhou","2019/2/21",68,14,23,10,3,19,2019-02-21
"30578",25871,"ganzhou","2019/2/22",43,18,35,8,4,17,2019-02-22
"30579",25872,"ganzhou","2019/2/23",50,18,31,7,4,17,2019-02-23
"30580",25873,"ganzhou","2019/2/24",52,23,31,7,5,16,2019-02-24
"30581",25874,"ganzhou","2019/2/25",64,43,29,10,6,18,2019-02-25
"30582",25875,"ganzhou","2019/2/26",95,58,26,16,9,17,2019-02-26
"30583",25876,"ganzhou","2019/2/27",130,31,21,10,3,16,2019-02-27
"30584",25877,"ganzhou","2019/2/28",73,18,34,8,4,15,2019-02-28
"30585",25878,"ganzhou","2019/3/1",58,39,26,10,4,13,2019-03-01
"30586",25879,"ganzhou","2019/3/2",86,35,21,9,7,13,2019-03-02
"30587",25880,"ganzhou","2019/3/3",76,19,35,11,5,15,2019-03-03
"30588",25881,"ganzhou","2019/3/4",49,41,37,16,9,14,2019-03-04
"30589",25882,"ganzhou","2019/3/5",83,34,29,19,7,16,2019-03-05
"30590",25883,"ganzhou","2019/3/6",80,21,33,6,7,14,2019-03-06
"30591",25884,"ganzhou","2019/3/7",57,32,38,7,5,12,2019-03-07
"30592",25885,"ganzhou","2019/3/8",82,41,38,9,3,11,2019-03-08
"30593",25886,"ganzhou","2019/3/9",97,22,33,7,5,13,2019-03-09
"30594",25887,"ganzhou","2019/3/10",64,39,43,11,5,14,2019-03-10
"30595",25888,"ganzhou","2019/3/11",98,61,71,16,7,12,2019-03-11
"30596",25889,"ganzhou","2019/3/12",131,72,85,25,11,12,2019-03-12
"30597",25890,"ganzhou","2019/3/13",137,85,76,31,12,13,2019-03-13
"30598",25891,"ganzhou","2019/3/14",141,69,53,15,8,11,2019-03-14
"30599",25892,"ganzhou","2019/3/15",128,49,65,10,9,9,2019-03-15
