"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"32440",27733,"guangzhou","2019/4/2",68,52,25,31,3,9,2019-04-02
"32441",27734,"guangzhou","2019/4/3",138,58,20,35,3,8,2019-04-03
"32442",27735,"guangzhou","2019/4/4",145,44,7,25,2,9,2019-04-04
"32443",27736,"guangzhou","2019/4/5",98,45,39,17,3,8,2019-04-05
"32444",27737,"guangzhou","2019/4/6",92,55,59,22,4,8,2019-04-06
"32445",27738,"guangzhou","2019/4/7",127,42,49,18,3,6,2019-04-07
"32446",27739,"guangzhou","2019/4/8",92,38,24,18,2,6,2019-04-08
"32447",27740,"guangzhou","2019/4/9",78,33,16,16,2,5,2019-04-09
"32448",27741,"guangzhou","2019/4/10",70,44,45,15,3,5,2019-04-10
"32449",27742,"guangzhou","2019/4/11",86,36,12,16,2,6,2019-04-11
"32450",27743,"guangzhou","2019/4/12",77,23,6,18,2,7,2019-04-12
"32451",27744,"guangzhou","2019/4/13",58,40,3,26,2,8,2019-04-13
"32452",27745,"guangzhou","2019/4/14",88,44,6,26,3,9,2019-04-14
"32453",27746,"guangzhou","2019/4/15",103,23,5,19,2,9,2019-04-15
"32454",27747,"guangzhou","2019/4/16",60,24,27,26,2,8,2019-04-16
"32455",27748,"guangzhou","2019/4/17",75,54,42,27,3,10,2019-04-17
"32456",27749,"guangzhou","2019/4/18",123,34,21,26,2,6,2019-04-18
"32457",27750,"guangzhou","2019/4/19",105,20,25,28,2,5,2019-04-19
"32458",27751,"guangzhou","2019/4/20",74,24,13,30,3,6,2019-04-20
"32459",27752,"guangzhou","2019/4/21",78,43,7,32,3,9,2019-04-21
"32460",27753,"guangzhou","2019/4/22",99,31,28,20,2,5,2019-04-22
"32461",27754,"guangzhou","2019/4/23",65,39,26,21,3,5,2019-04-23
"32462",27755,"guangzhou","2019/4/24",85,35,39,15,3,5,2019-04-24
"32463",27756,"guangzhou","2019/4/25",68,40,39,16,3,5,2019-04-25
"32464",27757,"guangzhou","2019/4/26",87,41,27,22,2,6,2019-04-26
"32465",27758,"guangzhou","2019/4/27",93,21,23,23,2,6,2019-04-27
"32567",27860,"guangzhou","2019/2/7",101,30,28,8,2,7,2019-02-07
"32568",27861,"guangzhou","2019/2/8",73,30,30,8,2,7,2019-02-08
"32569",27862,"guangzhou","2019/2/9",68,36,23,10,2,9,2019-02-09
"32570",27863,"guangzhou","2019/2/10",77,27,4,10,1,10,2019-02-10
"32571",27864,"guangzhou","2019/2/11",55,13,1,10,2,8,2019-02-11
"32572",27865,"guangzhou","2019/2/12",33,33,28,16,3,8,2019-02-12
"32573",27866,"guangzhou","2019/2/13",81,61,21,30,3,10,2019-02-13
"32574",27867,"guangzhou","2019/2/14",129,45,31,23,2,8,2019-02-14
"32575",27868,"guangzhou","2019/2/15",88,46,12,27,3,8,2019-02-15
"32576",27869,"guangzhou","2019/2/16",88,39,33,19,2,7,2019-02-16
"32577",27870,"guangzhou","2019/2/17",85,48,5,14,2,10,2019-02-17
"32578",27871,"guangzhou","2019/2/18",99,28,6,17,2,9,2019-02-18
"32579",27872,"guangzhou","2019/2/19",65,40,7,21,2,10,2019-02-19
"32580",27873,"guangzhou","2019/2/20",90,53,16,16,2,9,2019-02-20
"32581",27874,"guangzhou","2019/2/21",93,30,12,16,2,6,2019-02-21
"32582",27875,"guangzhou","2019/2/22",66,24,23,14,2,10,2019-02-22
"32583",27876,"guangzhou","2019/2/23",61,17,7,17,1,9,2019-02-23
"32584",27877,"guangzhou","2019/2/24",48,11,19,15,1,10,2019-02-24
"32585",27878,"guangzhou","2019/2/25",35,31,9,17,1,9,2019-02-25
"32586",27879,"guangzhou","2019/2/26",68,44,3,19,2,10,2019-02-26
"32587",27880,"guangzhou","2019/2/27",125,96,6,37,2,16,2019-02-27
"32588",27881,"guangzhou","2019/2/28",160,95,4,26,2,15,2019-02-28
"32589",27882,"guangzhou","2019/3/1",144,61,17,25,2,11,2019-03-01
"32590",27883,"guangzhou","2019/3/2",109,48,11,25,2,7,2019-03-02
"32591",27884,"guangzhou","2019/3/3",85,31,30,21,2,7,2019-03-03
"32592",27885,"guangzhou","2019/3/4",64,37,47,21,2,8,2019-03-04
"32593",27886,"guangzhou","2019/3/5",80,34,21,25,2,8,2019-03-05
"32594",27887,"guangzhou","2019/3/6",62,20,8,20,2,7,2019-03-06
"32595",27888,"guangzhou","2019/3/7",49,14,13,17,1,7,2019-03-07
"32596",27889,"guangzhou","2019/3/8",43,15,6,18,1,8,2019-03-08
"32597",27890,"guangzhou","2019/3/9",50,15,3,19,1,9,2019-03-09
"32598",27891,"guangzhou","2019/3/10",46,21,14,18,1,9,2019-03-10
"32599",27892,"guangzhou","2019/3/11",63,42,45,25,2,10,2019-03-11
"32600",27893,"guangzhou","2019/3/12",103,66,64,32,3,10,2019-03-12
"32601",27894,"guangzhou","2019/3/13",141,60,66,37,3,8,2019-03-13
"32602",27895,"guangzhou","2019/3/14",131,44,22,27,2,7,2019-03-14
"32603",27896,"guangzhou","2019/3/15",100,43,29,23,2,6,2019-03-15
"32604",27897,"guangzhou","2019/3/16",98,64,55,34,3,7,2019-03-16
"32605",27898,"guangzhou","2019/3/17",130,64,44,33,4,6,2019-03-17
"32606",27899,"guangzhou","2019/3/18",110,94,13,39,3,10,2019-03-18
"32607",27900,"guangzhou","2019/3/19",155,70,24,26,3,9,2019-03-19
"32608",27901,"guangzhou","2019/3/20",124,52,18,21,2,7,2019-03-20
"32609",27902,"guangzhou","2019/3/21",86,42,27,18,2,6,2019-03-21
"32610",27903,"guangzhou","2019/3/22",169,47,11,23,2,7,2019-03-22
"32611",27904,"guangzhou","2019/3/23",91,34,13,16,2,7,2019-03-23
"32612",27905,"guangzhou","2019/3/24",64,27,10,16,1,6,2019-03-24
"32613",27906,"guangzhou","2019/3/25",51,31,20,24,2,9,2019-03-25
"32614",27907,"guangzhou","2019/3/26",75,71,9,42,4,12,2019-03-26
"32615",27908,"guangzhou","2019/3/27",145,52,39,31,3,8,2019-03-27
"32616",27909,"guangzhou","2019/3/28",96,54,33,27,2,8,2019-03-28
"32617",27910,"guangzhou","2019/3/29",108,46,10,25,3,8,2019-03-29
"32618",27911,"guangzhou","2019/3/30",96,40,60,19,2,7,2019-03-30
"32619",27912,"guangzhou","2019/3/31",89,48,35,24,3,7,2019-03-31
"32620",27913,"guangzhou","2019/4/1",86,27,13,17,2,7,2019-04-01
