"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"34809",30102,"hangzhou","2019/4/2",114,87,31,40,5,9,2019-04-02
"34810",30103,"hangzhou","2019/4/3",141,71,24,34,4,8,2019-04-03
"34811",30104,"hangzhou","2019/4/4",136,71,20,32,5,7,2019-04-04
"34812",30105,"hangzhou","2019/4/5",122,52,68,30,4,7,2019-04-05
"34813",30106,"hangzhou","2019/4/6",100,63,66,29,4,7,2019-04-06
"34814",30107,"hangzhou","2019/4/7",107,75,80,39,6,8,2019-04-07
"34815",30108,"hangzhou","2019/4/8",129,110,106,33,7,10,2019-04-08
"34816",30109,"hangzhou","2019/4/9",180,59,46,24,4,8,2019-04-09
"34817",30110,"hangzhou","2019/4/10",100,59,34,16,3,6,2019-04-10
"34818",30111,"hangzhou","2019/4/11",102,61,25,28,3,6,2019-04-11
"34819",30112,"hangzhou","2019/4/12",128,67,68,24,4,7,2019-04-12
"34820",30113,"hangzhou","2019/4/13",147,77,65,36,4,7,2019-04-13
"34821",30114,"hangzhou","2019/4/14",149,88,71,35,6,8,2019-04-14
"34822",30115,"hangzhou","2019/4/15",149,66,73,23,5,7,2019-04-15
"34823",30116,"hangzhou","2019/4/16",123,72,47,33,5,7,2019-04-16
"34824",30117,"hangzhou","2019/4/17",133,71,77,27,4,8,2019-04-17
"34825",30118,"hangzhou","2019/4/18",126,73,80,36,5,9,2019-04-18
"34826",30119,"hangzhou","2019/4/19",128,90,86,35,5,8,2019-04-19
"34827",30120,"hangzhou","2019/4/20",158,67,25,28,4,7,2019-04-20
"34828",30121,"hangzhou","2019/4/21",120,71,40,29,4,7,2019-04-21
"34829",30122,"hangzhou","2019/4/22",128,57,14,26,3,7,2019-04-22
"34830",30123,"hangzhou","2019/4/23",127,49,29,29,3,9,2019-04-23
"34831",30124,"hangzhou","2019/4/24",104,82,41,36,4,13,2019-04-24
"34933",30226,"hangzhou","2019/2/4",152,105,42,11,5,13,2019-02-04
"34934",30227,"hangzhou","2019/2/5",192,111,26,13,5,12,2019-02-05
"34935",30228,"hangzhou","2019/2/6",186,62,32,13,3,10,2019-02-06
"34936",30229,"hangzhou","2019/2/7",139,45,30,10,3,9,2019-02-07
"34937",30230,"hangzhou","2019/2/8",111,28,31,7,3,5,2019-02-08
"34938",30231,"hangzhou","2019/2/9",73,27,28,8,3,6,2019-02-09
"34939",30232,"hangzhou","2019/2/10",79,34,26,10,3,6,2019-02-10
"34940",30233,"hangzhou","2019/2/11",91,44,22,11,4,8,2019-02-11
"34941",30234,"hangzhou","2019/2/12",106,43,26,16,3,10,2019-02-12
"34942",30235,"hangzhou","2019/2/13",113,22,30,14,3,9,2019-02-13
"34943",30236,"hangzhou","2019/2/14",78,34,34,18,3,8,2019-02-14
"34944",30237,"hangzhou","2019/2/15",103,21,16,22,3,10,2019-02-15
"34945",30238,"hangzhou","2019/2/16",81,55,19,24,4,10,2019-02-16
"34946",30239,"hangzhou","2019/2/17",142,49,26,21,5,8,2019-02-17
"34947",30240,"hangzhou","2019/2/18",111,41,24,27,5,9,2019-02-18
"34948",30241,"hangzhou","2019/2/19",110,33,15,20,5,9,2019-02-19
"34949",30242,"hangzhou","2019/2/20",93,44,11,24,5,10,2019-02-20
"34950",30243,"hangzhou","2019/2/21",112,52,27,22,4,9,2019-02-21
"34951",30244,"hangzhou","2019/2/22",135,47,28,18,4,9,2019-02-22
"34952",30245,"hangzhou","2019/2/23",115,67,26,21,5,10,2019-02-23
"34953",30246,"hangzhou","2019/2/24",156,93,46,30,7,13,2019-02-24
"34954",30247,"hangzhou","2019/2/25",180,135,14,50,12,17,2019-02-25
"34955",30248,"hangzhou","2019/2/26",219,96,41,30,5,12,2019-02-26
"34956",30249,"hangzhou","2019/2/27",169,56,21,27,4,9,2019-02-27
"34957",30250,"hangzhou","2019/2/28",119,70,27,28,6,10,2019-02-28
"34958",30251,"hangzhou","2019/3/1",161,84,40,28,5,9,2019-03-01
