"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"37178",32471,"hefei","2019/4/2",104,71,55,39,9,6,2019-04-02
"37179",32472,"hefei","2019/4/3",113,74,74,27,6,7,2019-04-03
"37180",32473,"hefei","2019/4/4",129,74,61,33,7,8,2019-04-04
"37181",32474,"hefei","2019/4/5",149,67,59,20,5,8,2019-04-05
"37182",32475,"hefei","2019/4/6",152,59,66,17,4,7,2019-04-06
"37183",32476,"hefei","2019/4/7",118,86,81,34,5,9,2019-04-07
"37184",32477,"hefei","2019/4/8",142,88,77,22,7,10,2019-04-08
"37185",32478,"hefei","2019/4/9",148,50,52,14,4,7,2019-04-09
"37186",32479,"hefei","2019/4/10",106,47,27,13,2,5,2019-04-10
"37187",32480,"hefei","2019/4/11",136,48,31,22,2,7,2019-04-11
"37188",32481,"hefei","2019/4/12",135,60,57,26,4,9,2019-04-12
"37189",32482,"hefei","2019/4/13",150,72,64,34,4,9,2019-04-13
"37190",32483,"hefei","2019/4/14",139,64,60,27,3,8,2019-04-14
"37191",32484,"hefei","2019/4/15",124,60,61,26,4,6,2019-04-15
"37192",32485,"hefei","2019/4/16",108,63,61,26,4,6,2019-04-16
"37193",32486,"hefei","2019/4/17",103,73,62,26,4,7,2019-04-17
"37194",32487,"hefei","2019/4/18",120,61,71,18,3,6,2019-04-18
"37195",32488,"hefei","2019/4/19",85,70,82,21,3,7,2019-04-19
"37196",32489,"hefei","2019/4/20",128,64,73,19,2,8,2019-04-20
"37197",32490,"hefei","2019/4/21",134,66,35,16,2,7,2019-04-21
"37198",32491,"hefei","2019/4/22",133,40,31,19,1,7,2019-04-22
"37199",32492,"hefei","2019/4/23",93,37,23,17,1,7,2019-04-23
"37200",32493,"hefei","2019/4/24",99,49,59,22,2,9,2019-04-24
"37201",32494,"hefei","2019/4/25",109,62,32,16,3,9,2019-04-25
"37303",32596,"hefei","2019/2/5",184,107,29,14,4,10,2019-02-05
"37304",32597,"hefei","2019/2/6",204,62,23,10,2,9,2019-02-06
"37305",32598,"hefei","2019/2/7",154,70,24,8,NA,7,2019-02-07
"37306",32599,"hefei","2019/2/8",152,20,24,6,1,3,2019-02-08
"37307",32600,"hefei","2019/2/9",68,36,22,8,1,5,2019-02-09
"37308",32601,"hefei","2019/2/10",107,42,25,10,1,6,2019-02-10
"37309",32602,"hefei","2019/2/11",121,47,19,13,1,7,2019-02-11
"37310",32603,"hefei","2019/2/12",130,41,11,19,1,9,2019-02-12
"37311",32604,"hefei","2019/2/13",137,29,18,16,1,7,2019-02-13
"37312",32605,"hefei","2019/2/14",102,25,24,16,1,8,2019-02-14
"37313",32606,"hefei","2019/2/15",81,36,19,12,1,7,2019-02-15
"37314",32607,"hefei","2019/2/16",112,69,30,14,2,9,2019-02-16
"37315",32608,"hefei","2019/2/17",166,43,25,17,3,6,2019-02-17
"37316",32609,"hefei","2019/2/18",115,39,22,19,1,8,2019-02-18
"37317",32610,"hefei","2019/2/19",103,35,25,12,1,6,2019-02-19
"37318",32611,"hefei","2019/2/20",101,57,24,18,1,8,2019-02-20
"37319",32612,"hefei","2019/2/21",159,55,31,17,2,8,2019-02-21
"37320",32613,"hefei","2019/2/22",168,42,61,19,1,6,2019-02-22
"37321",32614,"hefei","2019/2/23",117,71,36,24,2,9,2019-02-23
"37322",32615,"hefei","2019/2/24",157,90,51,38,4,14,2019-02-24
"37323",32616,"hefei","2019/2/25",182,92,55,53,4,14,2019-02-25
"37324",32617,"hefei","2019/2/26",180,88,46,34,4,11,2019-02-26
"37325",32618,"hefei","2019/2/27",185,31,30,18,1,6,2019-02-27
"37326",32619,"hefei","2019/2/28",95,60,28,25,2,7,2019-02-28
"37327",32620,"hefei","2019/3/1",146,64,26,30,3,9,2019-03-01
"37328",32621,"hefei","2019/3/2",159,79,32,24,2,10,2019-03-02
"37329",32622,"hefei","2019/3/3",184,64,38,19,2,7,2019-03-03
"37330",32623,"hefei","2019/3/4",157,59,40,24,2,10,2019-03-04
"37331",32624,"hefei","2019/3/5",152,65,38,30,3,10,2019-03-05
"37332",32625,"hefei","2019/3/6",161,75,53,27,4,10,2019-03-06
"37333",32626,"hefei","2019/3/7",170,64,46,19,2,5,2019-03-07
"37334",32627,"hefei","2019/3/8",114,62,37,27,5,7,2019-03-08
