"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"41913",37206,"jinzhou","2019/4/2",80,63,41,20,21,9,2019-04-02
"41914",37207,"jinzhou","2019/4/3",100,100,42,28,21,12,2019-04-03
"41915",37208,"jinzhou","2019/4/4",134,240,61,25,24,11,2019-04-04
"41916",37209,"jinzhou","2019/4/5",173,199,40,13,10,5,2019-04-05
"41917",37210,"jinzhou","2019/4/6",83,70,47,20,21,9,2019-04-06
"41918",37211,"jinzhou","2019/4/7",105,56,40,15,14,8,2019-04-07
"41919",37212,"jinzhou","2019/4/8",83,61,41,19,17,7,2019-04-08
"41920",37213,"jinzhou","2019/4/9",98,77,41,22,20,9,2019-04-09
"41921",37214,"jinzhou","2019/4/10",110,60,43,15,13,7,2019-04-10
"41922",37215,"jinzhou","2019/4/11",79,82,43,22,20,9,2019-04-11
"41923",37216,"jinzhou","2019/4/12",142,169,71,24,19,12,2019-04-12
"41924",37217,"jinzhou","2019/4/13",178,89,66,19,16,11,2019-04-13
"41925",37218,"jinzhou","2019/4/14",190,104,45,16,11,7,2019-04-14
"41926",37219,"jinzhou","2019/4/15",96,136,50,23,17,9,2019-04-15
"41927",37220,"jinzhou","2019/4/16",129,90,88,17,19,9,2019-04-16
"41928",37221,"jinzhou","2019/4/17",157,155,79,16,13,8,2019-04-17
"41929",37222,"jinzhou","2019/4/18",144,148,41,8,6,7,2019-04-18
"41930",37223,"jinzhou","2019/4/19",94,63,47,20,16,7,2019-04-19
"41931",37224,"jinzhou","2019/4/20",81,46,32,23,14,10,2019-04-20
"41932",37225,"jinzhou","2019/4/21",99,67,46,24,19,10,2019-04-21
"41933",37226,"jinzhou","2019/4/22",111,88,59,20,19,8,2019-04-22
"41934",37227,"jinzhou","2019/4/23",138,58,45,16,17,6,2019-04-23
"41935",37228,"jinzhou","2019/4/24",144,98,34,10,11,6,2019-04-24
"41936",37229,"jinzhou","2019/4/25",90,56,40,10,8,6,2019-04-25
"42038",37331,"jinzhou","2019/2/5",132,126,27,8,26,9,2019-02-05
"42039",37332,"jinzhou","2019/2/6",162,50,28,6,28,7,2019-02-06
"42040",37333,"jinzhou","2019/2/7",87,43,28,8,37,7,2019-02-07
"42041",37334,"jinzhou","2019/2/8",82,59,30,15,40,11,2019-02-08
"42042",37335,"jinzhou","2019/2/9",127,47,33,10,22,11,2019-02-09
"42043",37336,"jinzhou","2019/2/10",103,52,33,18,35,10,2019-02-10
"42044",37337,"jinzhou","2019/2/11",118,81,28,20,39,14,2019-02-11
"42045",37338,"jinzhou","2019/2/12",144,44,26,12,34,7,2019-02-12
"42046",37339,"jinzhou","2019/2/13",100,44,34,16,31,9,2019-02-13
"42047",37340,"jinzhou","2019/2/14",119,57,29,21,39,12,2019-02-14
"42048",37341,"jinzhou","2019/2/15",133,46,28,14,37,9,2019-02-15
"42049",37342,"jinzhou","2019/2/16",104,48,31,21,27,9,2019-02-16
"42050",37343,"jinzhou","2019/2/17",87,79,31,26,37,16,2019-02-17
"42051",37344,"jinzhou","2019/2/18",138,90,17,30,47,21,2019-02-18
"42052",37345,"jinzhou","2019/2/19",184,89,24,30,43,17,2019-02-19
"42053",37346,"jinzhou","2019/2/20",199,78,34,25,31,13,2019-02-20
"42054",37347,"jinzhou","2019/2/21",159,99,34,37,40,21,2019-02-21
"42055",37348,"jinzhou","2019/2/22",189,113,32,41,44,29,2019-02-22
"42056",37349,"jinzhou","2019/2/23",216,86,33,32,43,14,2019-02-23
"42057",37350,"jinzhou","2019/2/24",151,71,34,26,39,11,2019-02-24
"42058",37351,"jinzhou","2019/2/25",135,59,32,23,36,10,2019-02-25
"42059",37352,"jinzhou","2019/2/26",110,81,41,29,40,12,2019-02-26
"42060",37353,"jinzhou","2019/2/27",162,118,36,45,44,15,2019-02-27
"42061",37354,"jinzhou","2019/2/28",209,128,37,43,46,19,2019-02-28
"42062",37355,"jinzhou","2019/3/1",212,171,51,45,44,19,2019-03-01
"42063",37356,"jinzhou","2019/3/2",246,186,23,54,36,27,2019-03-02
"42064",37357,"jinzhou","2019/3/3",334,202,41,53,38,30,2019-03-03
"42065",37358,"jinzhou","2019/3/4",342,184,71,48,35,22,2019-03-04
"42066",37359,"jinzhou","2019/3/5",288,216,35,53,38,24,2019-03-05
"42067",37360,"jinzhou","2019/3/6",311,101,36,16,27,6,2019-03-06
"42068",37361,"jinzhou","2019/3/7",114,58,36,20,28,7,2019-03-07
"42069",37362,"jinzhou","2019/3/8",85,120,37,35,39,17,2019-03-08
"42070",37363,"jinzhou","2019/3/9",192,88,32,32,36,13,2019-03-09
"42071",37364,"jinzhou","2019/3/10",180,71,35,27,37,10,2019-03-10
"42072",37365,"jinzhou","2019/3/11",125,124,36,30,26,11,2019-03-11
"42073",37366,"jinzhou","2019/3/12",151,67,34,16,13,6,2019-03-12
"42074",37367,"jinzhou","2019/3/13",74,79,35,21,29,8,2019-03-13
"42075",37368,"jinzhou","2019/3/14",91,62,36,22,34,9,2019-03-14
"42076",37369,"jinzhou","2019/3/15",104,38,28,8,17,6,2019-03-15
"42077",37370,"jinzhou","2019/3/16",61,46,29,13,26,7,2019-03-16
"42078",37371,"jinzhou","2019/3/17",72,53,27,16,21,8,2019-03-17
"42079",37372,"jinzhou","2019/3/18",75,67,29,21,26,10,2019-03-18
"42080",37373,"jinzhou","2019/3/19",139,90,47,24,24,12,2019-03-19
"42081",37374,"jinzhou","2019/3/20",179,57,35,15,12,8,2019-03-20
"42082",37375,"jinzhou","2019/3/21",144,34,36,9,12,6,2019-03-21
"42083",37376,"jinzhou","2019/3/22",72,71,35,22,22,10,2019-03-22
"42084",37377,"jinzhou","2019/3/23",122,38,36,13,17,7,2019-03-23
"42085",37378,"jinzhou","2019/3/24",60,131,35,30,27,13,2019-03-24
"42086",37379,"jinzhou","2019/3/25",141,95,40,30,36,15,2019-03-25
"42087",37380,"jinzhou","2019/3/26",177,60,38,18,20,6,2019-03-26
"42088",37381,"jinzhou","2019/3/27",84,71,36,14,19,7,2019-03-27
"42089",37382,"jinzhou","2019/3/28",101,53,36,18,26,7,2019-03-28
"42090",37383,"jinzhou","2019/3/29",88,71,31,23,30,12,2019-03-29
"42091",37384,"jinzhou","2019/3/30",137,118,37,10,16,6,2019-03-30
"42092",37385,"jinzhou","2019/3/31",93,41,36,17,16,6,2019-03-31
"42093",37386,"jinzhou","2019/4/1",63,56,39,20,14,7,2019-04-01
