"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"46650",41943,"nanjing","2019/4/2",109,72,44,37,7,10,2019-04-02
"46651",41944,"nanjing","2019/4/3",123,82,66,33,7,9,2019-04-03
"46652",41945,"nanjing","2019/4/4",152,76,62,24,6,8,2019-04-04
"46653",41946,"nanjing","2019/4/5",152,77,72,24,9,10,2019-04-05
"46654",41947,"nanjing","2019/4/6",156,71,66,24,15,11,2019-04-06
"46655",41948,"nanjing","2019/4/7",133,77,77,25,10,8,2019-04-07
"46656",41949,"nanjing","2019/4/8",131,104,108,24,9,10,2019-04-08
"46657",41950,"nanjing","2019/4/9",171,55,29,14,4,7,2019-04-09
"46658",41951,"nanjing","2019/4/10",107,46,28,13,4,8,2019-04-10
"46659",41952,"nanjing","2019/4/11",104,44,52,16,6,7,2019-04-11
"46660",41953,"nanjing","2019/4/12",94,68,70,27,5,7,2019-04-12
"46661",41954,"nanjing","2019/4/13",150,71,81,26,5,6,2019-04-13
"46662",41955,"nanjing","2019/4/14",137,70,53,36,6,6,2019-04-14
"46663",41956,"nanjing","2019/4/15",123,68,58,24,6,8,2019-04-15
"46664",41957,"nanjing","2019/4/16",113,69,54,32,7,8,2019-04-16
"46665",41958,"nanjing","2019/4/17",116,81,70,33,9,11,2019-04-17
"46666",41959,"nanjing","2019/4/18",140,74,70,29,8,9,2019-04-18
"46667",41960,"nanjing","2019/4/19",126,73,44,20,5,7,2019-04-19
"46668",41961,"nanjing","2019/4/20",134,72,33,21,5,6,2019-04-20
"46669",41962,"nanjing","2019/4/21",155,50,18,21,6,5,2019-04-21
"46670",41963,"nanjing","2019/4/22",111,45,18,17,4,5,2019-04-22
"46671",41964,"nanjing","2019/4/23",118,42,21,20,5,6,2019-04-23
"46672",41965,"nanjing","2019/4/24",107,59,42,22,7,8,2019-04-24
"46774",42067,"nanjing","2019/2/4",174,103,62,16,5,14,2019-02-04
"46775",42068,"nanjing","2019/2/5",187,103,41,15,7,11,2019-02-05
"46776",42069,"nanjing","2019/2/6",181,81,24,18,9,11,2019-02-06
"46777",42070,"nanjing","2019/2/7",173,67,31,7,4,10,2019-02-07
"46778",42071,"nanjing","2019/2/8",141,27,30,8,3,4,2019-02-08
"46779",42072,"nanjing","2019/2/9",67,33,30,7,3,6,2019-02-09
"46780",42073,"nanjing","2019/2/10",86,44,29,9,5,7,2019-02-10
"46781",42074,"nanjing","2019/2/11",100,47,37,9,4,7,2019-02-11
"46782",42075,"nanjing","2019/2/12",110,56,22,18,6,9,2019-02-12
"46783",42076,"nanjing","2019/2/13",134,43,32,13,6,7,2019-02-13
"46784",42077,"nanjing","2019/2/14",106,37,33,14,4,9,2019-02-14
"46785",42078,"nanjing","2019/2/15",95,53,21,20,5,10,2019-02-15
"46786",42079,"nanjing","2019/2/16",124,68,33,15,8,8,2019-02-16
"46787",42080,"nanjing","2019/2/17",143,54,32,16,7,10,2019-02-17
"46788",42081,"nanjing","2019/2/18",109,38,25,22,4,8,2019-02-18
"46789",42082,"nanjing","2019/2/19",99,34,47,14,3,7,2019-02-19
"46790",42083,"nanjing","2019/2/20",91,74,22,20,8,10,2019-02-20
"46791",42084,"nanjing","2019/2/21",168,91,29,21,5,13,2019-02-21
"46792",42085,"nanjing","2019/2/22",183,57,41,19,4,10,2019-02-22
"46793",42086,"nanjing","2019/2/23",144,104,22,33,5,13,2019-02-23
"46794",42087,"nanjing","2019/2/24",195,103,39,42,7,13,2019-02-24
"46795",42088,"nanjing","2019/2/25",182,111,88,51,15,14,2019-02-25
"46796",42089,"nanjing","2019/2/26",188,80,40,21,6,9,2019-02-26
"46797",42090,"nanjing","2019/2/27",148,52,33,20,4,6,2019-02-27
"46798",42091,"nanjing","2019/2/28",117,67,12,29,5,6,2019-02-28
"46799",42092,"nanjing","2019/3/1",148,90,4,38,8,12,2019-03-01
"46800",42093,"nanjing","2019/3/2",172,88,NA,25,6,9,2019-03-02
"46801",42094,"nanjing","2019/3/3",166,71,NA,25,5,7,2019-03-03
"46802",42095,"nanjing","2019/3/4",149,86,32,28,5,8,2019-03-04
"46803",42096,"nanjing","2019/3/5",165,81,33,28,5,9,2019-03-05
"46804",42097,"nanjing","2019/3/6",165,93,38,31,11,12,2019-03-06
"46805",42098,"nanjing","2019/3/7",178,76,36,17,5,9,2019-03-07
"46806",42099,"nanjing","2019/3/8",124,60,36,20,5,11,2019-03-08
"46807",42100,"nanjing","2019/3/9",96,74,28,28,11,10,2019-03-09
"46808",42101,"nanjing","2019/3/10",141,84,37,35,6,12,2019-03-10
"46809",42102,"nanjing","2019/3/11",157,105,43,34,7,10,2019-03-11
"46810",42103,"nanjing","2019/3/12",150,98,48,34,9,11,2019-03-12
"46811",42104,"nanjing","2019/3/13",133,86,47,23,12,8,2019-03-13
"46812",42105,"nanjing","2019/3/14",127,75,49,34,9,9,2019-03-14
"46813",42106,"nanjing","2019/3/15",131,69,41,37,8,7,2019-03-15
"46814",42107,"nanjing","2019/3/16",115,81,49,37,13,13,2019-03-16
"46815",42108,"nanjing","2019/3/17",134,100,60,44,14,17,2019-03-17
"46816",42109,"nanjing","2019/3/18",158,92,45,27,11,9,2019-03-18
"46817",42110,"nanjing","2019/3/19",154,70,17,24,8,6,2019-03-19
