"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"49020",44313,"panjin","2019/4/2",58,48,41,16,9,6,2019-04-02
"49021",44314,"panjin","2019/4/3",78,56,41,17,9,12,2019-04-03
"49022",44315,"panjin","2019/4/4",103,129,66,20,10,13,2019-04-04
"49023",44316,"panjin","2019/4/5",182,104,42,9,6,4,2019-04-05
"49024",44317,"panjin","2019/4/6",38,45,45,19,21,7,2019-04-06
"49025",44318,"panjin","2019/4/7",64,40,41,15,8,5,2019-04-07
"49026",44319,"panjin","2019/4/8",62,36,44,17,9,5,2019-04-08
"49027",44320,"panjin","2019/4/9",65,59,41,24,17,6,2019-04-09
"49028",44321,"panjin","2019/4/10",104,39,46,13,16,4,2019-04-10
"49029",44322,"panjin","2019/4/11",59,55,50,18,25,8,2019-04-11
"49030",44323,"panjin","2019/4/12",105,77,84,11,7,10,2019-04-12
"49031",44324,"panjin","2019/4/13",170,87,68,13,8,9,2019-04-13
"49032",44325,"panjin","2019/4/14",183,64,46,11,8,5,2019-04-14
"49033",44326,"panjin","2019/4/15",65,67,56,14,7,8,2019-04-15
"49034",44327,"panjin","2019/4/16",116,64,100,10,8,7,2019-04-16
"49035",44328,"panjin","2019/4/17",148,66,78,9,6,6,2019-04-17
"49036",44329,"panjin","2019/4/18",128,132,50,9,5,4,2019-04-18
"49037",44330,"panjin","2019/4/19",79,52,59,17,9,4,2019-04-19
"49038",44331,"panjin","2019/4/20",73,28,41,12,5,7,2019-04-20
"49039",44332,"panjin","2019/4/21",76,53,46,20,8,9,2019-04-21
"49040",44333,"panjin","2019/4/22",97,64,63,12,11,7,2019-04-22
"49041",44334,"panjin","2019/4/23",140,36,44,6,6,5,2019-04-23
"49042",44335,"panjin","2019/4/24",124,300,36,8,6,5,2019-04-24
"49043",44336,"panjin","2019/4/25",93,69,39,11,5,4,2019-04-25
"49145",44438,"panjin","2019/2/5",198,120,28,7,9,9,2019-02-05
"49146",44439,"panjin","2019/2/6",138,62,29,5,5,7,2019-02-06
"49147",44440,"panjin","2019/2/7",113,41,29,7,7,7,2019-02-07
"49148",44441,"panjin","2019/2/8",80,48,31,12,10,8,2019-02-08
"49149",44442,"panjin","2019/2/9",105,45,30,13,11,8,2019-02-09
"49150",44443,"panjin","2019/2/10",98,45,29,15,14,11,2019-02-10
"49151",44444,"panjin","2019/2/11",118,56,30,14,13,14,2019-02-11
"49152",44445,"panjin","2019/2/12",132,40,30,12,10,10,2019-02-12
"49153",44446,"panjin","2019/2/13",103,58,33,20,12,13,2019-02-13
"49154",44447,"panjin","2019/2/14",139,63,33,21,15,13,2019-02-14
"49155",44448,"panjin","2019/2/15",131,35,32,11,8,8,2019-02-15
"49156",44449,"panjin","2019/2/16",89,36,35,13,9,6,2019-02-16
"49157",44450,"panjin","2019/2/17",61,44,35,17,18,10,2019-02-17
"49158",44451,"panjin","2019/2/18",99,49,26,19,11,13,2019-02-18
"49159",44452,"panjin","2019/2/19",133,78,29,15,9,12,2019-02-19
"49160",44453,"panjin","2019/2/20",173,44,37,17,19,9,2019-02-20
"49161",44454,"panjin","2019/2/21",107,49,34,19,10,13,2019-02-21
"49162",44455,"panjin","2019/2/22",148,83,31,26,13,18,2019-02-22
"49163",44456,"panjin","2019/2/23",183,105,42,36,23,20,2019-02-23
"49164",44457,"panjin","2019/2/24",235,60,36,17,11,10,2019-02-24
"49165",44458,"panjin","2019/2/25",139,39,34,15,10,8,2019-02-25
"49166",44459,"panjin","2019/2/26",86,56,40,16,14,8,2019-02-26
"49167",44460,"panjin","2019/2/27",131,109,44,29,22,16,2019-02-27
"49168",44461,"panjin","2019/2/28",207,75,35,24,21,11,2019-02-28
"49169",44462,"panjin","2019/3/1",157,78,44,26,20,14,2019-03-01
"49170",44463,"panjin","2019/3/2",173,124,50,22,12,20,2019-03-02
"49171",44464,"panjin","2019/3/3",265,129,45,20,10,19,2019-03-03
"49172",44465,"panjin","2019/3/4",251,139,61,25,14,21,2019-03-04
"49173",44466,"panjin","2019/3/5",266,155,57,33,23,24,2019-03-05
"49174",44467,"panjin","2019/3/6",296,86,35,14,8,11,2019-03-06
"49175",44468,"panjin","2019/3/7",89,49,39,20,11,9,2019-03-07
"49176",44469,"panjin","2019/3/8",97,62,52,16,9,12,2019-03-08
"49177",44470,"panjin","2019/3/9",148,63,43,16,10,10,2019-03-09
"49178",44471,"panjin","2019/3/10",161,56,39,18,12,9,2019-03-10
"49179",44472,"panjin","2019/3/11",87,71,41,19,20,11,2019-03-11
"49180",44473,"panjin","2019/3/12",127,64,36,12,9,5,2019-03-12
"49181",44474,"panjin","2019/3/13",46,50,36,14,7,5,2019-03-13
"49182",44475,"panjin","2019/3/14",60,40,38,11,7,5,2019-03-14
"49183",44476,"panjin","2019/3/15",64,39,37,13,7,6,2019-03-15
"49184",44477,"panjin","2019/3/16",68,40,36,10,12,7,2019-03-16
"49185",44478,"panjin","2019/3/17",62,48,42,16,10,7,2019-03-17
"49186",44479,"panjin","2019/3/18",69,59,46,11,6,7,2019-03-18
"49187",44480,"panjin","2019/3/19",102,69,82,10,7,8,2019-03-19
"49188",44481,"panjin","2019/3/20",162,62,52,12,5,8,2019-03-20
"49189",44482,"panjin","2019/3/21",134,31,37,9,6,5,2019-03-21
"49190",44483,"panjin","2019/3/22",65,44,35,16,9,7,2019-03-22
"49191",44484,"panjin","2019/3/23",69,27,38,11,6,4,2019-03-23
"49192",44485,"panjin","2019/3/24",45,57,41,15,7,9,2019-03-24
"49193",44486,"panjin","2019/3/25",124,65,42,14,6,7,2019-03-25
"49194",44487,"panjin","2019/3/26",137,60,38,15,9,5,2019-03-26
"49195",44488,"panjin","2019/3/27",76,126,37,12,6,5,2019-03-27
"49196",44489,"panjin","2019/3/28",75,34,39,15,8,5,2019-03-28
"49197",44490,"panjin","2019/3/29",62,43,39,13,7,8,2019-03-29
"49198",44491,"panjin","2019/3/30",93,62,35,10,7,6,2019-03-30
"49199",44492,"panjin","2019/3/31",99,35,38,12,9,5,2019-03-31
"49200",44493,"panjin","2019/4/1",55,44,41,12,10,5,2019-04-01
