"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"53757",49050,"suzhou","2019/4/2",98,67,53,36,8,6,2019-04-02
"53758",49051,"suzhou","2019/4/3",119,76,52,45,8,8,2019-04-03
"53759",49052,"suzhou","2019/4/4",163,56,38,25,5,5,2019-04-04
"53760",49053,"suzhou","2019/4/5",138,65,84,34,8,7,2019-04-05
"53761",49054,"suzhou","2019/4/6",151,74,79,41,12,8,2019-04-06
"53762",49055,"suzhou","2019/4/7",147,81,92,34,13,8,2019-04-07
"53763",49056,"suzhou","2019/4/8",160,95,94,36,10,10,2019-04-08
"53764",49057,"suzhou","2019/4/9",188,53,41,17,7,6,2019-04-09
"53765",49058,"suzhou","2019/4/10",122,42,31,18,6,5,2019-04-10
"53766",49059,"suzhou","2019/4/11",104,41,42,23,6,5,2019-04-11
"53767",49060,"suzhou","2019/4/12",98,70,88,28,7,7,2019-04-12
"53768",49061,"suzhou","2019/4/13",157,49,90,17,3,4,2019-04-13
"53769",49062,"suzhou","2019/4/14",98,63,49,21,5,4,2019-04-14
"53770",49063,"suzhou","2019/4/15",141,54,75,21,4,4,2019-04-15
"53771",49064,"suzhou","2019/4/16",111,53,53,21,4,4,2019-04-16
"53772",49065,"suzhou","2019/4/17",83,71,93,28,9,6,2019-04-17
"53773",49066,"suzhou","2019/4/18",163,66,104,27,8,6,2019-04-18
"53774",49067,"suzhou","2019/4/19",149,63,51,22,7,5,2019-04-19
"53775",49068,"suzhou","2019/4/20",155,50,36,18,6,3,2019-04-20
"53776",49069,"suzhou","2019/4/21",106,41,25,22,5,3,2019-04-21
"53777",49070,"suzhou","2019/4/22",143,28,14,28,5,5,2019-04-22
"53778",49071,"suzhou","2019/4/23",131,42,39,26,4,8,2019-04-23
"53779",49072,"suzhou","2019/4/24",149,75,40,37,9,12,2019-04-24
"53780",49073,"suzhou","2019/4/25",203,61,60,24,5,6,2019-04-25
"53781",49074,"suzhou","2019/4/26",152,55,33,22,8,6,2019-04-26
"53782",49075,"suzhou","2019/4/27",102,47,34,23,4,4,2019-04-27
"53884",49177,"suzhou","2019/2/7",167,91,44,9,4,9,2019-02-07
"53885",49178,"suzhou","2019/2/8",120,72,43,9,6,5,2019-02-08
"53886",49179,"suzhou","2019/2/9",57,24,29,14,6,4,2019-02-09
"53887",49180,"suzhou","2019/2/10",80,35,29,13,5,5,2019-02-10
"53888",49181,"suzhou","2019/2/11",76,42,24,18,5,6,2019-02-11
"53889",49182,"suzhou","2019/2/12",103,40,26,25,3,7,2019-02-12
"53890",49183,"suzhou","2019/2/13",114,36,42,15,3,5,2019-02-13
"53891",49184,"suzhou","2019/2/14",98,33,35,20,4,7,2019-02-14
"53892",49185,"suzhou","2019/2/15",104,23,24,21,4,5,2019-02-15
"53893",49186,"suzhou","2019/2/16",77,48,29,16,10,8,2019-02-16
"53894",49187,"suzhou","2019/2/17",140,36,36,15,6,5,2019-02-17
"53895",49188,"suzhou","2019/2/18",90,25,25,27,7,7,2019-02-18
"53896",49189,"suzhou","2019/2/19",88,36,20,22,7,9,2019-02-19
"53897",49190,"suzhou","2019/2/20",120,60,24,23,7,9,2019-02-20
"53898",49191,"suzhou","2019/2/21",159,66,33,24,4,8,2019-02-21
"53899",49192,"suzhou","2019/2/22",161,59,29,23,6,12,2019-02-22
"53900",49193,"suzhou","2019/2/23",154,101,26,35,6,14,2019-02-23
"53901",49194,"suzhou","2019/2/24",198,109,54,45,6,16,2019-02-24
"53902",49195,"suzhou","2019/2/25",215,87,49,41,7,12,2019-02-25
"53903",49196,"suzhou","2019/2/26",189,62,49,28,4,11,2019-02-26
"53904",49197,"suzhou","2019/2/27",126,39,27,27,2,6,2019-02-27
"53905",49198,"suzhou","2019/2/28",99,52,15,28,4,10,2019-02-28
"53906",49199,"suzhou","2019/3/1",137,78,5,46,4,9,2019-03-01
"53907",49200,"suzhou","2019/3/2",173,75,NA,31,4,7,2019-03-02
"53908",49201,"suzhou","2019/3/3",170,74,NA,30,6,9,2019-03-03
"53909",49202,"suzhou","2019/3/4",166,94,11,35,7,10,2019-03-04
"53910",49203,"suzhou","2019/3/5",179,80,39,35,4,7,2019-03-05
"53911",49204,"suzhou","2019/3/6",175,79,59,29,7,10,2019-03-06
"53912",49205,"suzhou","2019/3/7",171,85,61,26,7,7,2019-03-07
"53913",49206,"suzhou","2019/3/8",147,40,52,25,7,6,2019-03-08
