"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"56125",51418,"tangshan","2019/4/2",117,89,40,29,38,30,2019-04-02
"56126",51419,"tangshan","2019/4/3",133,101,69,32,21,14,2019-04-03
"56127",51420,"tangshan","2019/4/4",147,136,95,36,16,13,2019-04-04
"56128",51421,"tangshan","2019/4/5",177,283,36,19,19,16,2019-04-05
"56129",51422,"tangshan","2019/4/6",116,100,45,23,26,19,2019-04-06
"56130",51423,"tangshan","2019/4/7",115,94,44,23,30,22,2019-04-07
"56131",51424,"tangshan","2019/4/8",112,84,36,24,35,26,2019-04-08
"56132",51425,"tangshan","2019/4/9",109,73,38,20,20,14,2019-04-09
"56133",51426,"tangshan","2019/4/10",99,66,45,21,15,12,2019-04-10
"56134",51427,"tangshan","2019/4/11",117,81,50,26,13,12,2019-04-11
"56135",51428,"tangshan","2019/4/12",146,96,59,27,13,16,2019-04-12
"56136",51429,"tangshan","2019/4/13",168,152,43,32,19,29,2019-04-13
"56137",51430,"tangshan","2019/4/14",211,112,45,25,11,12,2019-04-14
"56138",51431,"tangshan","2019/4/15",118,92,51,27,12,10,2019-04-15
"56139",51432,"tangshan","2019/4/16",141,95,94,27,15,14,2019-04-16
"56140",51433,"tangshan","2019/4/17",172,119,82,32,17,16,2019-04-17
"56242",51535,"tangshan","2019/1/28",165,78,28,27,24,13,2019-01-28
"56243",51536,"tangshan","2019/1/29",126,121,13,41,25,22,2019-01-29
"56244",51537,"tangshan","2019/1/30",178,156,26,45,28,26,2019-01-30
"56245",51538,"tangshan","2019/1/31",183,62,27,15,10,12,2019-01-31
"56246",51539,"tangshan","2019/2/1",102,116,26,25,15,15,2019-02-01
"56247",51540,"tangshan","2019/2/2",184,150,37,31,17,33,2019-02-02
"56248",51541,"tangshan","2019/2/3",221,147,37,20,13,23,2019-02-03
"56249",51542,"tangshan","2019/2/4",185,162,34,21,29,26,2019-02-04
"56250",51543,"tangshan","2019/2/5",200,230,24,23,32,29,2019-02-05
"56251",51544,"tangshan","2019/2/6",179,68,24,14,18,14,2019-02-06
"56252",51545,"tangshan","2019/2/7",127,50,30,7,6,7,2019-02-07
"56253",51546,"tangshan","2019/2/8",93,63,27,14,13,13,2019-02-08
"56254",51547,"tangshan","2019/2/9",133,47,28,10,8,10,2019-02-09
"56255",51548,"tangshan","2019/2/10",104,59,24,18,14,16,2019-02-10
"56256",51549,"tangshan","2019/2/11",125,82,29,24,13,12,2019-02-11
"56257",51550,"tangshan","2019/2/12",171,91,22,19,20,NA,2019-02-12
"56258",51551,"tangshan","2019/2/13",132,80,24,21,19,NA,2019-02-13
"56259",51552,"tangshan","2019/2/14",145,76,26,24,24,NA,2019-02-14
"56260",51553,"tangshan","2019/2/15",143,62,30,14,8,NA,2019-02-15
"56261",51554,"tangshan","2019/2/16",108,54,32,20,12,NA,2019-02-16
"56262",51555,"tangshan","2019/2/17",100,55,31,23,15,NA,2019-02-17
"56263",51556,"tangshan","2019/2/18",117,81,25,27,12,10,2019-02-18
"56264",51557,"tangshan","2019/2/19",165,97,24,23,11,4,2019-02-19
"56265",51558,"tangshan","2019/2/20",199,89,33,23,12,9,2019-02-20
"56266",51559,"tangshan","2019/2/21",165,106,34,33,10,16,2019-02-21
"56267",51560,"tangshan","2019/2/22",189,164,27,38,18,21,2019-02-22
"56268",51561,"tangshan","2019/2/23",264,113,42,43,20,4,2019-02-23
"56269",51562,"tangshan","2019/2/24",190,126,35,55,28,NA,2019-02-24
"56270",51563,"tangshan","2019/2/25",185,124,29,33,32,NA,2019-02-25
"56271",51564,"tangshan","2019/2/26",137,141,23,38,36,NA,2019-02-26
"56272",51565,"tangshan","2019/2/27",165,114,32,41,34,NA,2019-02-27
"56273",51566,"tangshan","2019/2/28",174,161,37,52,22,NA,2019-02-28
"56274",51567,"tangshan","2019/3/1",223,195,40,61,23,NA,2019-03-01
"56275",51568,"tangshan","2019/3/2",260,152,57,47,16,NA,2019-03-02
"56276",51569,"tangshan","2019/3/3",226,164,53,55,16,NA,2019-03-03
"56277",51570,"tangshan","2019/3/4",229,140,44,40,18,NA,2019-03-04
"56278",51571,"tangshan","2019/3/5",213,169,37,44,27,NA,2019-03-05
"56279",51572,"tangshan","2019/3/6",245,85,33,30,12,NA,2019-03-06
"56280",51573,"tangshan","2019/3/7",110,86,34,34,14,NA,2019-03-07
"56281",51574,"tangshan","2019/3/8",141,93,41,39,14,NA,2019-03-08
"56282",51575,"tangshan","2019/3/9",154,128,32,49,22,NA,2019-03-09
"56283",51576,"tangshan","2019/3/10",186,103,45,31,19,NA,2019-03-10
"56284",51577,"tangshan","2019/3/11",172,85,34,22,8,NA,2019-03-11
"56285",51578,"tangshan","2019/3/12",125,57,35,16,6,NA,2019-03-12
"56286",51579,"tangshan","2019/3/13",75,65,33,25,13,NA,2019-03-13
"56287",51580,"tangshan","2019/3/14",105,74,34,26,21,NA,2019-03-14
"56288",51581,"tangshan","2019/3/15",114,52,35,14,7,NA,2019-03-15
"56289",51582,"tangshan","2019/3/16",66,95,34,30,21,NA,2019-03-16
"56290",51583,"tangshan","2019/3/17",129,119,46,38,29,NA,2019-03-17
"56291",51584,"tangshan","2019/3/18",161,123,37,38,18,NA,2019-03-18
"56292",51585,"tangshan","2019/3/19",176,163,59,37,20,NA,2019-03-19
"56293",51586,"tangshan","2019/3/20",195,96,41,30,17,NA,2019-03-20
"56294",51587,"tangshan","2019/3/21",163,47,36,15,9,NA,2019-03-21
"56295",51588,"tangshan","2019/3/22",88,72,35,27,12,NA,2019-03-22
"56296",51589,"tangshan","2019/3/23",117,48,36,14,8,NA,2019-03-23
"56297",51590,"tangshan","2019/3/24",78,84,37,31,10,NA,2019-03-24
"56298",51591,"tangshan","2019/3/25",127,85,40,30,14,NA,2019-03-25
"56299",51592,"tangshan","2019/3/26",127,211,42,28,25,NA,2019-03-26
"56300",51593,"tangshan","2019/3/27",143,109,42,32,29,NA,2019-03-27
"56301",51594,"tangshan","2019/3/28",153,64,29,26,16,NA,2019-03-28
"56302",51595,"tangshan","2019/3/29",93,103,33,34,18,4,2019-03-29
"56303",51596,"tangshan","2019/3/30",142,62,37,10,7,5,2019-03-30
"56304",51597,"tangshan","2019/3/31",74,62,37,23,10,8,2019-03-31
"56305",51598,"tangshan","2019/4/1",90,87,37,26,23,23,2019-04-01
