"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"367",367,"tianjin","2019/4/2",66,48,NA,17,7,8,2019-04-02
"368",368,"tianjin","2019/4/3",85,52,NA,19,5,6,2019-04-03
"369",369,"tianjin","2019/4/4",96,113,NA,15,10,10,2019-04-04
"370",370,"tianjin","2019/4/5",176,317,NA,14,4,6,2019-04-05
"371",371,"tianjin","2019/4/6",96,77,NA,16,11,10,2019-04-06
"372",372,"tianjin","2019/4/7",77,68,NA,25,7,8,2019-04-07
"373",373,"tianjin","2019/4/8",78,48,NA,16,5,7,2019-04-08
"374",374,"tianjin","2019/4/9",40,35,NA,12,4,7,2019-04-09
"375",375,"tianjin","2019/4/10",49,36,NA,14,3,7,2019-04-10
"376",376,"tianjin","2019/4/11",86,48,NA,14,8,7,2019-04-11
"377",377,"tianjin","2019/4/12",132,56,NA,16,7,9,2019-04-12
"378",378,"tianjin","2019/4/13",157,79,NA,22,8,14,2019-04-13
"379",379,"tianjin","2019/4/14",194,54,NA,10,3,4,2019-04-14
"380",380,"tianjin","2019/4/15",63,66,NA,13,8,7,2019-04-15
"381",381,"tianjin","2019/4/16",113,67,NA,16,8,10,2019-04-16
"382",382,"tianjin","2019/4/17",159,89,NA,15,8,11,2019-04-17
"383",383,"tianjin","2019/4/18",158,165,NA,17,8,8,2019-04-18
"384",384,"tianjin","2019/4/19",115,51,NA,17,5,5,2019-04-19
"385",385,"tianjin","2019/4/20",48,55,NA,26,4,7,2019-04-20
"386",386,"tianjin","2019/4/21",92,86,NA,25,8,11,2019-04-21
"387",387,"tianjin","2019/4/22",140,77,NA,20,5,9,2019-04-22
"388",388,"tianjin","2019/4/23",164,61,NA,17,4,10,2019-04-23
"389",389,"tianjin","2019/4/24",163,52,NA,14,7,6,2019-04-24
"390",390,"tianjin","2019/4/25",71,24,NA,8,3,4,2019-04-25
"391",391,"tianjin","2019/4/26",49,36,NA,9,3,4,2019-04-26
"493",493,"tianjin","2019/2/6",199,57,NA,10,8,11,2019-02-06
"494",494,"tianjin","2019/2/7",110,31,NA,5,2,4,2019-02-07
"495",495,"tianjin","2019/2/8",52,36,NA,13,6,6,2019-02-08
"496",496,"tianjin","2019/2/9",80,26,NA,8,3,4,2019-02-09
"497",497,"tianjin","2019/2/10",66,43,NA,15,6,7,2019-02-10
"498",498,"tianjin","2019/2/11",106,84,NA,16,7,12,2019-02-11
"499",499,"tianjin","2019/2/12",170,55,NA,17,5,11,2019-02-12
"500",500,"tianjin","2019/2/13",122,50,NA,16,8,12,2019-02-13
"501",501,"tianjin","2019/2/14",127,27,NA,13,4,6,2019-02-14
"502",502,"tianjin","2019/2/15",79,28,NA,10,2,4,2019-02-15
"503",503,"tianjin","2019/2/16",75,17,NA,8,2,3,2019-02-16
"504",504,"tianjin","2019/2/17",36,21,NA,12,4,5,2019-02-17
"505",505,"tianjin","2019/2/18",52,73,NA,32,10,14,2019-02-18
"506",506,"tianjin","2019/2/19",170,70,NA,19,4,14,2019-02-19
"507",507,"tianjin","2019/2/20",198,95,NA,24,4,16,2019-02-20
"508",508,"tianjin","2019/2/21",187,143,NA,31,5,19,2019-02-21
"509",509,"tianjin","2019/2/22",250,197,NA,38,7,23,2019-02-22
"510",510,"tianjin","2019/2/23",312,69,NA,32,8,13,2019-02-23
"511",511,"tianjin","2019/2/24",158,117,NA,50,13,23,2019-02-24
"512",512,"tianjin","2019/2/25",244,53,NA,30,10,18,2019-02-25
"513",513,"tianjin","2019/2/26",131,49,NA,34,7,12,2019-02-26
"514",514,"tianjin","2019/2/27",91,65,NA,33,8,14,2019-02-27
"515",515,"tianjin","2019/2/28",146,114,NA,38,10,16,2019-02-28
"516",516,"tianjin","2019/3/1",223,95,NA,33,8,11,2019-03-01
"517",517,"tianjin","2019/3/2",193,95,NA,28,8,10,2019-03-02
"518",518,"tianjin","2019/3/3",197,97,NA,25,8,10,2019-03-03
"519",519,"tianjin","2019/3/4",207,103,NA,28,6,12,2019-03-04
"520",520,"tianjin","2019/3/5",204,65,NA,28,6,11,2019-03-05
"521",521,"tianjin","2019/3/6",168,43,NA,9,2,5,2019-03-06
"522",522,"tianjin","2019/3/7",62,53,NA,21,4,8,2019-03-07
"523",523,"tianjin","2019/3/8",122,63,NA,23,6,6,2019-03-08
"524",524,"tianjin","2019/3/9",151,69,NA,27,9,10,2019-03-09
"525",525,"tianjin","2019/3/10",163,68,NA,35,7,10,2019-03-10
"526",526,"tianjin","2019/3/11",154,39,NA,20,3,7,2019-03-11
"527",527,"tianjin","2019/3/12",122,26,NA,8,2,4,2019-03-12
"528",528,"tianjin","2019/3/13",53,34,NA,14,4,5,2019-03-13
"529",529,"tianjin","2019/3/14",74,50,NA,20,5,16,2019-03-14
"530",530,"tianjin","2019/3/15",95,35,NA,10,3,4,2019-03-15
"531",531,"tianjin","2019/3/16",34,58,NA,22,7,7,2019-03-16
"532",532,"tianjin","2019/3/17",94,64,NA,27,8,9,2019-03-17
"533",533,"tianjin","2019/3/18",134,85,NA,23,12,10,2019-03-18
"534",534,"tianjin","2019/3/19",168,70,NA,17,8,8,2019-03-19
"535",535,"tianjin","2019/3/20",150,68,NA,28,7,15,2019-03-20
"536",536,"tianjin","2019/3/21",145,32,NA,9,2,5,2019-03-21
"537",537,"tianjin","2019/3/22",31,31,NA,19,3,4,2019-03-22
"538",538,"tianjin","2019/3/23",54,32,NA,8,3,3,2019-03-23
"539",539,"tianjin","2019/3/24",31,59,NA,17,6,5,2019-03-24
"540",540,"tianjin","2019/3/25",101,66,NA,21,6,6,2019-03-25
"541",541,"tianjin","2019/3/26",114,88,NA,30,9,11,2019-03-26
"542",542,"tianjin","2019/3/27",157,84,NA,25,7,11,2019-03-27
"543",543,"tianjin","2019/3/28",139,37,NA,13,4,4,2019-03-28
"544",544,"tianjin","2019/3/29",55,58,NA,19,6,6,2019-03-29
"545",545,"tianjin","2019/3/30",65,39,NA,6,2,2,2019-03-30
"546",546,"tianjin","2019/3/31",22,34,NA,16,3,3,2019-03-31
"547",547,"tianjin","2019/4/1",43,41,NA,16,10,9,2019-04-01
