"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"58493",53786,"wuhan","2019/4/2",142,62,36,34,8,16,2019-04-02
"58494",53787,"wuhan","2019/4/3",133,44,56,23,4,11,2019-04-03
"58495",53788,"wuhan","2019/4/4",114,78,52,42,5,13,2019-04-04
"58496",53789,"wuhan","2019/4/5",154,53,46,24,3,10,2019-04-05
"58497",53790,"wuhan","2019/4/6",122,72,63,36,6,11,2019-04-06
"58498",53791,"wuhan","2019/4/7",133,83,75,41,10,13,2019-04-07
"58499",53792,"wuhan","2019/4/8",148,77,64,33,7,13,2019-04-08
"58500",53793,"wuhan","2019/4/9",137,42,34,15,6,10,2019-04-09
"58501",53794,"wuhan","2019/4/10",94,32,31,11,3,9,2019-04-10
"58502",53795,"wuhan","2019/4/11",96,58,40,22,3,8,2019-04-11
"58503",53796,"wuhan","2019/4/12",130,54,59,22,6,10,2019-04-12
"58604",53897,"wuhan","2019/1/23",188,95,42,53,9,17,2019-01-23
"58605",53898,"wuhan","2019/1/24",191,93,47,52,9,17,2019-01-24
"58606",53899,"wuhan","2019/1/25",174,120,34,45,8,17,2019-01-25
"58607",53900,"wuhan","2019/1/26",204,115,21,31,9,17,2019-01-26
"58608",53901,"wuhan","2019/1/27",221,78,20,35,12,13,2019-01-27
"58609",53902,"wuhan","2019/1/28",167,92,15,30,5,12,2019-01-28
"58610",53903,"wuhan","2019/1/29",205,73,14,24,5,14,2019-01-29
"58611",53904,"wuhan","2019/1/30",177,49,7,20,3,15,2019-01-30
"58612",53905,"wuhan","2019/1/31",142,42,26,15,3,14,2019-01-31
"58613",53906,"wuhan","2019/2/1",134,64,41,22,4,13,2019-02-01
"58614",53907,"wuhan","2019/2/2",169,58,21,24,6,14,2019-02-02
"58615",53908,"wuhan","2019/2/3",156,77,30,18,4,10,2019-02-03
"58616",53909,"wuhan","2019/2/4",165,99,24,29,6,18,2019-02-04
"58617",53910,"wuhan","2019/2/5",189,96,36,22,6,14,2019-02-05
"58618",53911,"wuhan","2019/2/6",193,69,23,22,6,15,2019-02-06
"58619",53912,"wuhan","2019/2/7",165,88,20,9,2,12,2019-02-07
"58620",53913,"wuhan","2019/2/8",189,23,24,8,3,7,2019-02-08
"58621",53914,"wuhan","2019/2/9",78,32,20,8,2,7,2019-02-09
"58622",53915,"wuhan","2019/2/10",117,46,20,10,3,9,2019-02-10
"58623",53916,"wuhan","2019/2/11",153,60,25,19,3,10,2019-02-11
"58624",53917,"wuhan","2019/2/12",165,45,14,17,3,12,2019-02-12
"58625",53918,"wuhan","2019/2/13",131,49,13,16,3,11,2019-02-13
"58626",53919,"wuhan","2019/2/14",149,29,14,15,3,11,2019-02-14
"58627",53920,"wuhan","2019/2/15",110,41,11,17,3,12,2019-02-15
"58628",53921,"wuhan","2019/2/16",137,57,17,15,3,9,2019-02-16
"58629",53922,"wuhan","2019/2/17",158,68,26,16,4,8,2019-02-17
"58630",53923,"wuhan","2019/2/18",165,41,18,19,3,8,2019-02-18
"58631",53924,"wuhan","2019/2/19",139,56,19,21,4,10,2019-02-19
"58632",53925,"wuhan","2019/2/20",160,68,17,22,4,9,2019-02-20
"58633",53926,"wuhan","2019/2/21",168,65,21,20,3,10,2019-02-21
"58634",53927,"wuhan","2019/2/22",173,49,35,21,4,8,2019-02-22
"58635",53928,"wuhan","2019/2/23",140,54,12,31,4,9,2019-02-23
"58636",53929,"wuhan","2019/2/24",142,NA,NA,NA,NA,NA,2019-02-24
"58637",53930,"wuhan","2019/2/26",180,99,26,36,10,16,2019-02-26
"58638",53931,"wuhan","2019/2/27",195,44,27,17,3,8,2019-02-27
"58639",53932,"wuhan","2019/2/28",126,43,21,24,3,9,2019-02-28
"58640",53933,"wuhan","2019/3/1",122,40,16,24,3,10,2019-03-01
"58641",53934,"wuhan","2019/3/2",101,44,63,19,3,9,2019-03-02
"58642",53935,"wuhan","2019/3/3",148,66,46,24,4,7,2019-03-03
"58643",53936,"wuhan","2019/3/4",157,79,39,32,8,12,2019-03-04
