"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"2737",2737,"xianning","2019/4/2",85,39,NA,10,1,5,2019-04-02
"2738",2738,"xianning","2019/4/3",89,38,NA,8,3,6,2019-04-03
"2739",2739,"xianning","2019/4/4",92,49,NA,10,2,6,2019-04-04
"2740",2740,"xianning","2019/4/5",110,44,NA,9,2,5,2019-04-05
"2741",2741,"xianning","2019/4/6",94,53,NA,10,3,6,2019-04-06
"2742",2742,"xianning","2019/4/7",105,65,NA,12,4,7,2019-04-07
"2743",2743,"xianning","2019/4/8",110,55,NA,7,3,6,2019-04-08
"2744",2744,"xianning","2019/4/9",99,43,NA,6,2,5,2019-04-09
"2745",2745,"xianning","2019/4/10",87,33,NA,6,2,5,2019-04-10
"2746",2746,"xianning","2019/4/11",93,39,NA,10,2,7,2019-04-11
"2747",2747,"xianning","2019/4/12",113,34,NA,6,2,5,2019-04-12
"2748",2748,"xianning","2019/4/13",75,52,NA,8,4,5,2019-04-13
"2850",2850,"xianning","2019/1/24",141,73,NA,18,5,8,2019-01-24
"2851",2851,"xianning","2019/1/25",149,101,NA,30,8,12,2019-01-25
"2852",2852,"xianning","2019/1/26",179,103,NA,21,5,12,2019-01-26
"2853",2853,"xianning","2019/1/27",204,59,NA,14,4,5,2019-01-27
"2854",2854,"xianning","2019/1/28",136,69,NA,18,3,8,2019-01-28
"2855",2855,"xianning","2019/1/29",167,75,NA,12,3,8,2019-01-29
"2856",2856,"xianning","2019/1/30",176,76,NA,13,3,9,2019-01-30
"2857",2857,"xianning","2019/1/31",172,54,NA,11,2,10,2019-01-31
"2858",2858,"xianning","2019/2/1",132,57,NA,9,3,10,2019-02-01
"2859",2859,"xianning","2019/2/2",166,53,NA,10,3,11,2019-02-02
"2860",2860,"xianning","2019/2/3",151,76,NA,13,5,11,2019-02-03
"2861",2861,"xianning","2019/2/4",162,78,NA,7,14,9,2019-02-04
"2862",2862,"xianning","2019/2/5",171,79,NA,5,3,7,2019-02-05
"2863",2863,"xianning","2019/2/6",177,52,NA,5,2,8,2019-02-06
"2864",2864,"xianning","2019/2/7",140,94,NA,7,2,10,2019-02-07
"2865",2865,"xianning","2019/2/8",180,NA,NA,5,1,6,2019-02-08
"2866",2866,"xianning","2019/2/9",86,25,NA,5,1,7,2019-02-09
"2867",2867,"xianning","2019/2/10",112,31,NA,6,1,9,2019-02-10
"2868",2868,"xianning","2019/2/11",125,58,NA,6,1,11,2019-02-11
"2869",2869,"xianning","2019/2/12",156,19,NA,9,1,9,2019-02-12
"2870",2870,"xianning","2019/2/13",128,27,NA,10,1,8,2019-02-13
"2871",2871,"xianning","2019/2/14",116,25,NA,11,1,8,2019-02-14
"2872",2872,"xianning","2019/2/15",95,20,NA,15,NA,11,2019-02-15
"2873",2873,"xianning","2019/2/16",86,37,NA,10,1,9,2019-02-16
"2874",2874,"xianning","2019/2/17",96,60,NA,10,1,7,2019-02-17
"2875",2875,"xianning","2019/2/18",154,45,NA,11,NA,6,2019-02-18
"2876",2876,"xianning","2019/2/19",129,34,NA,9,2,7,2019-02-19
"2877",2877,"xianning","2019/2/20",151,60,NA,15,3,13,2019-02-20
"2878",2878,"xianning","2019/2/21",159,45,NA,14,2,12,2019-02-21
"2879",2879,"xianning","2019/2/22",148,49,NA,9,1,6,2019-02-22
"2880",2880,"xianning","2019/2/23",151,31,NA,10,3,7,2019-02-23
"2881",2881,"xianning","2019/2/24",114,48,NA,14,3,5,2019-02-24
"2882",2882,"xianning","2019/2/25",113,62,NA,17,4,7,2019-02-25
"2883",2883,"xianning","2019/2/26",154,70,NA,13,4,10,2019-02-26
"2884",2884,"xianning","2019/2/27",172,28,NA,16,3,7,2019-02-27
"2885",2885,"xianning","2019/2/28",151,42,NA,11,3,6,2019-02-28
"2886",2886,"xianning","2019/3/1",116,43,NA,11,3,9,2019-03-01
"2887",2887,"xianning","2019/3/2",124,31,NA,10,2,9,2019-03-02
"2888",2888,"xianning","2019/3/3",96,53,NA,9,2,9,2019-03-03
