"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"63114",58407,"xuzhou","2019/4/2",148,97,61,21,8,10,2019-04-02
"63115",58408,"xuzhou","2019/4/3",165,74,73,18,6,6,2019-04-03
"63116",58409,"xuzhou","2019/4/4",145,89,89,29,6,8,2019-04-04
"63117",58410,"xuzhou","2019/4/5",161,93,72,27,8,8,2019-04-05
"63118",58411,"xuzhou","2019/4/6",165,88,75,17,7,7,2019-04-06
"63119",58412,"xuzhou","2019/4/7",150,117,61,17,7,10,2019-04-07
"63120",58413,"xuzhou","2019/4/8",174,84,58,13,6,7,2019-04-08
"63121",58414,"xuzhou","2019/4/9",149,31,41,11,4,5,2019-04-09
"63122",58415,"xuzhou","2019/4/10",82,57,38,18,6,7,2019-04-10
"63123",58416,"xuzhou","2019/4/11",136,75,52,26,5,7,2019-04-11
"63124",58417,"xuzhou","2019/4/12",152,81,61,25,5,7,2019-04-12
"63125",58418,"xuzhou","2019/4/13",163,69,78,15,5,5,2019-04-13
"63126",58419,"xuzhou","2019/4/14",154,72,53,16,8,7,2019-04-14
"63127",58420,"xuzhou","2019/4/15",139,87,69,24,7,6,2019-04-15
"63128",58421,"xuzhou","2019/4/16",146,73,58,22,6,6,2019-04-16
"63129",58422,"xuzhou","2019/4/17",152,80,73,17,7,7,2019-04-17
"63130",58423,"xuzhou","2019/4/18",150,82,93,15,6,7,2019-04-18
"63131",58424,"xuzhou","2019/4/19",140,90,56,12,7,4,2019-04-19
"63132",58425,"xuzhou","2019/4/20",104,74,43,18,6,4,2019-04-20
"63133",58426,"xuzhou","2019/4/21",137,74,24,20,5,12,2019-04-21
"63134",58427,"xuzhou","2019/4/22",161,45,21,12,4,4,2019-04-22
"63135",58428,"xuzhou","2019/4/23",116,65,24,15,4,9,2019-04-23
"63136",58429,"xuzhou","2019/4/24",157,63,37,14,5,10,2019-04-24
"63238",58531,"xuzhou","2019/2/4",198,125,37,14,4,14,2019-02-04
"63239",58532,"xuzhou","2019/2/5",193,133,43,9,5,11,2019-02-05
"63240",58533,"xuzhou","2019/2/6",216,129,34,12,5,12,2019-02-06
"63241",58534,"xuzhou","2019/2/7",218,76,32,6,3,8,2019-02-07
"63242",58535,"xuzhou","2019/2/8",139,52,26,7,3,7,2019-02-08
"63243",58536,"xuzhou","2019/2/9",109,74,30,14,7,12,2019-02-09
"63244",58537,"xuzhou","2019/2/10",160,62,25,12,6,10,2019-02-10
"63245",58538,"xuzhou","2019/2/11",129,67,34,13,4,8,2019-02-11
"63246",58539,"xuzhou","2019/2/12",154,74,33,15,3,9,2019-02-12
"63247",58540,"xuzhou","2019/2/13",162,76,35,15,4,10,2019-02-13
"63248",58541,"xuzhou","2019/2/14",165,63,28,11,1,8,2019-02-14
"63249",58542,"xuzhou","2019/2/15",152,76,19,17,2,9,2019-02-15
"63250",58543,"xuzhou","2019/2/16",167,78,31,21,15,13,2019-02-16
"63251",58544,"xuzhou","2019/2/17",154,65,29,22,9,7,2019-02-17
"63252",58545,"xuzhou","2019/2/18",141,56,26,21,5,6,2019-02-18
"63253",58546,"xuzhou","2019/2/19",134,77,31,14,2,8,2019-02-19
"63254",58547,"xuzhou","2019/2/20",170,111,39,26,7,12,2019-02-20
"63255",58548,"xuzhou","2019/2/21",202,132,51,31,7,14,2019-02-21
"63256",58549,"xuzhou","2019/2/22",218,115,35,21,4,13,2019-02-22
"63257",58550,"xuzhou","2019/2/23",201,133,75,29,9,14,2019-02-23
"63258",58551,"xuzhou","2019/2/24",222,155,82,45,9,18,2019-02-24
"63259",58552,"xuzhou","2019/2/25",239,181,83,48,14,17,2019-02-25
"63260",58553,"xuzhou","2019/2/26",256,89,34,22,4,8,2019-02-26
"63261",58554,"xuzhou","2019/2/27",165,65,30,23,6,8,2019-02-27
"63262",58555,"xuzhou","2019/2/28",139,98,22,28,7,12,2019-02-28
"63263",58556,"xuzhou","2019/3/1",172,107,18,33,5,9,2019-03-01
"63264",58557,"xuzhou","2019/3/2",179,119,NA,25,5,10,2019-03-02
"63265",58558,"xuzhou","2019/3/3",198,84,NA,20,4,8,2019-03-03
"63266",58559,"xuzhou","2019/3/4",158,88,34,25,4,10,2019-03-04
"63267",58560,"xuzhou","2019/3/5",165,115,44,34,5,10,2019-03-05
"63268",58561,"xuzhou","2019/3/6",186,110,39,22,6,10,2019-03-06
"63269",58562,"xuzhou","2019/3/7",158,77,42,19,4,6,2019-03-07
"63270",58563,"xuzhou","2019/3/8",116,78,38,28,6,6,2019-03-08
"63271",58564,"xuzhou","2019/3/9",126,79,43,24,5,6,2019-03-09
"63272",58565,"xuzhou","2019/3/10",153,137,50,36,9,12,2019-03-10
"63273",58566,"xuzhou","2019/3/11",201,105,46,20,9,7,2019-03-11
"63274",58567,"xuzhou","2019/3/12",165,87,35,22,6,5,2019-03-12
"63275",58568,"xuzhou","2019/3/13",123,87,39,27,8,6,2019-03-13
"63276",58569,"xuzhou","2019/3/14",138,83,48,31,9,7,2019-03-14
"63277",58570,"xuzhou","2019/3/15",161,89,51,32,13,12,2019-03-15
"63278",58571,"xuzhou","2019/3/16",148,91,67,27,6,6,2019-03-16
"63279",58572,"xuzhou","2019/3/17",151,100,48,30,8,7,2019-03-17
"63280",58573,"xuzhou","2019/3/18",155,94,75,23,11,9,2019-03-18
"63281",58574,"xuzhou","2019/3/19",158,74,34,17,5,7,2019-03-19
"63282",58575,"xuzhou","2019/3/20",152,63,39,22,4,8,2019-03-20
"63283",58576,"xuzhou","2019/3/21",145,75,37,21,6,9,2019-03-21
"63284",58577,"xuzhou","2019/3/22",128,51,59,19,8,6,2019-03-22
"63285",58578,"xuzhou","2019/3/23",92,73,48,25,7,7,2019-03-23
"63286",58579,"xuzhou","2019/3/24",140,88,57,27,7,8,2019-03-24
"63287",58580,"xuzhou","2019/3/25",162,83,77,28,9,8,2019-03-25
"63288",58581,"xuzhou","2019/3/26",142,82,55,29,8,8,2019-03-26
"63289",58582,"xuzhou","2019/3/27",152,92,69,32,8,7,2019-03-27
"63290",58583,"xuzhou","2019/3/28",158,93,50,18,7,7,2019-03-28
"63291",58584,"xuzhou","2019/3/29",153,72,34,17,6,10,2019-03-29
"63292",58585,"xuzhou","2019/3/30",129,145,41,20,7,11,2019-03-30
"63293",58586,"xuzhou","2019/3/31",124,76,58,23,7,7,2019-03-31
"63294",58587,"xuzhou","2019/4/1",106,88,72,30,9,8,2019-04-01
