"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"67853",63146,"yibin","2019/4/2",165,65,22,15,8,8,2019-04-02
"67854",63147,"yibin","2019/4/3",159,52,37,21,11,7,2019-04-03
"67855",63148,"yibin","2019/4/4",128,56,39,19,7,7,2019-04-04
"67856",63149,"yibin","2019/4/5",143,39,54,16,10,5,2019-04-05
"67857",63150,"yibin","2019/4/6",84,65,62,28,19,7,2019-04-06
"67858",63151,"yibin","2019/4/7",133,71,96,28,13,9,2019-04-07
"67859",63152,"yibin","2019/4/8",147,79,102,25,12,9,2019-04-08
"67860",63153,"yibin","2019/4/9",152,67,85,22,12,7,2019-04-09
"67861",63154,"yibin","2019/4/10",126,67,54,19,11,7,2019-04-10
"67862",63155,"yibin","2019/4/11",142,45,38,12,7,7,2019-04-11
"67863",63156,"yibin","2019/4/12",122,63,27,12,5,8,2019-04-12
"67864",63157,"yibin","2019/4/13",162,53,45,14,7,8,2019-04-13
"67865",63158,"yibin","2019/4/14",143,38,41,12,6,4,2019-04-14
"67866",63159,"yibin","2019/4/15",90,62,29,20,8,6,2019-04-15
"67867",63160,"yibin","2019/4/16",149,64,34,21,14,7,2019-04-16
"67868",63161,"yibin","2019/4/17",149,75,70,24,13,9,2019-04-17
"67869",63162,"yibin","2019/4/18",158,84,80,27,14,9,2019-04-18
"67870",63163,"yibin","2019/4/19",167,95,67,26,13,10,2019-04-19
"67871",63164,"yibin","2019/4/20",173,61,36,19,9,7,2019-04-20
"67872",63165,"yibin","2019/4/21",128,36,52,18,11,5,2019-04-21
"67873",63166,"yibin","2019/4/22",76,57,72,21,13,5,2019-04-22
"67874",63167,"yibin","2019/4/23",98,71,91,24,15,7,2019-04-23
"67875",63168,"yibin","2019/4/24",137,81,103,24,15,8,2019-04-24
"67876",63169,"yibin","2019/4/25",155,78,98,25,14,9,2019-04-25
"67877",63170,"yibin","2019/4/26",156,80,112,24,15,9,2019-04-26
"67979",63272,"yibin","2019/2/6",199,86,44,17,7,9,2019-02-06
"67980",63273,"yibin","2019/2/7",178,83,45,21,7,10,2019-02-07
"67981",63274,"yibin","2019/2/8",172,91,34,14,7,10,2019-02-08
"67982",63275,"yibin","2019/2/9",187,47,18,10,4,8,2019-02-09
"67983",63276,"yibin","2019/2/10",139,24,18,10,4,8,2019-02-10
"67984",63277,"yibin","2019/2/11",82,40,30,10,10,8,2019-02-11
"67985",63278,"yibin","2019/2/12",112,55,26,12,7,10,2019-02-12
"67986",63279,"yibin","2019/2/13",154,61,38,15,12,9,2019-02-13
"67987",63280,"yibin","2019/2/14",156,75,30,19,9,11,2019-02-14
"67988",63281,"yibin","2019/2/15",175,82,29,16,8,10,2019-02-15
"67989",63282,"yibin","2019/2/16",176,65,22,15,5,9,2019-02-16
"67990",63283,"yibin","2019/2/17",160,38,19,14,6,8,2019-02-17
"67991",63284,"yibin","2019/2/18",118,40,21,13,6,7,2019-02-18
"67992",63285,"yibin","2019/2/19",115,55,19,14,5,7,2019-02-19
"67993",63286,"yibin","2019/2/20",149,63,24,17,8,8,2019-02-20
"67994",63287,"yibin","2019/2/21",159,74,33,21,12,11,2019-02-21
"67995",63288,"yibin","2019/2/22",167,86,25,22,12,10,2019-02-22
"67996",63289,"yibin","2019/2/23",184,71,22,23,8,10,2019-02-23
"67997",63290,"yibin","2019/2/24",165,84,14,19,7,10,2019-02-24
"67998",63291,"yibin","2019/2/25",180,73,14,20,9,10,2019-02-25
"67999",63292,"yibin","2019/2/26",165,59,23,20,7,9,2019-02-26
"68000",63293,"yibin","2019/2/27",151,55,22,17,5,7,2019-02-27
"68001",63294,"yibin","2019/2/28",151,52,21,16,5,7,2019-02-28
"68002",63295,"yibin","2019/3/1",135,45,23,17,6,8,2019-03-01
"68003",63296,"yibin","2019/3/2",132,46,33,19,6,8,2019-03-02
"68004",63297,"yibin","2019/3/3",126,61,46,23,20,11,2019-03-03
"68005",63298,"yibin","2019/3/4",132,84,31,25,10,10,2019-03-04
"68006",63299,"yibin","2019/3/5",171,71,33,25,13,10,2019-03-05
"68007",63300,"yibin","2019/3/6",160,74,29,23,12,10,2019-03-06
"68008",63301,"yibin","2019/3/7",167,58,25,17,6,7,2019-03-07
"68009",63302,"yibin","2019/3/8",145,40,24,14,7,6,2019-03-08
"68010",63303,"yibin","2019/3/9",128,51,40,16,9,7,2019-03-09
"68011",63304,"yibin","2019/3/10",130,66,47,24,15,8,2019-03-10
