"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"16583",11876,"chifeng","2020/5/2",119,78,90,15,7,4,2020-05-02
"16614",11907,"chifeng","2020/4/2",36,34,35,15,6,5,2020-04-02
"16615",11908,"chifeng","2020/4/3",47,64,37,12,7,5,2020-04-03
"16616",11909,"chifeng","2020/4/4",62,48,38,10,7,5,2020-04-04
"16617",11910,"chifeng","2020/4/5",54,67,34,23,22,9,2020-04-05
"16618",11911,"chifeng","2020/4/6",110,69,42,17,10,5,2020-04-06
"16619",11912,"chifeng","2020/4/7",98,27,35,9,7,4,2020-04-07
"16620",11913,"chifeng","2020/4/8",38,35,36,12,8,4,2020-04-08
"16621",11914,"chifeng","2020/4/9",52,45,37,16,8,3,2020-04-09
"16622",11915,"chifeng","2020/4/10",67,47,39,19,9,4,2020-04-10
"16623",11916,"chifeng","2020/4/11",74,58,40,18,11,4,2020-04-11
"16624",11917,"chifeng","2020/4/12",70,62,41,20,12,5,2020-04-12
"16625",11918,"chifeng","2020/4/13",76,48,40,19,9,4,2020-04-13
"16626",11919,"chifeng","2020/4/14",62,72,49,19,4,4,2020-04-14
"16627",11920,"chifeng","2020/4/15",96,93,33,15,9,4,2020-04-15
"16628",11921,"chifeng","2020/4/16",137,58,59,18,4,5,2020-04-16
"16629",11922,"chifeng","2020/4/17",131,54,45,12,5,3,2020-04-17
"16630",11923,"chifeng","2020/4/18",127,43,46,14,7,3,2020-04-18
"16631",11924,"chifeng","2020/4/19",87,42,57,8,10,2,2020-04-19
"16632",11925,"chifeng","2020/4/20",76,23,31,4,5,2,2020-04-20
"16633",11926,"chifeng","2020/4/21",31,62,31,2,3,2,2020-04-21
"16634",11927,"chifeng","2020/4/22",37,41,30,4,3,2,2020-04-22
"16635",11928,"chifeng","2020/4/23",44,36,36,6,4,3,2020-04-23
"16636",11929,"chifeng","2020/4/24",35,47,39,10,4,4,2020-04-24
"16637",11930,"chifeng","2020/4/25",54,39,37,7,4,2,2020-04-25
"16638",11931,"chifeng","2020/4/26",38,31,37,13,5,4,2020-04-26
"16639",11932,"chifeng","2020/4/27",46,37,41,16,5,4,2020-04-27
"16640",11933,"chifeng","2020/4/28",51,49,42,10,5,3,2020-04-28
"16641",11934,"chifeng","2020/4/29",60,60,58,18,11,5,2020-04-29
"16642",11935,"chifeng","2020/4/30",83,81,75,26,9,8,2020-04-30
"16643",11936,"chifeng","2020/5/1",123,74,115,25,6,6,2020-05-01
"16644",11937,"chifeng","2020/3/2",62,28,30,11,12,10,2020-03-02
"16645",11938,"chifeng","2020/3/3",69,39,26,6,9,8,2020-03-03
"16646",11939,"chifeng","2020/3/4",77,18,32,4,4,6,2020-03-04
