"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"25773",21066,"fangchenggang","2020/4/2",62,30,3,9,3,7,2020-04-02
"25774",21067,"fangchenggang","2020/4/3",71,18,11,7,3,6,2020-04-03
"25775",21068,"fangchenggang","2020/4/4",42,14,15,5,3,7,2020-04-04
"25776",21069,"fangchenggang","2020/4/5",33,10,22,4,3,6,2020-04-05
"25777",21070,"fangchenggang","2020/4/6",37,18,25,4,3,5,2020-04-06
"25778",21071,"fangchenggang","2020/4/7",54,42,29,5,4,6,2020-04-07
"25779",21072,"fangchenggang","2020/4/8",114,56,13,12,5,8,2020-04-08
"25780",21073,"fangchenggang","2020/4/9",111,61,23,13,5,6,2020-04-09
"25781",21074,"fangchenggang","2020/4/10",120,50,26,13,3,5,2020-04-10
"25782",21075,"fangchenggang","2020/4/11",90,49,23,13,3,4,2020-04-11
"25783",21076,"fangchenggang","2020/4/12",87,31,30,6,3,3,2020-04-12
"25784",21077,"fangchenggang","2020/4/13",48,45,24,9,3,3,2020-04-13
"25785",21078,"fangchenggang","2020/4/14",95,47,46,10,9,4,2020-04-14
"25786",21079,"fangchenggang","2020/4/15",99,52,54,10,5,4,2020-04-15
"25787",21080,"fangchenggang","2020/4/16",103,44,41,11,6,3,2020-04-16
"25788",21081,"fangchenggang","2020/4/17",86,42,28,10,6,3,2020-04-17
"25789",21082,"fangchenggang","2020/4/18",72,44,18,12,3,5,2020-04-18
"25790",21083,"fangchenggang","2020/4/19",85,32,19,7,2,3,2020-04-19
"25791",21084,"fangchenggang","2020/4/20",63,34,20,8,2,3,2020-04-20
"25792",21085,"fangchenggang","2020/4/21",71,24,19,2,2,4,2020-04-21
"25793",21086,"fangchenggang","2020/4/22",55,30,17,6,4,5,2020-04-22
"25794",21087,"fangchenggang","2020/4/23",65,14,21,4,3,6,2020-04-23
"25795",21088,"fangchenggang","2020/4/24",40,16,24,3,2,3,2020-04-24
"25796",21089,"fangchenggang","2020/4/25",53,34,27,4,3,4,2020-04-25
"25797",21090,"fangchenggang","2020/4/26",78,36,30,5,3,4,2020-04-26
"25798",21091,"fangchenggang","2020/4/27",82,35,49,5,4,4,2020-04-27
"25803",21096,"fangchenggang","2020/3/2",71,32,23,5,3,4,2020-03-02
"25804",21097,"fangchenggang","2020/3/3",60,42,23,5,3,5,2020-03-03
"25805",21098,"fangchenggang","2020/3/4",89,11,15,3,3,5,2020-03-04
"25806",21099,"fangchenggang","2020/3/5",29,12,16,3,2,5,2020-03-05
"25807",21100,"fangchenggang","2020/3/6",32,19,13,8,3,8,2020-03-06
"25808",21101,"fangchenggang","2020/3/7",57,23,21,9,4,6,2020-03-07
"25809",21102,"fangchenggang","2020/3/8",52,28,26,5,2,3,2020-03-08
"25810",21103,"fangchenggang","2020/3/9",53,45,27,8,3,3,2020-03-09
"25811",21104,"fangchenggang","2020/3/10",80,33,43,3,3,5,2020-03-10
"25812",21105,"fangchenggang","2020/3/11",69,51,36,8,4,9,2020-03-11
"25813",21106,"fangchenggang","2020/3/12",117,36,17,9,2,7,2020-03-12
"25814",21107,"fangchenggang","2020/3/13",89,31,14,4,4,4,2020-03-13
"25815",21108,"fangchenggang","2020/3/14",62,40,36,3,3,5,2020-03-14
"25816",21109,"fangchenggang","2020/3/15",93,68,34,8,5,9,2020-03-15
"25817",21110,"fangchenggang","2020/3/16",152,41,35,9,3,9,2020-03-16
"25818",21111,"fangchenggang","2020/3/17",94,41,35,3,2,5,2020-03-17
"25819",21112,"fangchenggang","2020/3/18",61,18,19,5,2,6,2020-03-18
"25820",21113,"fangchenggang","2020/3/19",42,19,19,4,2,5,2020-03-19
"25821",21114,"fangchenggang","2020/3/20",43,43,18,10,3,8,2020-03-20
"25822",21115,"fangchenggang","2020/3/21",92,40,13,18,3,6,2020-03-21
"25823",21116,"fangchenggang","2020/3/22",83,33,21,10,3,4,2020-03-22
"25824",21117,"fangchenggang","2020/3/23",63,34,22,5,4,4,2020-03-23
"25825",21118,"fangchenggang","2020/3/24",66,40,26,8,4,3,2020-03-24
"25826",21119,"fangchenggang","2020/3/25",77,35,28,4,4,6,2020-03-25
"25827",21120,"fangchenggang","2020/3/26",61,44,17,9,4,6,2020-03-26
"25828",21121,"fangchenggang","2020/3/27",71,35,17,6,3,2,2020-03-27
"25829",21122,"fangchenggang","2020/3/28",59,37,16,5,4,5,2020-03-28
"25830",21123,"fangchenggang","2020/3/29",69,48,19,9,3,7,2020-03-29
"25831",21124,"fangchenggang","2020/3/30",83,24,8,6,3,4,2020-03-30
"25832",21125,"fangchenggang","2020/3/31",48,22,10,6,3,5,2020-03-31
"25833",21126,"fangchenggang","2020/4/1",45,31,10,8,3,6,2020-04-01
"25840",21133,"fangchenggang","2020/2/8",39,17,12,2,2,8,2020-02-08
"25841",21134,"fangchenggang","2020/2/9",41,13,16,1,NA,6,2020-02-09
"25842",21135,"fangchenggang","2020/2/10",31,24,18,2,2,8,2020-02-10
"25843",21136,"fangchenggang","2020/2/11",72,55,26,6,3,9,2020-02-11
"25844",21137,"fangchenggang","2020/2/12",139,47,26,5,2,6,2020-02-12
"25845",21138,"fangchenggang","2020/2/13",90,32,28,4,3,6,2020-02-13
"25846",21139,"fangchenggang","2020/2/14",76,21,25,4,5,5,2020-02-14
"25847",21140,"fangchenggang","2020/2/15",55,31,22,5,2,6,2020-02-15
"25848",21141,"fangchenggang","2020/2/16",61,13,28,1,2,3,2020-02-16
"25849",21142,"fangchenggang","2020/2/17",24,28,36,3,3,4,2020-02-17
"25850",21143,"fangchenggang","2020/2/18",73,41,38,5,6,5,2020-02-18
"25851",21144,"fangchenggang","2020/2/19",102,43,33,6,4,7,2020-02-19
"25852",21145,"fangchenggang","2020/2/20",110,62,39,7,3,8,2020-02-20
"25853",21146,"fangchenggang","2020/2/21",141,47,45,7,4,7,2020-02-21
"25854",21147,"fangchenggang","2020/2/22",91,50,41,6,3,6,2020-02-22
"25855",21148,"fangchenggang","2020/2/23",120,49,55,5,4,5,2020-02-23
"25856",21149,"fangchenggang","2020/2/24",110,47,41,6,3,4,2020-02-24
