"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"39241",34534,"huludao","2020/4/2",60,74,33,23,9,8,2020-04-02
"39242",34535,"huludao","2020/4/3",122,102,42,21,14,7,2020-04-03
"39243",34536,"huludao","2020/4/4",114,164,36,8,21,5,2020-04-04
"39244",34537,"huludao","2020/4/5",69,67,39,24,11,8,2020-04-05
"39245",34538,"huludao","2020/4/6",95,105,38,27,43,13,2020-04-06
"39246",34539,"huludao","2020/4/7",153,79,43,11,24,8,2020-04-07
"39247",34540,"huludao","2020/4/8",86,65,42,18,24,9,2020-04-08
"39248",34541,"huludao","2020/4/9",102,62,50,18,21,7,2020-04-09
"39249",34542,"huludao","2020/4/10",106,64,48,24,18,5,2020-04-10
"39250",34543,"huludao","2020/4/11",113,71,51,14,21,6,2020-04-11
"39251",34544,"huludao","2020/4/12",104,87,47,15,30,6,2020-04-12
"39252",34545,"huludao","2020/4/13",106,78,71,28,17,8,2020-04-13
"39253",34546,"huludao","2020/4/14",153,98,111,27,11,11,2020-04-14
"39254",34547,"huludao","2020/4/15",187,81,101,13,8,6,2020-04-15
"39255",34548,"huludao","2020/4/16",167,63,75,9,12,6,2020-04-16
"39256",34549,"huludao","2020/4/17",149,49,48,14,5,6,2020-04-17
"39257",34550,"huludao","2020/4/18",151,68,61,21,8,7,2020-04-18
"39258",34551,"huludao","2020/4/19",145,80,70,18,4,10,2020-04-19
"39259",34552,"huludao","2020/4/20",180,35,37,6,5,3,2020-04-20
"39260",34553,"huludao","2020/4/21",62,60,34,4,3,2,2020-04-21
"39261",34554,"huludao","2020/4/22",39,64,33,10,4,3,2020-04-22
"39262",34555,"huludao","2020/4/23",69,52,40,12,6,3,2020-04-23
"39263",34556,"huludao","2020/4/24",66,78,41,16,13,5,2020-04-24
"39271",34564,"huludao","2020/3/2",117,43,35,14,27,6,2020-03-02
"39272",34565,"huludao","2020/3/3",91,32,28,9,16,4,2020-03-03
"39273",34566,"huludao","2020/3/4",81,34,32,9,17,5,2020-03-04
"39274",34567,"huludao","2020/3/5",82,60,35,17,12,9,2020-03-05
"39275",34568,"huludao","2020/3/6",131,63,37,11,11,7,2020-03-06
"39276",34569,"huludao","2020/3/7",151,74,31,15,25,7,2020-03-07
"39277",34570,"huludao","2020/3/8",168,59,39,11,8,8,2020-03-08
"39278",34571,"huludao","2020/3/9",144,61,57,14,14,8,2020-03-09
"39279",34572,"huludao","2020/3/10",132,56,32,16,28,7,2020-03-10
"39280",34573,"huludao","2020/3/11",96,67,28,17,17,8,2020-03-11
"39281",34574,"huludao","2020/3/12",116,55,57,11,14,4,2020-03-12
"39282",34575,"huludao","2020/3/13",78,66,31,17,16,5,2020-03-13
"39283",34576,"huludao","2020/3/14",97,55,35,17,21,6,2020-03-14
"39284",34577,"huludao","2020/3/15",95,73,34,10,32,4,2020-03-15
"39285",34578,"huludao","2020/3/16",64,82,32,17,11,6,2020-03-16
"39286",34579,"huludao","2020/3/17",85,48,41,17,17,6,2020-03-17
"39287",34580,"huludao","2020/3/18",88,98,42,17,12,10,2020-03-18
"39288",34581,"huludao","2020/3/19",155,69,29,10,15,6,2020-03-19
"39289",34582,"huludao","2020/3/20",73,87,30,23,15,11,2020-03-20
"39290",34583,"huludao","2020/3/21",135,66,34,20,41,8,2020-03-21
"39291",34584,"huludao","2020/3/22",103,67,40,25,22,11,2020-03-22
"39292",34585,"huludao","2020/3/23",136,65,42,20,22,7,2020-03-23
