"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"43979",39272,"nanchang","2020/4/2",104,58,28,19,7,6,2020-04-02
"43980",39273,"nanchang","2020/4/3",127,73,28,25,7,8,2020-04-03
"43981",39274,"nanchang","2020/4/4",151,72,76,24,5,7,2020-04-04
"43982",39275,"nanchang","2020/4/5",153,81,64,23,9,8,2020-04-05
"43983",39276,"nanchang","2020/4/6",160,78,57,21,10,5,2020-04-06
"43984",39277,"nanchang","2020/4/7",149,89,72,31,8,9,2020-04-07
"43985",39278,"nanchang","2020/4/8",141,78,68,29,6,7,2020-04-08
"43986",39279,"nanchang","2020/4/9",122,103,84,36,9,9,2020-04-09
"43987",39280,"nanchang","2020/4/10",144,87,63,29,12,9,2020-04-10
"43988",39281,"nanchang","2020/4/11",153,33,39,8,3,6,2020-04-11
"43989",39282,"nanchang","2020/4/12",88,50,58,14,5,3,2020-04-12
"43990",39283,"nanchang","2020/4/13",102,66,68,25,6,4,2020-04-13
"43991",39284,"nanchang","2020/4/14",112,81,39,42,14,5,2020-04-14
"43992",39285,"nanchang","2020/4/15",143,77,68,27,19,5,2020-04-15
"43993",39286,"nanchang","2020/4/16",135,93,82,35,11,8,2020-04-16
"43994",39287,"nanchang","2020/4/17",136,95,88,25,8,8,2020-04-17
"43995",39288,"nanchang","2020/4/18",135,71,41,13,5,7,2020-04-18
"43996",39289,"nanchang","2020/4/19",147,37,48,13,3,7,2020-04-19
"43997",39290,"nanchang","2020/4/20",86,47,62,19,5,7,2020-04-20
"43998",39291,"nanchang","2020/4/21",97,42,52,11,3,6,2020-04-21
"43999",39292,"nanchang","2020/4/22",102,46,50,14,4,4,2020-04-22
"44000",39293,"nanchang","2020/4/23",96,61,45,22,6,5,2020-04-23
"44001",39294,"nanchang","2020/4/24",106,80,84,30,6,6,2020-04-24
"44009",39302,"nanchang","2020/3/2",90,40,31,8,7,7,2020-03-02
"44010",39303,"nanchang","2020/3/3",95,32,26,10,1,8,2020-03-03
"44011",39304,"nanchang","2020/3/4",93,62,34,14,3,8,2020-03-04
"44012",39305,"nanchang","2020/3/5",151,59,42,12,4,6,2020-03-05
"44013",39306,"nanchang","2020/3/6",134,40,24,16,8,6,2020-03-06
"44014",39307,"nanchang","2020/3/7",101,33,24,13,4,7,2020-03-07
"44015",39308,"nanchang","2020/3/8",75,39,21,14,5,7,2020-03-08
"44016",39309,"nanchang","2020/3/9",83,29,42,9,4,6,2020-03-09
"44017",39310,"nanchang","2020/3/10",75,54,51,10,5,6,2020-03-10
"44018",39311,"nanchang","2020/3/11",133,70,44,27,6,10,2020-03-11
"44019",39312,"nanchang","2020/3/12",144,50,28,18,5,7,2020-03-12
"44020",39313,"nanchang","2020/3/13",121,52,45,13,4,5,2020-03-13
"44021",39314,"nanchang","2020/3/14",99,63,52,15,5,4,2020-03-14
"44022",39315,"nanchang","2020/3/15",95,86,58,29,9,4,2020-03-15
"44023",39316,"nanchang","2020/3/16",115,89,30,31,9,5,2020-03-16
"44024",39317,"nanchang","2020/3/17",128,93,33,26,11,7,2020-03-17
"44025",39318,"nanchang","2020/3/18",155,82,35,23,16,9,2020-03-18
"44026",39319,"nanchang","2020/3/19",155,80,61,27,12,7,2020-03-19
"44027",39320,"nanchang","2020/3/20",130,102,60,35,11,9,2020-03-20
"44028",39321,"nanchang","2020/3/21",132,68,34,23,9,6,2020-03-21
"44029",39322,"nanchang","2020/3/22",102,41,34,13,4,5,2020-03-22
"44030",39323,"nanchang","2020/3/23",68,81,31,15,8,8,2020-03-23
"44031",39324,"nanchang","2020/3/24",143,77,24,23,20,13,2020-03-24
"44032",39325,"nanchang","2020/3/25",128,76,31,26,9,9,2020-03-25
"44033",39326,"nanchang","2020/3/26",138,55,36,19,8,6,2020-03-26
"44034",39327,"nanchang","2020/3/27",99,34,26,10,4,4,2020-03-27
"44035",39328,"nanchang","2020/3/28",65,23,31,7,3,3,2020-03-28
"44036",39329,"nanchang","2020/3/29",66,17,22,9,3,2,2020-03-29
"44037",39330,"nanchang","2020/3/30",56,32,31,10,4,4,2020-03-30
"44038",39331,"nanchang","2020/3/31",86,44,23,17,4,5,2020-03-31
"44039",39332,"nanchang","2020/4/1",101,50,35,16,4,5,2020-04-01
"44043",39336,"nanchang","2020/2/5",115,49,41,13,6,6,2020-02-05
"44044",39337,"nanchang","2020/2/6",128,73,34,6,5,6,2020-02-06
"44045",39338,"nanchang","2020/2/7",89,26,24,6,6,6,2020-02-07
"44046",39339,"nanchang","2020/2/8",78,33,31,6,15,6,2020-02-08
"44047",39340,"nanchang","2020/2/9",99,38,39,12,9,7,2020-02-09
"44048",39341,"nanchang","2020/2/10",99,45,31,15,10,8,2020-02-10
"44049",39342,"nanchang","2020/2/11",114,45,25,14,5,10,2020-02-11
"44050",39343,"nanchang","2020/2/12",132,28,29,11,4,9,2020-02-12
"44051",39344,"nanchang","2020/2/13",85,43,23,13,5,10,2020-02-13
"44052",39345,"nanchang","2020/2/14",113,39,30,11,7,9,2020-02-14
"44053",39346,"nanchang","2020/2/15",93,21,26,5,4,7,2020-02-15
"44054",39347,"nanchang","2020/2/16",63,35,39,6,7,4,2020-02-16
"44055",39348,"nanchang","2020/2/17",73,36,45,12,8,4,2020-02-17
"44056",39349,"nanchang","2020/2/18",71,41,50,16,6,4,2020-02-18
"44057",39350,"nanchang","2020/2/19",91,78,30,19,15,7,2020-02-19
"44058",39351,"nanchang","2020/2/20",123,58,42,16,5,7,2020-02-20
"44059",39352,"nanchang","2020/2/21",130,47,36,17,6,6,2020-02-21
"44060",39353,"nanchang","2020/2/22",113,57,42,12,6,6,2020-02-22
"44061",39354,"nanchang","2020/2/23",126,71,54,22,7,8,2020-02-23
"44062",39355,"nanchang","2020/2/24",137,72,51,25,7,9,2020-02-24
"44063",39356,"nanchang","2020/2/25",149,52,51,17,4,6,2020-02-25
"44064",39357,"nanchang","2020/2/26",109,70,30,10,11,9,2020-02-26
"44065",39358,"nanchang","2020/2/27",141,70,25,12,12,7,2020-02-27
"44066",39359,"nanchang","2020/2/28",151,75,18,13,9,8,2020-02-28
"44067",39360,"nanchang","2020/2/29",149,25,13,12,8,9,2020-02-29
"44068",39361,"nanchang","2020/3/1",67,36,38,8,6,8,2020-03-01
