"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"51085",46378,"shanghai","2020/4/2",108,41,44,13,2,4,2020-04-02
"51086",46379,"shanghai","2020/4/3",68,46,46,19,3,4,2020-04-03
"51087",46380,"shanghai","2020/4/4",97,59,70,26,4,5,2020-04-04
"51088",46381,"shanghai","2020/4/5",136,38,47,8,2,2,2020-04-05
"51089",46382,"shanghai","2020/4/6",56,36,38,15,2,3,2020-04-06
"51090",46383,"shanghai","2020/4/7",65,42,37,28,3,4,2020-04-07
"51091",46384,"shanghai","2020/4/8",88,48,57,30,3,4,2020-04-08
"51092",46385,"shanghai","2020/4/9",93,50,52,21,3,4,2020-04-09
"51093",46386,"shanghai","2020/4/10",111,43,49,12,2,4,2020-04-10
"51094",46387,"shanghai","2020/4/11",86,31,40,10,2,4,2020-04-11
"51095",46388,"shanghai","2020/4/12",86,51,54,14,3,7,2020-04-12
"51096",46389,"shanghai","2020/4/13",136,64,62,22,5,8,2020-04-13
"51097",46390,"shanghai","2020/4/14",147,63,84,25,3,6,2020-04-14
"51098",46391,"shanghai","2020/4/15",157,57,66,25,4,6,2020-04-15
"51099",46392,"shanghai","2020/4/16",130,51,80,22,4,7,2020-04-16
"51100",46393,"shanghai","2020/4/17",116,69,41,37,4,9,2020-04-17
"51101",46394,"shanghai","2020/4/18",132,63,56,24,4,9,2020-04-18
"51102",46395,"shanghai","2020/4/19",123,38,47,13,2,8,2020-04-19
"51103",46396,"shanghai","2020/4/20",104,53,80,19,3,9,2020-04-20
"51104",46397,"shanghai","2020/4/21",144,36,41,15,1,5,2020-04-21
"51105",46398,"shanghai","2020/4/22",80,43,53,16,2,4,2020-04-22
"51106",46399,"shanghai","2020/4/23",82,46,49,14,2,4,2020-04-23
"51107",46400,"shanghai","2020/4/24",83,55,78,22,4,5,2020-04-24
"51108",46401,"shanghai","2020/4/25",113,55,75,28,4,4,2020-04-25
"51109",46402,"shanghai","2020/4/26",126,60,52,13,2,4,2020-04-26
"51110",46403,"shanghai","2020/4/27",105,35,44,14,2,3,2020-04-27
"51111",46404,"shanghai","2020/4/28",70,32,48,21,3,3,2020-04-28
"51112",46405,"shanghai","2020/4/29",77,34,73,11,2,4,2020-04-29
"51115",46408,"shanghai","2020/3/2",53,28,39,8,2,7,2020-03-02
"51116",46409,"shanghai","2020/3/3",82,29,29,14,2,5,2020-03-03
"51117",46410,"shanghai","2020/3/4",71,33,40,10,2,5,2020-03-04
"51118",46411,"shanghai","2020/3/5",96,29,41,9,2,4,2020-03-05
"51119",46412,"shanghai","2020/3/6",80,30,50,12,2,4,2020-03-06
"51120",46413,"shanghai","2020/3/7",79,55,46,17,2,6,2020-03-07
"51121",46414,"shanghai","2020/3/8",139,24,45,9,NA,4,2020-03-08
"51122",46415,"shanghai","2020/3/9",71,12,37,15,2,4,2020-03-09
"51123",46416,"shanghai","2020/3/10",48,31,41,11,1,5,2020-03-10
"51124",46417,"shanghai","2020/3/11",92,59,50,22,1,7,2020-03-11
