"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"60441",55734,"wuxi","2020/4/2",123,49,NA,16,2,6,2020-04-02
"60442",55735,"wuxi","2020/4/3",72,57,NA,22,3,5,2020-04-03
"60443",55736,"wuxi","2020/4/4",105,72,NA,21,3,6,2020-04-04
"60444",55737,"wuxi","2020/4/5",134,44,NA,9,2,4,2020-04-05
"60445",55738,"wuxi","2020/4/6",59,52,NA,22,4,6,2020-04-06
"60446",55739,"wuxi","2020/4/7",79,56,NA,32,3,6,2020-04-07
"60447",55740,"wuxi","2020/4/8",97,59,NA,30,4,5,2020-04-08
"60448",55741,"wuxi","2020/4/9",111,61,NA,27,4,4,2020-04-09
"60449",55742,"wuxi","2020/4/10",110,56,NA,15,2,5,2020-04-10
"60450",55743,"wuxi","2020/4/11",86,33,NA,11,1,6,2020-04-11
"60451",55744,"wuxi","2020/4/12",74,54,NA,11,3,8,2020-04-12
"60452",55745,"wuxi","2020/4/13",115,68,NA,19,4,8,2020-04-13
"60453",55746,"wuxi","2020/4/14",137,78,NA,33,5,8,2020-04-14
"60454",55747,"wuxi","2020/4/15",156,67,NA,26,4,8,2020-04-15
"60455",55748,"wuxi","2020/4/16",125,68,NA,36,5,7,2020-04-16
"60456",55749,"wuxi","2020/4/17",126,77,NA,33,5,24,2020-04-17
"60457",55750,"wuxi","2020/4/18",143,66,NA,20,3,8,2020-04-18
"60458",55751,"wuxi","2020/4/19",111,35,NA,13,1,8,2020-04-19
"60459",55752,"wuxi","2020/4/20",88,48,NA,14,3,9,2020-04-20
"60460",55753,"wuxi","2020/4/21",113,42,NA,19,2,6,2020-04-21
"60461",55754,"wuxi","2020/4/22",81,43,NA,14,2,4,2020-04-22
"60471",55764,"wuxi","2020/3/2",84,47,NA,10,3,7,2020-03-02
"60472",55765,"wuxi","2020/3/3",98,53,NA,20,3,5,2020-03-03
"60473",55766,"wuxi","2020/3/4",112,57,NA,16,4,6,2020-03-04
"60474",55767,"wuxi","2020/3/5",120,48,NA,14,3,3,2020-03-05
"60475",55768,"wuxi","2020/3/6",89,47,NA,17,3,3,2020-03-06
"60476",55769,"wuxi","2020/3/7",84,63,NA,20,3,7,2020-03-07
"60477",55770,"wuxi","2020/3/8",144,43,NA,14,3,4,2020-03-08
"60478",55771,"wuxi","2020/3/9",97,17,NA,15,1,8,2020-03-09
"60479",55772,"wuxi","2020/3/10",53,34,NA,15,1,7,2020-03-10
"60480",55773,"wuxi","2020/3/11",90,67,NA,17,3,8,2020-03-11
"60481",55774,"wuxi","2020/3/12",152,62,NA,20,3,5,2020-03-12
"60482",55775,"wuxi","2020/3/13",136,55,NA,17,2,6,2020-03-13
"60483",55776,"wuxi","2020/3/14",122,48,NA,13,3,5,2020-03-14
"60484",55777,"wuxi","2020/3/15",84,65,NA,19,5,6,2020-03-15
"60485",55778,"wuxi","2020/3/16",115,47,NA,18,4,4,2020-03-16
"60486",55779,"wuxi","2020/3/17",77,55,NA,27,4,5,2020-03-17
"60487",55780,"wuxi","2020/3/18",91,64,NA,31,5,5,2020-03-18
"60488",55781,"wuxi","2020/3/19",123,71,NA,23,4,4,2020-03-19
"60489",55782,"wuxi","2020/3/20",103,58,NA,26,5,3,2020-03-20
"60490",55783,"wuxi","2020/3/21",81,64,NA,29,4,6,2020-03-21
"60491",55784,"wuxi","2020/3/22",115,57,NA,12,2,6,2020-03-22
"60492",55785,"wuxi","2020/3/23",113,33,NA,18,3,4,2020-03-23
"60493",55786,"wuxi","2020/3/24",63,40,NA,23,4,4,2020-03-24
"60494",55787,"wuxi","2020/3/25",67,48,NA,20,4,4,2020-03-25
"60495",55788,"wuxi","2020/3/26",86,49,NA,29,3,8,2020-03-26
"60496",55789,"wuxi","2020/3/27",119,37,NA,9,2,6,2020-03-27
"60497",55790,"wuxi","2020/3/28",62,35,NA,16,2,7,2020-03-28
"60498",55791,"wuxi","2020/3/29",69,33,NA,15,2,7,2020-03-29
"60499",55792,"wuxi","2020/3/30",62,32,NA,16,2,7,2020-03-30
"60500",55793,"wuxi","2020/3/31",69,37,NA,17,2,6,2020-03-31
"60501",55794,"wuxi","2020/4/1",72,55,NA,16,2,9,2020-04-01
"60503",55796,"wuxi","2020/2/3",89,64,NA,14,3,8,2020-02-03
"60504",55797,"wuxi","2020/2/4",147,45,NA,10,3,5,2020-02-04
"60505",55798,"wuxi","2020/2/5",92,46,NA,10,3,5,2020-02-05
"60506",55799,"wuxi","2020/2/6",91,33,NA,6,2,5,2020-02-06
"60507",55800,"wuxi","2020/2/7",65,39,NA,8,2,6,2020-02-07
"60508",55801,"wuxi","2020/2/8",75,50,NA,8,3,8,2020-02-08
"60509",55802,"wuxi","2020/2/9",116,57,NA,11,3,8,2020-02-09
"60510",55803,"wuxi","2020/2/10",138,47,NA,10,4,7,2020-02-10
"60511",55804,"wuxi","2020/2/11",111,48,NA,10,3,7,2020-02-11
"60512",55805,"wuxi","2020/2/12",95,48,NA,12,2,11,2020-02-12
"60513",55806,"wuxi","2020/2/13",112,47,NA,16,3,9,2020-02-13
"60514",55807,"wuxi","2020/2/14",111,33,NA,11,2,7,2020-02-14
"60515",55808,"wuxi","2020/2/15",70,31,NA,8,2,8,2020-02-15
"60516",55809,"wuxi","2020/2/16",52,46,NA,6,3,9,2020-02-16
"60517",55810,"wuxi","2020/2/17",80,37,NA,7,4,9,2020-02-17
"60518",55811,"wuxi","2020/2/18",62,38,NA,13,4,9,2020-02-18
"60519",55812,"wuxi","2020/2/19",74,43,NA,14,4,9,2020-02-19
"60520",55813,"wuxi","2020/2/20",93,39,NA,19,4,9,2020-02-20
"60521",55814,"wuxi","2020/2/21",77,39,NA,12,3,9,2020-02-21
"60522",55815,"wuxi","2020/2/22",84,75,NA,12,5,13,2020-02-22
"60523",55816,"wuxi","2020/2/23",145,70,NA,14,4,9,2020-02-23
"60524",55817,"wuxi","2020/2/24",124,66,NA,16,4,11,2020-02-24
"60525",55818,"wuxi","2020/2/25",131,67,NA,20,6,14,2020-02-25
"60526",55819,"wuxi","2020/2/26",147,57,NA,10,3,15,2020-02-26
"60527",55820,"wuxi","2020/2/27",118,53,NA,11,4,10,2020-02-27
"60528",55821,"wuxi","2020/2/28",104,42,NA,15,2,6,2020-02-28
"60529",55822,"wuxi","2020/2/29",94,39,NA,15,2,7,2020-02-29
"60530",55823,"wuxi","2020/3/1",94,39,NA,12,2,7,2020-03-01
