"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"65181",60474,"yangzhou","2020/4/2",90,44,NA,8,1,3,2020-04-02
"65182",60475,"yangzhou","2020/4/3",54,49,NA,9,2,4,2020-04-03
"65183",60476,"yangzhou","2020/4/4",81,76,NA,18,3,5,2020-04-04
"65184",60477,"yangzhou","2020/4/5",127,45,NA,6,5,4,2020-04-05
"65185",60478,"yangzhou","2020/4/6",45,55,NA,15,4,8,2020-04-06
"65186",60479,"yangzhou","2020/4/7",58,68,NA,29,4,7,2020-04-07
"65187",60480,"yangzhou","2020/4/8",125,71,NA,30,5,6,2020-04-08
"65188",60481,"yangzhou","2020/4/9",143,73,NA,21,5,5,2020-04-09
"65189",60482,"yangzhou","2020/4/10",140,46,NA,5,1,1,2020-04-10
"65190",60483,"yangzhou","2020/4/11",77,25,NA,7,1,1,2020-04-11
"65191",60484,"yangzhou","2020/4/12",74,56,NA,7,2,2,2020-04-12
"65192",60485,"yangzhou","2020/4/13",124,67,NA,16,4,3,2020-04-13
"65193",60486,"yangzhou","2020/4/14",136,77,NA,33,5,4,2020-04-14
"65194",60487,"yangzhou","2020/4/15",158,75,NA,18,5,4,2020-04-15
"65195",60488,"yangzhou","2020/4/16",133,76,NA,24,5,5,2020-04-16
"65196",60489,"yangzhou","2020/4/17",125,84,NA,19,4,7,2020-04-17
"65197",60490,"yangzhou","2020/4/18",144,60,NA,11,3,4,2020-04-18
"65198",60491,"yangzhou","2020/4/19",129,28,NA,9,1,4,2020-04-19
"65199",60492,"yangzhou","2020/4/20",65,49,NA,16,3,5,2020-04-20
"65200",60493,"yangzhou","2020/4/21",103,42,NA,10,2,2,2020-04-21
"65201",60494,"yangzhou","2020/4/22",70,59,NA,15,4,3,2020-04-22
"65202",60495,"yangzhou","2020/4/23",112,55,NA,10,2,2,2020-04-23
"65203",60496,"yangzhou","2020/4/24",74,72,NA,25,5,3,2020-04-24
"65211",60504,"yangzhou","2020/3/2",94,39,NA,4,3,5,2020-03-02
"65212",60505,"yangzhou","2020/3/3",111,44,NA,6,4,5,2020-03-03
"65213",60506,"yangzhou","2020/3/4",113,49,NA,7,4,4,2020-03-04
"65214",60507,"yangzhou","2020/3/5",118,46,NA,8,4,4,2020-03-05
"65215",60508,"yangzhou","2020/3/6",92,55,NA,17,5,5,2020-03-06
"65216",60509,"yangzhou","2020/3/7",131,61,NA,12,5,5,2020-03-07
"65217",60510,"yangzhou","2020/3/8",148,64,NA,13,3,6,2020-03-08
"65218",60511,"yangzhou","2020/3/9",130,19,NA,8,1,4,2020-03-09
"65219",60512,"yangzhou","2020/3/10",45,37,NA,9,3,3,2020-03-10
"65220",60513,"yangzhou","2020/3/11",94,68,NA,21,4,5,2020-03-11
"65221",60514,"yangzhou","2020/3/12",148,76,NA,22,5,7,2020-03-12
"65222",60515,"yangzhou","2020/3/13",154,56,NA,11,3,3,2020-03-13
"65223",60516,"yangzhou","2020/3/14",98,45,NA,9,3,3,2020-03-14
"65224",60517,"yangzhou","2020/3/15",83,68,NA,19,5,5,2020-03-15
"65225",60518,"yangzhou","2020/3/16",117,55,NA,12,5,4,2020-03-16
"65226",60519,"yangzhou","2020/3/17",90,61,NA,22,5,4,2020-03-17
"65227",60520,"yangzhou","2020/3/18",102,81,NA,38,8,6,2020-03-18
"65228",60521,"yangzhou","2020/3/19",133,70,NA,16,5,4,2020-03-19
