date, pm25, pm10, o3, no2, so2, co
2020/7/2, 114, 40, 40, 21, 3, 6
2020/7/3, 74, 13, 19, 13, 2, 6
2020/7/4, 34, , , , , 
2020/6/2, 107, 36, 40, 17, 3, 6
2020/6/3, 64, 21, 20, 19, 2, 6
2020/6/4, 52, 26, 27, 19, 2, 7
2020/6/5, 53, 30, 28, 20, 2, 7
2020/6/6, 49, 21, 40, 16, 2, 5
2020/6/7, 55, 42, 70, 15, 2, 5
2020/6/8, 84, 55, 46, 15, 5, 4
2020/6/9, 117, 44, 64, 14, 3, 5
2020/6/10, 91, 33, 40, 25, 2, 7
2020/6/11, 76, 25, 26, 25, 3, 7
2020/6/12, 83, 35, 45, 17, 2, 6
2020/6/13, 74, 49, 55, 20, 3, 6
2020/6/14, 81, 47, 43, 23, 2, 6
2020/6/15, 76, 49, 30, 22, 2, 7
2020/6/16, 85, 59, 85, 23, 2, 7
2020/6/17, 119, 31, 44, 14, 4, 6
2020/6/18, 66, 29, 35, 14, 2, 6
2020/6/19, 68, 34, 36, 20, 2, 6
2020/6/20, 81, 20, 40, 16, 2, 5
2020/6/21, 60, 22, 15, 26, 3, 7
2020/6/22, 68, 27, 26, 22, 3, 6
2020/6/23, 72, 63, 73, 29, 2, 10
2020/6/24, 137, 41, 15, 28, 1, 8
2020/6/25, 77, 30, 33, 22, 2, 7
2020/6/26, 77, 29, 49, 16, 2, 7
2020/6/27, 75, 22, 18, 17, 2, 6
2020/6/28, 54, 44, 77, 20, 4, 7
2020/6/29, 109, 33, 24, 18, 3, 6
2020/6/30, 72, 41, 81, 16, 2, 6
2020/7/1, 103, 48, 84, 18, 3, 7
2020/5/2, 153, 56, 61, 19, 3, 7
2020/5/3, 117, 55, 78, 19, 4, 6
2020/5/4, 104, 73, 112, 24, 3, 6
2020/5/5, 137, 57, 34, 18, 2, 6
2020/5/6, 121, 43, 37, 19, 1, 8
2020/5/7, 99, 48, 50, 18, 3, 5
2020/5/8, 99, 51, 50, 24, 3, 7
2020/5/9, 87, 52, 41, 17, 2, 7
2020/5/10, 97, 53, 33, 21, 2, 6
2020/5/11, 117, 52, 72, 21, 2, 7
2020/5/12, 100, 50, 75, 21, 4, 4
2020/5/13, 74, 81, 124, 31, 4, 6
2020/5/14, 130, 62, 81, 22, 3, 5
2020/5/15, 101, 46, 40, 19, 2, 6
2020/5/16, 97, 48, 53, 22, 2, 6
2020/5/17, 109, 46, 57, 22, 3, 7
2020/5/18, 92, 55, 73, 15, 3, 5
2020/5/19, 78, 61, 77, 26, 4, 5
2020/5/20, 74, 77, 113, 31, 3, 6
2020/5/21, 128, 61, 28, 28, 3, 6
2020/5/22, 121, 41, 55, 17, 2, 5
2020/5/23, 86, 56, 89, 23, 3, 6
2020/5/24, 107, 63, 115, 19, 3, 7
2020/5/25, 119, 67, 88, 17, 2, 6
2020/5/26, 142, 29, 36, 21, 1, 5
2020/5/27, 74, 50, 84, 23, 2, 7
2020/5/28, 97, 65, 48, 35, 3, 8
2020/5/29, 115, 77, 40, 33, 3, 8
2020/5/30, 130, 30, 42, 21, 2, 6
2020/5/31, 73, 37, 71, 28, 2, 7
2020/6/1, 87, 60, 75, 26, 3, 7
2020/4/2, 93, 67, 37, 28, 4, 6
2020/4/3, 105, 72, 30, 29, 3, 6
2020/4/4, 113, 100, 76, 35, 4, 9
2020/4/5, 156, 60, 39, 21, 4, 5
2020/4/6, 84, 61, 34, 26, 4, 4
2020/4/7, 96, 75, 62, 37, 5, 5
2020/4/8, 122, 76, 60, 34, 4, 7
2020/4/9, 116, 99, 71, 41, 6, 7
2020/4/10, 155, 87, 81, 30, 5, 6
2020/4/11, 139, 40, 34, 17, 2, 6
2020/4/12, 82, 52, 58, 16, 4, 5
2020/4/13, 93, 84, 74, 28, 3, 5
2020/4/14, 132, 88, 70, 36, 5, 7
2020/4/15, 152, 59, 62, 34, 4, 6
2020/4/16, 95, 82, 67, 44, 6, 7
2020/4/17, 145, 101, 54, 36, 6, 9
2020/4/18, 157, 88, 45, 31, 5, 8
2020/4/19, 131, 53, 44, 22, 4, 7
2020/4/20, 98, 52, 70, 25, 5, 8
2020/4/21, 95, 37, 52, 24, 4, 6
2020/4/22, 82, 56, 50, 26, 5, 5
2020/4/23, 92, 75, 61, 29, 4, 5
2020/4/24, 132, 72, 81, 35, 4, 6
2020/4/25, 123, 72, 76, 33, 5, 7
2020/4/26, 97, 93, 90, 34, 5, 7
2020/4/27, 143, 65, 42, 20, 3, 5
2020/4/28, 117, 51, 65, 27, 4, 4
2020/4/29, 75, 77, 95, 35, 4, 7
2020/4/30, 122, 79, 78, 41, 4, 10
2020/5/1, 140, 79, 28, 40, 3, 9
2020/3/2, 73, 41, 26, 12, 3, 8
2020/3/3, 92, 41, , 21, 3, 7
2020/3/4, 103, 60, 18, 29, 3, 9
2020/3/5, 134, 46, 24, 17, 4, 7
2020/3/6, 98, 59, 30, 27, 3, 8
2020/3/7, 128, 51, 28, 26, 3, 9
