date, pm25, pm10, o3, no2, so2, co
2020/7/2, 159, 54, 42, 25, 17, 25
2020/7/3, 106, , , , , 
2020/6/2, 82, 69, 94, 15, 7, 4
2020/6/3, 111, 132, 59, 23, 11, 13
2020/6/4, 142, 103, 48, 26, 20, 18
2020/6/5, 109, 64, 63, 21, 21, 16
2020/6/6, 89, 70, 67, 25, 23, 
2020/6/7, 120, 106, 151, 34, 26, 
2020/6/8, 136, 121, 137, 29, 17, 2
2020/6/9, 158, 83, 41, 23, 16, 18
2020/6/10, 129, 73, 103, 22, 12, 18
2020/6/11, 135, 101, 76, 29, 20, 24
2020/6/12, 156, 88, 101, 35, 19, 22
2020/6/13, 136, 91, 131, 22, 12, 10
2020/6/14, 152, 52, 56, 17, 8, 6
2020/6/15, 75, 67, 99, 27, 10, 11
2020/6/16, 87, 89, 140, 26, 25, 23
2020/6/17, 131, 70, 83, 17, 6, 7
2020/6/18, 86, 62, 67, 21, 9, 9
2020/6/19, 104, 79, 123, 27, 10, 9
2020/6/20, 128, 73, 121, 17, 12, 8
2020/6/21, 123, 94, 130, 17, 13, 10
2020/6/22, 151, 83, 106, 17, 13, 7
2020/6/23, 123, 75, 46, 20, 15, 16
2020/6/24, 124, 80, 74, 22, 17, 18
2020/6/25, 139, 62, 63, 23, 13, 19
2020/6/26, 117, 79, 86, 22, 15, 13
2020/6/27, 133, 87, 120, 22, 21, 23
2020/6/28, 162, 77, 105, 26, 15, 16
2020/6/29, 132, 82, 28, 36, 17, 15
2020/6/30, 128, 73, 121, 25, 11, 13
2020/7/1, 137, 97, 128, 29, 19, 20
2020/5/2, 166, 77, 95, 17, 10, 
2020/5/3, 134, 76, 23, 20, 16, 
2020/5/4, 137, 82, 21, 23, 16, 
2020/5/5, 106, 63, 59, 20, 4, 
2020/5/6, 130, 96, 96, 29, 21, 
2020/5/7, 162, 80, 37, 32, 19, 
2020/5/8, 155, 53, 41, 24, 11, 1
2020/5/9, 117, 58, 46, 20, 6, 1
2020/5/10, 122, 87, 40, 18, 5, 3
2020/5/11, 112, 75, 47, 17, 4, 3
2020/5/12, 80, 68, 43, 11, 3, 5
2020/5/13, 73, 106, 99, 28, 10, 3
2020/5/14, 116, 80, 62, 22, 9, 2
2020/5/15, 109, 56, 48, 13, 8, 8
2020/5/16, 106, 74, 28, 23, 9, 14
2020/5/17, 121, 104, 39, 25, 12, 16
2020/5/18, 128, 97, 38, 19, 8, 8
2020/5/19, 113, 59, 59, 17, 6, 3
2020/5/20, 89, 89, 68, 31, 24, 
2020/5/21, 141, 69, 41, 25, 19, 
2020/5/22, 143, 53, 62, 15, 8, 3
2020/5/23, 117, 58, 36, 20, 9, 15
2020/5/24, 119, 50, 63, 19, 8, 9
2020/5/25, 91, 82, 38, 29, 16, 15
2020/5/26, 127, 57, 65, 19, 7, 3
2020/5/27, 118, 66, 55, 24, 14, 1
2020/5/28, 135, 80, 47, 25, 18, 1
2020/5/29, 142, 77, 80, 25, 25, 21
2020/5/30, 142, 76, 89, 21, 17, 18
2020/5/31, 138, 41, 41, 14, 7, 5
2020/6/1, 78, 59, 96, 23, 8, 5
2020/4/2, 77, 52, 24, 20, 5, 
2020/4/3, 91, 63, 38, 22, 6, 
2020/4/4, 114, 165, 32, 13, 9, 
2020/4/5, 97, 80, 45, 25, 14, 
2020/4/6, 97, 140, 37, 38, 18, 
2020/4/7, 166, 92, 31, 25, 18, 
2020/4/8, 100, 82, 32, 23, 13, 
2020/4/9, 91, 65, 36, 24, 18, 
2020/4/10, 97, 65, 45, 22, 8, 
2020/4/11, 112, 78, 46, 26, 9, 
2020/4/12, 121, 95, 54, 27, 13, 
2020/4/13, 115, 77, 49, 31, 12, 
2020/4/14, 126, 106, 52, 36, 17, 
2020/4/15, 171, 92, 93, 33, 16, 
2020/4/16, 156, 75, 40, 27, 10, 
2020/4/17, 158, 55, 59, 19, 7, 8
2020/4/18, 114, 69, 58, 28, 6, 7
2020/4/19, 146, 82, 79, 25, 6, 5
2020/4/20, 166, 34, 36, 6, 2, 
2020/4/21, 69, 37, 36, 5, 2, 
2020/4/22, 53, 41, 36, 7, 3, 
2020/4/23, 55, 41, 40, 13, 6, 
2020/4/24, 56, 68, 40, 15, 5, 
2020/4/25, 66, 67, 45, 11, 8, 
2020/4/26, 77, 64, 45, 20, 9, 
2020/4/27, 91, 84, 54, 28, 17, 
2020/4/28, 124, 88, 91, 28, 9, 
2020/4/29, 141, 83, 97, 20, 10, 
2020/4/30, 133, 128, 147, 34, 34, 
2020/5/1, 177, 111, 127, 29, 41, 
2020/3/2, 148, 70, 31, 22, 11, 12
2020/3/3, 132, 45, 31, 14, 4, 7
2020/3/4, 108, 25, 30, 10, 3, 
2020/3/5, 67, 50, 28, 25, 7, 
2020/3/6, 103, 106, 45, 34, 14, 
2020/3/7, 176, 108, 39, 31, 12, 
2020/3/8, 192, 103, 33, 23, 9, 8
2020/3/9, 189, 78, 28, 25, 10, 
2020/3/10, 144, 47, 30, 18, 6, 
2020/3/11, 105, 94, 33, 33, 12, 
2020/3/12, 148, 85, 26, 24, 12, 
2020/3/13, 131, 39, 30, 16, 6, 
2020/3/14, 69, 49, 35, 14, 4, 
2020/3/15, 91, 55, 33, 13, 6, 
2020/3/16, 82, 60, 31, 15, 7, 
2020/3/17, 88, 79, 36, 27, 10, 
2020/3/18, 138, 141, 37, 28, 12, 
2020/3/19, 154, 50, 33, 12, 5, 
2020/3/20, 77, 98, 29, 29, 11, 
2020/3/21, 140, 107, 30, 19, 17, 
2020/3/22, 113, 71, 42, 22, 8, 
2020/3/23, 121, 86, 35, 26, 11, 
2020/3/24, 132, 97, 50, 37, 32, 
2020/3/25, 162, 96, 47, 28, 24, 
2020/3/26, 158, 68, 30, 20, 10, 
2020/3/27, 114, 35, 34, 10, 3, 
2020/3/28, 48, 34, 33, 15, 4, 3
2020/3/29, 57, 57, 43, 23, 8, 3
2020/3/30, 94, 69, 49, 25, 6, 5
2020/3/31, 134, 77, 40, 26, 9, 7
2020/4/1, 154, 47, 19, 17, 11, 
2020/2/2, 135, 64, 27, 18, 6, 12
2020/2/3, 146, 58, 28, 19, 13, 16
2020/2/4, 123, 67, 31, 21, 16, 22
2020/2/5, 127, 65, 27, 16, 15, 14
2020/2/6, 114, 74, 23, 19, 20, 21
2020/2/7, 140, 84, 28, 18, 9, 15
2020/2/8, 177, 89, 32, 23, 15, 20
2020/2/9, 173, 126, 24, 24, 9, 57
2020/2/10, 221, 182, 46, 38, 18, 36
2020/2/11, 286, 171, 33, 37, 28, 90
2020/2/12, 251, 148, 31, 35, 26, 38
2020/2/13, 234, 150, 11, 34, 25, 36
2020/2/14, 236, 116, 26, 16, 18, 17
2020/2/15, 142, 37, 32, 7, 8, 7
2020/2/16, 87, 32, 33, 7, 8, 6
2020/2/17, 79, 39, 34, 11, 7, 6
2020/2/18, 80, 75, 29, 31, 18, 15
2020/2/19, 140, 100, 41, 29, 34, 38
2020/2/20, 181, 93, 51, 28, 19, 20
2020/2/21, 177, 111, 29, 20, 5, 10
2020/2/22, 185, 49, 36, 11, 5, 5
2020/2/23, 95, 80, 32, 31, 13, 8
2020/2/24, 140, 168, 32, 31, 32, 27
2020/2/25, 173, 75, 26, 28, 21, 4
2020/2/26, 143, 75, 30, 26, 15, 9
2020/2/27, 150, 74, 30, 27, 13, 3
2020/2/28, 138, 72, 24, 25, 7, 
2020/2/29, 156, 88, 10, 25, 6, 4
2020/3/1, 177, 75, 27, 20, 7, 8
2020/1/2, 176, 137, 8, 46, 23, 24
2020/1/3, 195, 182, 8, 50, 24, 21
2020/1/4, 201, 117, 18, 43, 20, 18
2020/1/5, 183, 123, 13, 35, 39, 30
2020/1/6, 174, 77, 12, 28, 13, 16
2020/1/7, 163, 66, 21, 23, 15, 14
2020/1/8, 121, 56, 24, 27, 12, 7
2020/1/9, 99, 101, 12, 37, 23, 22
2020/1/10, 163, 97, 16, 40, 13, 18
2020/1/11, 173, 77, 21, 30, 17, 16
2020/1/12, 123, 107, 14, 35, 24, 17
2020/1/13, 167, 95, 22, 30, 17, 
2020/1/14, 155, 115, 18, 37, 30, 
2020/1/15, 170, 125, 17, 46, 17, 5
2020/1/16, 187, 127, 20, 35, 21, 7
2020/1/17, 199, 118, 12, 40, 20, 15
2020/1/18, 180, 208, 9, 37, 6, 15
2020/1/19, 316, 116, 26, 27, 6, 13
2020/1/20, 173, 83, 25, 24, 12, 4
2020/1/21, 137, 108, 20, 32, 15, 13
2020/1/22, 180, 195, 21, 39, 20, 29
2020/1/23, 288, 139, 28, 27, 13, 20
2020/1/24, 238, 71, 27, 19, 22, 11
2020/1/25, 154, 96, 30, 16, 8, 6
2020/1/26, 188, 164, 22, 36, 38, 40
2020/1/27, 264, 167, 35, 31, 26, 36
2020/1/28, 285, 118, 24, 32, 29, 34
2020/1/29, 204, 72, 33, 16, 12, 14
2020/1/30, 142, 65, 30, 21, 17, 17
2020/1/31, 127, 105, 34, 27, 16, 21
2020/2/1, 185, 67, 32, 19, 13, 14
2019/10/2, 159, 91, 97, 29, 11, 21
2019/10/3, 163, 106, 88, 32, 16, 20
2019/10/4, 166, 51, 22, 16, 8, 10
2019/10/5, 87, 51, 27, 23, 7, 12
2019/10/6, 73, 70, 26, 37, 9, 7
2019/10/7, 119, 72, 37, 25, 5, 7
2019/10/8, 141, 64, 30, 27, 8, 9
2019/10/9, 93, 99, 58, 46, 15, 18
2019/10/10, 134, 65, 32, 27, 5, 8
2019/10/11, 141, 102, 23, 31, 20, 18
2019/10/12, 131, 93, 24, 29, 27, 25
2019/10/13, 119, 67, 13, 26, 25, 16
2019/10/14, 104, 59, 22, 25, 9, 8
2019/10/15, 106, 101, 22, 51, 14, 13
2019/10/16, 139, 80, 18, 36, 8, 9
2019/10/17, 150, 73, 20, 28, 5, 11
2019/10/18, 152, 87, 30, 34, 5, 10
2019/10/19, 173, 181, 52, 55, 15, 20
2019/10/20, 237, 156, 50, 43, 13, 16
2019/10/21, 228, 89, 25, 33, 18, 19
2019/10/22, 119, 125, 47, 46, 14, 31
2019/10/23, 160, 179, 53, 60, 29, 32
2019/10/24, 218, 109, 28, 37, 15, 24
2019/10/25, 190, 46, 27, 25, 9, 9
2019/10/26, 78, 91, 22, 41, 9, 11
2019/10/27, 137, 108, 32, 44, 13, 13
2019/10/28, 166, 156, 22, 25, 8, 8
2019/10/29, 127, 83, 26, 39, 15, 11
2019/10/30, 113, 170, 22, 67, 17, 17
2019/10/31, 179, 165, 22, 61, 27, 36
2019/11/1, 179, 89, 26, 29, 30, 21
2019/11/2, 112, 117, 7, 42, 33, 35
2019/11/3, 158, 66, 22, 26, 15, 17
2019/11/4, 120, 100, 22, 45, 11, 14
2019/11/5, 158, 93, 22, 33, 16, 18
2019/11/6, 148, 110, 9, 42, 27, 21
2019/11/7, 156, 75, 19, 26, 18, 15
2019/11/8, 107, 93, 16, 35, 11, 13
2019/11/9, 137, 186, 27, 51, 15, 22
2019/11/10, 240, 87, 31, 28, 10, 17
2019/11/11, 151, 76, 17, 30, 14, 10
2019/11/12, 110, 113, 20, 42, 16, 16
2019/11/13, 155, 81, 24, 23, 9, 4
2019/11/14, 105, 104, 14, 33, 28, 4
2019/11/15, 164, 94, 18, 26, 34, 12
2019/11/16, 131, 77, 13, 25, 31, 5
2019/11/17, 120, 107, 12, 24, 14, 9
2019/11/18, 133, 70, 20, 12, 4, 
2019/11/19, 69, 65, 19, 24, 10, 
2019/11/20, 84, 153, 9, 45, 34, 
2019/11/21, 181, 224, 9, 48, 38, 
2019/11/22, 232, 165, 17, 39, 30, 
2019/11/23, 211, 123, 60, 35, 27, 
2019/11/24, 189, 68, 23, 17, 13, 
2019/11/25, 115, 66, 17, 23, 15, 1
2019/11/26, 101, 89, 16, 35, 15, 11
2019/11/27, 158, 85, 43, 27, 24, 
2019/11/28, 123, 102, 16, 31, 35, 2
2019/11/29, 143, 168, 11, 43, 36, 27
2019/11/30, 199, 113, 10, 32, 15, 
2019/12/1, 190, 64, 23, 26, 12, 
2019/12/2, 114, 54, 25, 20, 9, 
2019/12/3, 80, 85, 16, 30, 11, 
2019/12/4, 141, 99, 8, 31, 24, 
2019/12/5, 159, 84, 14, 26, 31, 7
2019/12/6, 151, 97, 13, 35, 15, 13
2019/12/7, 165, 153, 13, 43, 26, 26
2019/12/8, 212, 147, 9, 38, 8, 22
2019/12/9, 222, 163, 5, 40, 8, 19
2019/12/10, 235, 242, 5, 47, 23, 35
2019/12/11, 284, 72, 30, 23, 16, 9
2019/12/12, 112, 73, 20, 31, 12, 12
2019/12/13, 116, 103, 11, 36, 20, 21
2019/12/14, 167, 81, 21, 29, 22, 12
2019/12/15, 119, 112, 6, 34, 27, 14
2019/12/16, 173, 91, 4, 29, 12, 25
2019/12/17, 172, 60, 25, 24, 8, 13
2019/12/18, 120, 54, 21, 26, 12, 12
2019/12/19, 110, 75, 27, 25, 17, 13
2019/12/20, 136, 87, 14, 32, 24, 18
2019/12/21, 153, 108, 10, 41, 15, 20
2019/12/22, 172, 142, 6, 38, 32, 38
2019/12/23, 199, 114, 19, 30, 25, 32
2019/12/24, 189, 87, 10, 31, 19, 20
2019/12/25, 161, 133, 15, 37, 16, 23
2019/12/26, 194, 87, 20, 25, 16, 10
2019/12/27, 145, 129, 9, 39, 17, 17
2019/12/28, 167, 218, 9, 44, 41, 54
2019/12/29, 233, 173, 25, 40, 22, 42
2019/12/30, 233, , , , , 
2019/7/2, 114, 87, 48, 31, 22, 24
2019/7/3, 137, 87, 114, 29, 19, 23
2019/7/4, 132, 87, 133, 28, 13, 14
2019/7/5, 144, 91, 98, 22, 16, 14
2019/7/6, 157, 67, 49, 26, 11, 22
2019/7/7, 138, 74, 50, 24, 15, 20
2019/7/8, 151, 90, 89, 29, 15, 18
2019/7/9, 172, 92, 43, 36, 15, 31
2019/7/10, 156, 70, 51, 22, 20, 18
2019/7/11, 137, 92, 88, 26, 15, 18
2019/7/12, 158, 81, 114, 25, 8, 9
2019/7/13, 150, 75, 75, 25, 17, 17
