"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"5167",460,"baotou","2019/1/2",146,110,12,31,38,27,2019-01-02
"5168",461,"baotou","2019/1/3",192,93,26,19,19,17,2019-01-03
"5169",462,"baotou","2019/1/4",149,64,23,25,27,21,2019-01-04
"5170",463,"baotou","2019/1/5",124,88,15,31,36,22,2019-01-05
"5171",464,"baotou","2019/1/6",164,112,24,29,34,32,2019-01-06
"5172",465,"baotou","2019/1/7",177,39,27,11,8,7,2019-01-07
"5173",466,"baotou","2019/1/8",72,48,24,20,15,10,2019-01-08
"5174",467,"baotou","2019/1/9",89,87,18,34,39,24,2019-01-09
"5175",468,"baotou","2019/1/10",169,139,22,38,39,38,2019-01-10
"5176",469,"baotou","2019/1/11",213,119,21,34,24,24,2019-01-11
"5177",470,"baotou","2019/1/12",194,111,26,33,31,26,2019-01-12
"5178",471,"baotou","2019/1/13",172,96,22,35,34,27,2019-01-13
"5179",472,"baotou","2019/1/14",173,98,31,19,21,21,2019-01-14
"5180",473,"baotou","2019/1/15",119,44,29,16,22,14,2019-01-15
"5181",474,"baotou","2019/1/16",90,105,20,36,44,41,2019-01-16
"5182",475,"baotou","2019/1/17",173,129,17,37,45,40,2019-01-17
"5183",476,"baotou","2019/1/18",200,103,31,29,29,24,2019-01-18
"5184",477,"baotou","2019/1/19",164,80,55,17,14,14,2019-01-19
"5185",478,"baotou","2019/1/20",122,41,37,15,16,13,2019-01-20
"5186",479,"baotou","2019/1/21",82,87,24,38,35,36,2019-01-21
"5187",480,"baotou","2019/1/22",159,129,25,38,46,49,2019-01-22
"5188",481,"baotou","2019/1/23",197,137,16,42,40,38,2019-01-23
"5189",482,"baotou","2019/1/24",217,117,27,32,27,20,2019-01-24
"5190",483,"baotou","2019/1/25",182,87,28,30,27,20,2019-01-25
"5191",484,"baotou","2019/1/26",157,74,20,30,30,14,2019-01-26
"5192",485,"baotou","2019/1/27",156,61,32,18,10,12,2019-01-27
"5193",486,"baotou","2019/1/28",94,73,24,28,24,19,2019-01-28
"5194",487,"baotou","2019/1/29",132,104,30,29,30,24,2019-01-29
"5195",488,"baotou","2019/1/30",163,81,32,5,6,8,2019-01-30
"5196",489,"baotou","2019/1/31",62,79,28,16,24,12,2019-01-31
"5197",490,"baotou","2019/2/1",100,91,27,23,24,16,2019-02-01
"5198",491,"baotou","2019/2/2",158,152,33,27,34,23,2019-02-02
"5199",492,"baotou","2019/2/3",182,148,36,20,28,16,2019-02-03
"5200",493,"baotou","2019/2/4",132,161,31,25,36,21,2019-02-04
"5201",494,"baotou","2019/2/5",173,354,33,31,51,28,2019-02-05
"5202",495,"baotou","2019/2/6",316,137,35,10,9,10,2019-02-06
"5203",496,"baotou","2019/2/7",111,42,30,12,17,10,2019-02-07
"5204",497,"baotou","2019/2/8",85,60,35,13,17,9,2019-02-08
"5205",498,"baotou","2019/2/9",99,50,27,16,19,11,2019-02-09
"5206",499,"baotou","2019/2/10",105,64,31,19,19,13,2019-02-10
"5207",500,"baotou","2019/2/11",125,51,32,14,17,9,2019-02-11
"5208",501,"baotou","2019/2/12",101,53,33,15,12,12,2019-02-12
"5312",605,"baotou","2018/11/26",185,424,30,28,33,24,2018-11-26
"5313",606,"baotou","2018/11/27",236,118,28,26,22,15,2018-11-27
"5314",607,"baotou","2018/11/28",140,137,22,33,30,27,2018-11-28
"5315",608,"baotou","2018/11/29",175,129,19,31,32,27,2018-11-29
"5316",609,"baotou","2018/11/30",173,148,20,41,40,36,2018-11-30
"5317",610,"baotou","2018/12/1",190,116,12,35,42,28,2018-12-01
"5318",611,"baotou","2018/12/2",174,400,25,29,30,21,2018-12-02
"5319",612,"baotou","2018/12/3",176,128,26,18,15,11,2018-12-03
"5320",613,"baotou","2018/12/4",137,92,28,20,28,16,2018-12-04
"5321",614,"baotou","2018/12/5",123,87,23,24,31,19,2018-12-05
"5322",615,"baotou","2018/12/6",136,44,25,8,7,6,2018-12-06
"5323",616,"baotou","2018/12/7",52,41,25,8,6,4,2018-12-07
"5324",617,"baotou","2018/12/8",61,60,22,24,25,17,2018-12-08
"5325",618,"baotou","2018/12/9",120,73,13,27,26,15,2018-12-09
"5326",619,"baotou","2018/12/10",144,103,23,20,15,17,2018-12-10
"5327",620,"baotou","2018/12/11",148,55,25,18,16,11,2018-12-11
"5328",621,"baotou","2018/12/12",88,127,13,35,41,35,2018-12-12
"5329",622,"baotou","2018/12/13",187,107,16,30,36,25,2018-12-13
"5330",623,"baotou","2018/12/14",175,123,12,36,42,37,2018-12-14
"5331",624,"baotou","2018/12/15",201,162,17,38,47,38,2018-12-15
"5332",625,"baotou","2018/12/16",192,163,27,30,28,20,2018-12-16
"5333",626,"baotou","2018/12/17",150,132,20,44,48,45,2018-12-17
"5334",627,"baotou","2018/12/18",190,116,25,32,27,22,2018-12-18
"5335",628,"baotou","2018/12/19",157,104,23,35,31,26,2018-12-19
"5336",629,"baotou","2018/12/20",160,110,10,36,40,34,2018-12-20
"5337",630,"baotou","2018/12/21",180,94,22,30,26,21,2018-12-21
"5338",631,"baotou","2018/12/22",149,NA,NA,NA,NA,NA,2018-12-22
"5339",632,"baotou","2018/12/28",74,60,24,17,21,15,2018-12-28
"5340",633,"baotou","2018/12/29",108,84,17,29,37,31,2018-12-29
"5341",634,"baotou","2018/12/30",166,108,13,32,38,34,2018-12-30
"5342",635,"baotou","2018/12/31",186,NA,NA,NA,NA,NA,2018-12-31
"7064",2357,"baotou","2019/1/1",NA,67,18,23,24,14,2019-01-01
"7065",2358,"baotou","2018/12/27",NA,46,22,7,5,16,2018-12-27
