"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"17008",12301,"chifeng","2019/1/2",95,64,18,25,29,13,2019-01-02
"17009",12302,"chifeng","2019/1/3",121,84,21,21,26,12,2019-01-03
"17010",12303,"chifeng","2019/1/4",149,29,27,11,8,5,2019-01-04
"17011",12304,"chifeng","2019/1/5",52,40,22,18,20,8,2019-01-05
"17012",12305,"chifeng","2019/1/6",77,87,6,26,45,18,2019-01-06
"17013",12306,"chifeng","2019/1/7",151,58,23,17,16,11,2019-01-07
"17014",12307,"chifeng","2019/1/8",110,45,26,12,15,9,2019-01-08
"17015",12308,"chifeng","2019/1/9",70,51,24,16,20,10,2019-01-09
"17016",12309,"chifeng","2019/1/10",101,66,28,23,31,17,2019-01-10
"17017",12310,"chifeng","2019/1/11",112,93,8,32,30,16,2019-01-11
"17018",12311,"chifeng","2019/1/12",158,87,13,30,17,12,2019-01-12
"17019",12312,"chifeng","2019/1/13",147,65,23,21,19,10,2019-01-13
"17020",12313,"chifeng","2019/1/14",109,67,25,17,10,8,2019-01-14
"17021",12314,"chifeng","2019/1/15",97,31,25,7,4,4,2019-01-15
"17022",12315,"chifeng","2019/1/16",42,27,28,13,8,9,2019-01-16
"17023",12316,"chifeng","2019/1/17",56,70,24,26,28,15,2019-01-17
"17024",12317,"chifeng","2019/1/18",139,63,24,20,18,12,2019-01-18
"17025",12318,"chifeng","2019/1/19",106,50,26,16,12,12,2019-01-19
"17026",12319,"chifeng","2019/1/20",96,37,30,10,7,8,2019-01-20
"17027",12320,"chifeng","2019/1/21",55,52,31,10,6,3,2019-01-21
"17028",12321,"chifeng","2019/1/22",53,50,28,18,11,6,2019-01-22
"17029",12322,"chifeng","2019/1/23",77,54,23,26,28,10,2019-01-23
"17030",12323,"chifeng","2019/1/24",95,46,23,17,15,7,2019-01-24
"17031",12324,"chifeng","2019/1/25",82,35,26,10,7,4,2019-01-25
"17032",12325,"chifeng","2019/1/26",43,43,25,14,18,6,2019-01-26
"17033",12326,"chifeng","2019/1/27",83,92,27,9,8,7,2019-01-27
"17034",12327,"chifeng","2019/1/28",80,45,27,12,13,6,2019-01-28
"17035",12328,"chifeng","2019/1/29",76,60,26,16,20,12,2019-01-29
"17036",12329,"chifeng","2019/1/30",116,53,28,9,7,7,2019-01-30
"17037",12330,"chifeng","2019/1/31",73,36,25,9,7,6,2019-01-31
"17038",12331,"chifeng","2019/2/1",56,62,28,8,9,5,2019-02-01
"17039",12332,"chifeng","2019/2/2",70,80,28,22,32,13,2019-02-02
"17040",12333,"chifeng","2019/2/3",143,93,24,11,16,4,2019-02-03
"17041",12334,"chifeng","2019/2/4",102,92,28,10,29,9,2019-02-04
"17042",12335,"chifeng","2019/2/5",157,202,24,12,30,10,2019-02-05
"17043",12336,"chifeng","2019/2/6",212,48,22,14,34,7,2019-02-06
"17044",12337,"chifeng","2019/2/7",97,33,28,5,9,3,2019-02-07
"17045",12338,"chifeng","2019/2/8",58,31,26,9,23,7,2019-02-08
"17046",12339,"chifeng","2019/2/9",102,29,26,7,13,7,2019-02-09
"17047",12340,"chifeng","2019/2/10",87,51,24,15,22,11,2019-02-10
