"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"19378",14671,"chuzhou","2019/1/2",154,91,26,30,9,9,2019-01-02
"19379",14672,"chuzhou","2019/1/3",172,115,15,39,8,11,2019-01-03
"19380",14673,"chuzhou","2019/1/4",190,73,24,25,5,9,2019-01-04
"19381",14674,"chuzhou","2019/1/5",158,79,24,24,4,14,2019-01-05
"19382",14675,"chuzhou","2019/1/6",172,72,25,25,8,10,2019-01-06
"19383",14676,"chuzhou","2019/1/7",169,61,29,22,4,7,2019-01-07
"19384",14677,"chuzhou","2019/1/8",159,108,30,29,9,13,2019-01-08
"19385",14678,"chuzhou","2019/1/9",195,41,30,17,6,5,2019-01-09
"19386",14679,"chuzhou","2019/1/10",106,48,16,14,6,5,2019-01-10
"19387",14680,"chuzhou","2019/1/11",107,47,32,18,8,6,2019-01-11
"19388",14681,"chuzhou","2019/1/12",131,71,39,20,6,10,2019-01-12
"19389",14682,"chuzhou","2019/1/13",160,102,36,31,8,13,2019-01-13
"19390",14683,"chuzhou","2019/1/14",187,113,38,19,6,12,2019-01-14
"19391",14684,"chuzhou","2019/1/15",194,138,36,19,8,13,2019-01-15
"19392",14685,"chuzhou","2019/1/16",232,66,31,16,4,7,2019-01-16
"19393",14686,"chuzhou","2019/1/17",133,91,29,27,5,10,2019-01-17
"19394",14687,"chuzhou","2019/1/18",157,104,29,39,7,12,2019-01-18
"19395",14688,"chuzhou","2019/1/19",172,121,22,33,6,12,2019-01-19
"19396",14689,"chuzhou","2019/1/20",194,108,33,22,7,10,2019-01-20
"19397",14690,"chuzhou","2019/1/21",185,89,36,25,7,11,2019-01-21
"19398",14691,"chuzhou","2019/1/22",161,84,41,25,6,10,2019-01-22
"19399",14692,"chuzhou","2019/1/23",161,109,44,45,7,14,2019-01-23
"19400",14693,"chuzhou","2019/1/24",177,121,35,49,7,15,2019-01-24
"19401",14694,"chuzhou","2019/1/25",191,127,34,36,8,12,2019-01-25
