"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"21427",16720,"dalian","2019/1/2",75,59,15,28,22,10,2019-01-02
"21428",16721,"dalian","2019/1/3",108,63,25,23,18,12,2019-01-03
"21429",16722,"dalian","2019/1/4",128,107,18,29,18,14,2019-01-04
"21430",16723,"dalian","2019/1/5",173,44,21,19,11,7,2019-01-05
"21431",16724,"dalian","2019/1/6",75,48,19,18,11,9,2019-01-06
"21432",16725,"dalian","2019/1/7",83,70,16,27,19,12,2019-01-07
"21433",16726,"dalian","2019/1/8",133,54,21,17,13,7,2019-01-08
"21434",16727,"dalian","2019/1/9",94,41,25,12,9,6,2019-01-09
"21435",16728,"dalian","2019/1/10",60,81,23,21,10,11,2019-01-10
"21436",16729,"dalian","2019/1/11",145,105,21,25,8,15,2019-01-11
"21437",16730,"dalian","2019/1/12",187,129,27,28,12,16,2019-01-12
"21438",16731,"dalian","2019/1/13",232,192,30,35,13,23,2019-01-13
"21439",16732,"dalian","2019/1/14",315,82,25,25,15,12,2019-01-14
"21440",16733,"dalian","2019/1/15",164,66,23,9,5,5,2019-01-15
"21441",16734,"dalian","2019/1/16",85,56,21,21,12,9,2019-01-16
"21442",16735,"dalian","2019/1/17",77,93,10,34,21,20,2019-01-17
"21443",16736,"dalian","2019/1/18",161,86,22,29,16,14,2019-01-18
"21444",16737,"dalian","2019/1/19",162,97,18,29,17,15,2019-01-19
"21445",16738,"dalian","2019/1/20",164,37,25,13,8,7,2019-01-20
"21446",16739,"dalian","2019/1/21",72,55,23,21,9,10,2019-01-21
"21447",16740,"dalian","2019/1/22",85,81,16,32,14,13,2019-01-22
"21448",16741,"dalian","2019/1/23",141,77,21,33,16,13,2019-01-23
"21449",16742,"dalian","2019/1/24",139,52,27,21,13,8,2019-01-24
"21450",16743,"dalian","2019/1/25",111,57,25,11,8,6,2019-01-25
"21451",16744,"dalian","2019/1/26",105,36,47,13,8,5,2019-01-26
"21452",16745,"dalian","2019/1/27",60,57,24,19,11,8,2019-01-27
"21453",16746,"dalian","2019/1/28",115,61,27,18,9,7,2019-01-28
"21454",16747,"dalian","2019/1/29",92,39,30,15,10,7,2019-01-29
"21455",16748,"dalian","2019/1/30",71,81,22,19,10,10,2019-01-30
"21456",16749,"dalian","2019/1/31",134,44,25,10,6,6,2019-01-31
"21457",16750,"dalian","2019/2/1",58,67,32,12,8,8,2019-02-01
"21458",16751,"dalian","2019/2/2",109,94,35,10,7,9,2019-02-02
"21459",16752,"dalian","2019/2/3",169,76,25,12,6,7,2019-02-03
"21460",16753,"dalian","2019/2/4",135,73,33,7,8,6,2019-02-04
"21564",16857,"dalian","2018/11/18",79,63,24,20,9,9,2018-11-18
"21565",16858,"dalian","2018/11/19",133,50,28,15,9,6,2018-11-19
"21566",16859,"dalian","2018/11/20",71,79,24,19,9,10,2018-11-20
"21567",16860,"dalian","2018/11/21",139,45,23,18,9,6,2018-11-21
"21568",16861,"dalian","2018/11/22",73,35,19,15,10,6,2018-11-22
"21569",16862,"dalian","2018/11/23",56,53,37,11,8,7,2018-11-23
"21570",16863,"dalian","2018/11/24",101,47,25,15,6,9,2018-11-24
"21571",16864,"dalian","2018/11/25",99,109,40,25,10,14,2018-11-25
"21572",16865,"dalian","2018/11/26",182,91,46,13,7,10,2018-11-26
"21573",16866,"dalian","2018/11/27",169,221,27,17,8,8,2018-11-27
"21574",16867,"dalian","2018/11/28",168,102,27,11,10,5,2018-11-28
"21575",16868,"dalian","2018/11/29",91,62,22,14,7,5,2018-11-29
"21576",16869,"dalian","2018/11/30",77,70,26,21,11,8,2018-11-30
"21577",16870,"dalian","2018/12/1",104,71,32,14,6,8,2018-12-01
"21578",16871,"dalian","2018/12/2",108,58,29,7,4,6,2018-12-02
"21579",16872,"dalian","2018/12/3",87,92,22,11,4,8,2018-12-03
"21580",16873,"dalian","2018/12/4",131,46,35,8,6,4,2018-12-04
"21581",16874,"dalian","2018/12/5",61,31,25,8,9,4,2018-12-05
"21582",16875,"dalian","2018/12/6",48,33,22,8,6,5,2018-12-06
