"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"23798",19091,"dandong","2019/1/2",92,57,25,18,25,14,2019-01-02
"23799",19092,"dandong","2019/1/3",121,69,22,20,29,19,2019-01-03
"23800",19093,"dandong","2019/1/4",144,72,23,20,24,17,2019-01-04
"23801",19094,"dandong","2019/1/5",142,49,23,14,15,10,2019-01-05
"23802",19095,"dandong","2019/1/6",80,51,26,15,19,12,2019-01-06
"23803",19096,"dandong","2019/1/7",106,62,24,19,22,17,2019-01-07
"23804",19097,"dandong","2019/1/8",127,54,23,12,13,9,2019-01-08
"23805",19098,"dandong","2019/1/9",89,62,22,15,26,11,2019-01-09
"23806",19099,"dandong","2019/1/10",110,84,20,23,29,20,2019-01-10
"23807",19100,"dandong","2019/1/11",159,104,21,24,29,19,2019-01-11
"23808",19101,"dandong","2019/1/12",182,119,21,28,37,25,2019-01-12
"23809",19102,"dandong","2019/1/13",204,151,24,27,30,29,2019-01-13
"23810",19103,"dandong","2019/1/14",247,142,27,23,30,27,2019-01-14
"23811",19104,"dandong","2019/1/15",236,93,21,11,10,9,2019-01-15
"23812",19105,"dandong","2019/1/16",109,76,22,19,25,15,2019-01-16
"23813",19106,"dandong","2019/1/17",129,74,19,21,26,20,2019-01-17
"23814",19107,"dandong","2019/1/18",147,74,24,21,34,17,2019-01-18
"23815",19108,"dandong","2019/1/19",152,73,24,19,20,18,2019-01-19
"23816",19109,"dandong","2019/1/20",141,48,25,13,15,8,2019-01-20
"23817",19110,"dandong","2019/1/21",86,85,20,24,33,21,2019-01-21
"23818",19111,"dandong","2019/1/22",162,114,23,27,34,26,2019-01-22
"23819",19112,"dandong","2019/1/23",188,83,29,18,17,21,2019-01-23
"23820",19113,"dandong","2019/1/24",132,44,26,14,18,7,2019-01-24
"23821",19114,"dandong","2019/1/25",92,51,26,12,12,7,2019-01-25
"23822",19115,"dandong","2019/1/26",88,46,28,15,17,9,2019-01-26
"23823",19116,"dandong","2019/1/27",87,68,21,20,31,16,2019-01-27
"23824",19117,"dandong","2019/1/28",141,67,28,16,14,9,2019-01-28
"23825",19118,"dandong","2019/1/29",110,76,28,20,31,15,2019-01-29
"23826",19119,"dandong","2019/1/30",135,69,27,17,18,13,2019-01-30
"23827",19120,"dandong","2019/1/31",118,48,27,8,10,6,2019-01-31
"23828",19121,"dandong","2019/2/1",72,72,24,18,35,16,2019-02-01
"23829",19122,"dandong","2019/2/2",146,80,37,14,29,11,2019-02-02
"23830",19123,"dandong","2019/2/3",152,74,33,12,14,10,2019-02-03
"23831",19124,"dandong","2019/2/4",147,61,29,7,23,6,2019-02-04
"23935",19228,"dandong","2018/11/18",103,74,20,22,30,16,2018-11-18
"23936",19229,"dandong","2018/11/19",144,76,21,20,19,18,2018-11-19
"23937",19230,"dandong","2018/11/20",140,63,17,19,15,12,2018-11-20
"23938",19231,"dandong","2018/11/21",127,45,24,13,13,7,2018-11-21
"23939",19232,"dandong","2018/11/22",91,54,24,16,16,12,2018-11-22
"23940",19233,"dandong","2018/11/23",107,49,25,14,26,10,2018-11-23
"23941",19234,"dandong","2018/11/24",96,41,23,16,21,9,2018-11-24
"23942",19235,"dandong","2018/11/25",107,68,17,21,21,17,2018-11-25
"23943",19236,"dandong","2018/11/26",159,73,32,18,26,15,2018-11-26
"23944",19237,"dandong","2018/11/27",159,115,28,17,13,8,2018-11-27
"23945",19238,"dandong","2018/11/28",120,77,25,13,17,7,2018-11-28
"23946",19239,"dandong","2018/11/29",91,56,50,13,17,6,2018-11-29
"23947",19240,"dandong","2018/11/30",76,68,22,19,30,13,2018-11-30
"23948",19241,"dandong","2018/12/1",124,69,25,20,23,15,2018-12-01
"23949",19242,"dandong","2018/12/2",133,73,14,25,27,14,2018-12-02
"23950",19243,"dandong","2018/12/3",154,84,20,10,8,6,2018-12-03
"23951",19244,"dandong","2018/12/4",127,57,24,5,7,4,2018-12-04
"23952",19245,"dandong","2018/12/5",64,40,22,12,16,6,2018-12-05
"23953",19246,"dandong","2018/12/6",72,47,20,10,16,6,2018-12-06
"23954",19247,"dandong","2018/12/7",80,43,21,8,13,6,2018-12-07
"23955",19248,"dandong","2018/12/8",64,51,23,14,20,8,2018-12-08
"23956",19249,"dandong","2018/12/9",97,66,22,20,33,14,2018-12-09
"23957",19250,"dandong","2018/12/10",133,69,21,22,25,13,2018-12-10
"23958",19251,"dandong","2018/12/11",145,55,22,19,20,10,2018-12-11
"23959",19252,"dandong","2018/12/12",116,64,24,19,18,10,2018-12-12
"23960",19253,"dandong","2018/12/13",129,53,24,13,17,8,2018-12-13
"23961",19254,"dandong","2018/12/14",95,56,26,15,16,10,2018-12-14
"23962",19255,"dandong","2018/12/15",113,70,21,22,35,15,2018-12-15
"23963",19256,"dandong","2018/12/16",154,94,16,25,27,24,2018-12-16
"23964",19257,"dandong","2018/12/17",177,97,18,23,34,22,2018-12-17
"23965",19258,"dandong","2018/12/18",179,97,18,25,33,26,2018-12-18
"23966",19259,"dandong","2018/12/19",174,89,21,23,34,24,2018-12-19
"23967",19260,"dandong","2018/12/20",169,93,19,26,31,24,2018-12-20
"23968",19261,"dandong","2018/12/21",170,75,12,24,30,15,2018-12-21
