"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"28170",23463,"fuxin","2019/1/2",129,70,28,16,37,10,2019-01-02
"28171",23464,"fuxin","2019/1/3",138,141,16,28,71,20,2019-01-03
"28172",23465,"fuxin","2019/1/4",233,82,31,11,31,11,2019-01-04
"28173",23466,"fuxin","2019/1/5",101,51,30,11,38,7,2019-01-05
"28174",23467,"fuxin","2019/1/6",81,100,23,22,74,14,2019-01-06
"28175",23468,"fuxin","2019/1/7",186,84,27,16,47,12,2019-01-07
"28176",23469,"fuxin","2019/1/8",140,64,29,10,30,6,2019-01-08
"28177",23470,"fuxin","2019/1/9",92,88,24,20,38,9,2019-01-09
"28178",23471,"fuxin","2019/1/10",142,117,28,27,70,18,2019-01-10
"28179",23472,"fuxin","2019/1/11",189,121,24,30,51,18,2019-01-11
"28180",23473,"fuxin","2019/1/12",202,245,10,46,62,31,2019-01-12
"28181",23474,"fuxin","2019/1/13",336,132,26,19,40,13,2019-01-13
"28182",23475,"fuxin","2019/1/14",177,109,25,19,54,9,2019-01-14
"28183",23476,"fuxin","2019/1/15",148,79,28,8,18,5,2019-01-15
"28184",23477,"fuxin","2019/1/16",77,81,29,20,54,11,2019-01-16
"28185",23478,"fuxin","2019/1/17",152,84,30,19,50,12,2019-01-17
"28186",23479,"fuxin","2019/1/18",148,112,27,26,64,14,2019-01-18
"28187",23480,"fuxin","2019/1/19",200,48,35,11,20,5,2019-01-19
"28188",23481,"fuxin","2019/1/20",86,42,35,9,23,5,2019-01-20
"28189",23482,"fuxin","2019/1/21",69,93,40,18,34,10,2019-01-21
"28190",23483,"fuxin","2019/1/22",145,93,33,20,62,12,2019-01-22
"28191",23484,"fuxin","2019/1/23",152,72,36,16,58,9,2019-01-23
"28192",23485,"fuxin","2019/1/24",123,74,32,18,51,7,2019-01-24
"28193",23486,"fuxin","2019/1/25",135,49,33,6,25,3,2019-01-25
"28194",23487,"fuxin","2019/1/26",51,49,32,11,25,6,2019-01-26
"28195",23488,"fuxin","2019/1/27",99,93,36,14,26,8,2019-01-27
"28196",23489,"fuxin","2019/1/28",130,101,36,10,30,6,2019-01-28
"28197",23490,"fuxin","2019/1/29",111,94,25,22,35,11,2019-01-29
