"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"37269",32562,"hefei","2019/1/2",131,72,16,28,7,9,2019-01-02
"37270",32563,"hefei","2019/1/3",165,86,7,34,8,11,2019-01-03
"37271",32564,"hefei","2019/1/4",182,77,7,25,2,9,2019-01-04
"37272",32565,"hefei","2019/1/5",175,NA,8,20,3,13,2019-01-05
"37273",32566,"hefei","2019/1/6",184,70,11,25,3,12,2019-01-06
"37274",32567,"hefei","2019/1/7",176,52,3,20,2,8,2019-01-07
"37275",32568,"hefei","2019/1/8",143,61,13,23,2,11,2019-01-08
"37276",32569,"hefei","2019/1/9",166,31,16,21,2,7,2019-01-09
"37277",32570,"hefei","2019/1/10",115,38,8,19,1,5,2019-01-10
"37278",32571,"hefei","2019/1/11",106,27,4,16,2,6,2019-01-11
"37279",32572,"hefei","2019/1/12",94,78,18,25,3,9,2019-01-12
"37280",32573,"hefei","2019/1/13",167,91,20,35,5,13,2019-01-13
"37281",32574,"hefei","2019/1/14",184,93,12,27,4,14,2019-01-14
"37282",32575,"hefei","2019/1/15",198,93,14,23,4,13,2019-01-15
"37283",32576,"hefei","2019/1/16",214,64,15,20,5,6,2019-01-16
"37284",32577,"hefei","2019/1/17",86,82,25,32,5,10,2019-01-17
"37285",32578,"hefei","2019/1/18",145,75,32,29,5,9,2019-01-18
"37286",32579,"hefei","2019/1/19",157,86,21,22,3,10,2019-01-19
"37287",32580,"hefei","2019/1/20",179,113,19,32,6,13,2019-01-20
"37288",32581,"hefei","2019/1/21",223,81,26,31,8,11,2019-01-21
"37289",32582,"hefei","2019/1/22",172,68,32,33,6,8,2019-01-22
"37290",32583,"hefei","2019/1/23",147,85,34,46,8,12,2019-01-23
"37291",32584,"hefei","2019/1/24",177,72,42,45,9,11,2019-01-24
"37292",32585,"hefei","2019/1/25",167,94,37,35,8,10,2019-01-25
"37293",32586,"hefei","2019/1/26",188,38,27,19,3,4,2019-01-26
"37294",32587,"hefei","2019/1/27",86,64,23,30,5,5,2019-01-27
"37295",32588,"hefei","2019/1/28",128,94,14,30,3,8,2019-01-28
"37296",32589,"hefei","2019/1/29",192,86,17,25,4,10,2019-01-29
"37297",32590,"hefei","2019/1/30",182,NA,8,23,2,10,2019-01-30
"37298",32591,"hefei","2019/1/31",158,26,23,10,1,7,2019-01-31
"37299",32592,"hefei","2019/2/1",86,56,33,14,1,8,2019-02-01
"37300",32593,"hefei","2019/2/2",149,44,24,15,1,9,2019-02-02
"37301",32594,"hefei","2019/2/3",125,67,21,10,1,10,2019-02-03
"37302",32595,"hefei","2019/2/4",162,89,37,17,3,12,2019-02-04
"37406",32699,"hefei","2018/11/18",72,22,18,13,1,4,2018-11-18
"37407",32700,"hefei","2018/11/19",81,54,30,21,2,8,2018-11-19
"37408",32701,"hefei","2018/11/20",132,63,33,29,5,9,2018-11-20
"37409",32702,"hefei","2018/11/21",143,79,40,20,4,12,2018-11-21
"37410",32703,"hefei","2018/11/22",184,79,38,29,5,10,2018-11-22
"37411",32704,"hefei","2018/11/23",165,72,39,27,5,10,2018-11-23
"37412",32705,"hefei","2018/11/24",161,76,48,35,4,14,2018-11-24
"37413",32706,"hefei","2018/11/25",155,100,43,45,6,17,2018-11-25
"37414",32707,"hefei","2018/11/26",179,98,49,50,7,20,2018-11-26
"37415",32708,"hefei","2018/11/27",178,108,55,44,5,17,2018-11-27
"37416",32709,"hefei","2018/11/28",182,95,42,50,6,16,2018-11-28
"37417",32710,"hefei","2018/11/29",183,102,43,47,6,15,2018-11-29
"37418",32711,"hefei","2018/11/30",187,118,21,31,2,15,2018-11-30
"37419",32712,"hefei","2018/12/1",227,127,21,23,3,13,2018-12-01
"37420",32713,"hefei","2018/12/2",235,96,21,24,3,13,2018-12-02
"37421",32714,"hefei","2018/12/3",199,73,16,16,1,12,2018-12-03
"37422",32715,"hefei","2018/12/4",164,57,14,13,4,8,2018-12-04
"37423",32716,"hefei","2018/12/5",89,60,15,14,2,6,2018-12-05
"37424",32717,"hefei","2018/12/6",75,23,20,10,1,4,2018-12-06
"37425",32718,"hefei","2018/12/7",58,49,19,14,2,8,2018-12-07
"37426",32719,"hefei","2018/12/8",95,46,18,13,4,11,2018-12-08
"37427",32720,"hefei","2018/12/9",76,53,15,17,4,7,2018-12-09
"37428",32721,"hefei","2018/12/10",108,17,7,18,2,5,2018-12-10
