"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"39635",34928,"huludao","2019/1/2",162,91,24,30,49,26,2019-01-02
"39636",34929,"huludao","2019/1/3",183,113,15,34,45,29,2019-01-03
"39637",34930,"huludao","2019/1/4",210,107,29,31,34,25,2019-01-04
"39638",34931,"huludao","2019/1/5",194,88,24,26,52,18,2019-01-05
"39639",34932,"huludao","2019/1/6",169,94,21,30,52,18,2019-01-06
"39640",34933,"huludao","2019/1/7",173,102,19,31,55,24,2019-01-07
"39641",34934,"huludao","2019/1/8",206,86,26,20,30,14,2019-01-08
"39642",34935,"huludao","2019/1/9",123,91,17,28,32,14,2019-01-09
"39643",34936,"huludao","2019/1/10",136,145,13,35,53,25,2019-01-10
"39644",34937,"huludao","2019/1/11",212,237,6,42,80,39,2019-01-11
"39645",34938,"huludao","2019/1/12",305,272,7,58,72,49,2019-01-12
"39646",34939,"huludao","2019/1/13",396,264,22,40,77,51,2019-01-13
"39647",34940,"huludao","2019/1/14",371,139,15,36,48,25,2019-01-14
"39648",34941,"huludao","2019/1/15",236,90,27,13,18,12,2019-01-15
"39649",34942,"huludao","2019/1/16",87,85,24,26,39,18,2019-01-16
"39650",34943,"huludao","2019/1/17",150,105,24,31,65,25,2019-01-17
"39651",34944,"huludao","2019/1/18",189,154,12,37,66,24,2019-01-18
"39652",34945,"huludao","2019/1/19",264,92,26,25,57,19,2019-01-19
"39653",34946,"huludao","2019/1/20",158,48,30,16,30,9,2019-01-20
"39654",34947,"huludao","2019/1/21",90,76,30,26,29,15,2019-01-21
"39655",34948,"huludao","2019/1/22",123,112,22,35,42,23,2019-01-22
"39656",34949,"huludao","2019/1/23",198,95,28,26,55,21,2019-01-23
"39657",34950,"huludao","2019/1/24",160,107,26,30,50,17,2019-01-24
"39658",34951,"huludao","2019/1/25",199,64,30,14,16,7,2019-01-25
"39659",34952,"huludao","2019/1/26",84,56,29,21,30,10,2019-01-26
"39660",34953,"huludao","2019/1/27",92,81,24,31,28,19,2019-01-27
"39661",34954,"huludao","2019/1/28",145,66,34,15,20,9,2019-01-28
"39662",34955,"huludao","2019/1/29",90,70,26,28,27,15,2019-01-29
"39663",34956,"huludao","2019/1/30",138,87,29,20,46,13,2019-01-30
"39664",34957,"huludao","2019/1/31",124,63,29,14,24,7,2019-01-31
"39665",34958,"huludao","2019/2/1",107,97,27,23,22,12,2019-02-01
"39666",34959,"huludao","2019/2/2",138,98,28,24,24,15,2019-02-02
"39667",34960,"huludao","2019/2/3",181,80,30,11,31,8,2019-02-03
"39668",34961,"huludao","2019/2/4",108,89,29,14,29,10,2019-02-04
"39772",35065,"huludao","2018/11/18",135,86,26,23,30,15,2018-11-18
"39773",35066,"huludao","2018/11/19",143,76,23,23,62,14,2018-11-19
"39774",35067,"huludao","2018/11/20",117,71,20,18,60,15,2018-11-20
"39775",35068,"huludao","2018/11/21",118,69,24,20,28,12,2018-11-21
"39776",35069,"huludao","2018/11/22",136,71,24,22,41,14,2018-11-22
"39777",35070,"huludao","2018/11/23",126,122,14,35,64,25,2018-11-23
"39778",35071,"huludao","2018/11/24",197,107,23,27,37,16,2018-11-24
"39779",35072,"huludao","2018/11/25",215,118,24,30,61,21,2018-11-25
"39780",35073,"huludao","2018/11/26",211,150,27,34,33,20,2018-11-26
"39781",35074,"huludao","2018/11/27",262,321,29,22,32,12,2018-11-27
"39782",35075,"huludao","2018/11/28",175,76,17,21,45,10,2018-11-28
"39783",35076,"huludao","2018/11/29",112,76,22,21,43,12,2018-11-29
"39784",35077,"huludao","2018/11/30",145,96,22,30,33,18,2018-11-30
"39785",35078,"huludao","2018/12/1",157,75,21,25,51,11,2018-12-01
"39786",35079,"huludao","2018/12/2",131,65,26,18,25,9,2018-12-02
"39787",35080,"huludao","2018/12/3",141,156,25,10,15,7,2018-12-03
"39788",35081,"huludao","2018/12/4",128,56,25,14,33,9,2018-12-04
"39789",35082,"huludao","2018/12/5",110,69,15,22,41,16,2018-12-05
"39790",35083,"huludao","2018/12/6",147,52,27,10,11,8,2018-12-06
"39791",35084,"huludao","2018/12/7",76,60,24,14,21,10,2018-12-07
"39792",35085,"huludao","2018/12/8",105,51,26,17,24,9,2018-12-08
"39793",35086,"huludao","2018/12/9",103,116,21,29,51,16,2018-12-09
"39794",35087,"huludao","2018/12/10",182,82,18,28,82,17,2018-12-10
"39795",35088,"huludao","2018/12/11",166,81,19,23,54,16,2018-12-11
"39796",35089,"huludao","2018/12/12",173,90,19,24,39,15,2018-12-12
"39797",35090,"huludao","2018/12/13",158,59,31,17,31,7,2018-12-13
"39798",35091,"huludao","2018/12/14",107,85,22,23,43,16,2018-12-14
"39799",35092,"huludao","2018/12/15",167,94,16,34,39,19,2018-12-15
"39800",35093,"huludao","2018/12/16",187,123,21,34,43,22,2018-12-16
"39801",35094,"huludao","2018/12/17",243,61,28,24,31,13,2018-12-17
"39802",35095,"huludao","2018/12/18",126,76,24,25,49,16,2018-12-18
"39803",35096,"huludao","2018/12/19",159,87,24,27,44,17,2018-12-19
"39804",35097,"huludao","2018/12/20",171,88,20,30,50,16,2018-12-20
"39805",35098,"huludao","2018/12/21",169,73,25,24,21,16,2018-12-21
"39806",35099,"huludao","2018/12/22",174,100,16,28,34,21,2018-12-22
"39807",35100,"huludao","2018/12/23",190,NA,NA,NA,NA,NA,2018-12-23
"39808",35101,"huludao","2018/12/25",160,73,26,21,30,11,2018-12-25
"39809",35102,"huludao","2018/12/26",118,45,28,11,24,8,2018-12-26
"39810",35103,"huludao","2018/12/27",60,70,26,13,23,9,2018-12-27
"39811",35104,"huludao","2018/12/28",87,65,23,21,27,11,2018-12-28
"39812",35105,"huludao","2018/12/29",123,56,28,18,25,11,2018-12-29
"39813",35106,"huludao","2018/12/30",111,66,25,23,37,16,2018-12-30
"39814",35107,"huludao","2018/12/31",136,NA,NA,NA,NA,NA,2018-12-31
"41538",36831,"huludao","2019/1/1",NA,90,24,25,42,20,2019-01-01
"41539",36832,"huludao","2018/12/24",NA,84,9,32,35,17,2018-12-24
