"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"49111",44404,"panjin","2019/1/2",134,61,25,22,18,13,2019-01-02
"49112",44405,"panjin","2019/1/3",120,78,18,23,22,19,2019-01-03
"49113",44406,"panjin","2019/1/4",159,78,26,24,13,16,2019-01-04
"49114",44407,"panjin","2019/1/5",149,53,27,18,12,9,2019-01-05
"49115",44408,"panjin","2019/1/6",98,80,20,29,19,17,2019-01-06
"49116",44409,"panjin","2019/1/7",172,89,21,30,21,20,2019-01-07
"49117",44410,"panjin","2019/1/8",173,86,27,16,11,9,2019-01-08
"49118",44411,"panjin","2019/1/9",92,68,29,18,16,10,2019-01-09
"49119",44412,"panjin","2019/1/10",103,69,20,26,24,16,2019-01-10
"49120",44413,"panjin","2019/1/11",160,131,15,35,19,32,2019-01-11
"49121",44414,"panjin","2019/1/12",251,98,18,28,11,25,2019-01-12
"49122",44415,"panjin","2019/1/13",252,110,22,35,17,30,2019-01-13
"49123",44416,"panjin","2019/1/14",205,74,22,23,16,20,2019-01-14
"49124",44417,"panjin","2019/1/15",159,74,27,11,7,9,2019-01-15
"49125",44418,"panjin","2019/1/16",70,39,23,15,11,7,2019-01-16
"49126",44419,"panjin","2019/1/17",72,55,25,19,12,9,2019-01-17
"49127",44420,"panjin","2019/1/18",120,105,6,32,19,20,2019-01-18
"49128",44421,"panjin","2019/1/19",207,106,25,26,18,22,2019-01-19
"49129",44422,"panjin","2019/1/20",189,42,27,11,12,7,2019-01-20
"49130",44423,"panjin","2019/1/21",59,58,30,18,20,10,2019-01-21
"49131",44424,"panjin","2019/1/22",90,74,24,23,19,13,2019-01-22
"49132",44425,"panjin","2019/1/23",153,73,29,20,12,12,2019-01-23
"49133",44426,"panjin","2019/1/24",131,79,23,27,20,14,2019-01-24
"49134",44427,"panjin","2019/1/25",172,59,32,14,13,8,2019-01-25
"49135",44428,"panjin","2019/1/26",89,79,33,21,12,13,2019-01-26
"49136",44429,"panjin","2019/1/27",185,73,25,19,10,13,2019-01-27
"49137",44430,"panjin","2019/1/28",139,76,35,15,9,8,2019-01-28
"49138",44431,"panjin","2019/1/29",86,63,31,14,8,10,2019-01-29
"49139",44432,"panjin","2019/1/30",109,79,29,10,6,10,2019-01-30
"49140",44433,"panjin","2019/1/31",105,68,28,15,10,9,2019-01-31
"49141",44434,"panjin","2019/2/1",128,76,26,14,6,11,2019-02-01
"49142",44435,"panjin","2019/2/2",146,85,33,11,7,13,2019-02-02
"49143",44436,"panjin","2019/2/3",183,79,29,11,7,12,2019-02-03
"49144",44437,"panjin","2019/2/4",121,113,28,16,16,15,2019-02-04
"49248",44541,"panjin","2018/11/18",103,60,23,22,14,11,2018-11-18
"49249",44542,"panjin","2018/11/19",120,55,25,19,14,8,2018-11-19
"49250",44543,"panjin","2018/11/20",112,64,20,15,19,10,2018-11-20
"49251",44544,"panjin","2018/11/21",122,43,21,16,10,7,2018-11-21
"49252",44545,"panjin","2018/11/22",92,38,24,15,11,7,2018-11-22
"49253",44546,"panjin","2018/11/23",83,65,19,22,15,16,2018-11-23
"49254",44547,"panjin","2018/11/24",138,64,18,22,10,14,2018-11-24
"49255",44548,"panjin","2018/11/25",156,58,25,22,10,14,2018-11-25
"49256",44549,"panjin","2018/11/26",142,111,35,17,8,16,2018-11-26
"49257",44550,"panjin","2018/11/27",226,158,28,19,11,9,2018-11-27
"49258",44551,"panjin","2018/11/28",120,62,20,16,12,8,2018-11-28
"49259",44552,"panjin","2018/11/29",84,56,24,20,13,9,2018-11-29
"49260",44553,"panjin","2018/11/30",120,78,24,23,13,15,2018-11-30
