"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"53848",49141,"suzhou","2019/1/2",127,78,21,25,11,16,2019-01-02
"53849",49142,"suzhou","2019/1/3",166,69,19,36,11,10,2019-01-03
"53850",49143,"suzhou","2019/1/4",161,39,11,31,6,7,2019-01-04
"53851",49144,"suzhou","2019/1/5",119,31,16,24,3,10,2019-01-05
"53852",49145,"suzhou","2019/1/6",96,48,15,25,4,13,2019-01-06
"53853",49146,"suzhou","2019/1/7",138,47,19,28,5,8,2019-01-07
"53854",49147,"suzhou","2019/1/8",130,70,24,27,8,13,2019-01-08
"53855",49148,"suzhou","2019/1/9",160,46,21,26,4,8,2019-01-09
"53856",49149,"suzhou","2019/1/10",104,34,5,25,3,7,2019-01-10
"53857",49150,"suzhou","2019/1/11",102,32,7,28,4,8,2019-01-11
"53858",49151,"suzhou","2019/1/12",84,50,8,26,5,9,2019-01-12
"53859",49152,"suzhou","2019/1/13",135,79,19,30,6,15,2019-01-13
"53860",49153,"suzhou","2019/1/14",170,86,17,39,5,12,2019-01-14
"53861",49154,"suzhou","2019/1/15",172,102,36,29,7,16,2019-01-15
"53862",49155,"suzhou","2019/1/16",207,60,26,22,7,11,2019-01-16
"53863",49156,"suzhou","2019/1/17",112,85,23,34,7,15,2019-01-17
"53864",49157,"suzhou","2019/1/18",163,92,14,36,8,17,2019-01-18
"53865",49158,"suzhou","2019/1/19",171,93,8,36,8,14,2019-01-19
"53866",49159,"suzhou","2019/1/20",180,107,23,32,8,13,2019-01-20
"53867",49160,"suzhou","2019/1/21",175,71,39,31,5,9,2019-01-21
"53868",49161,"suzhou","2019/1/22",147,87,45,38,8,11,2019-01-22
"53869",49162,"suzhou","2019/1/23",175,94,59,49,9,17,2019-01-23
"53870",49163,"suzhou","2019/1/24",175,106,55,53,10,14,2019-01-24
"53871",49164,"suzhou","2019/1/25",190,68,44,34,6,9,2019-01-25
"53872",49165,"suzhou","2019/1/26",149,38,26,17,2,7,2019-01-26
"53873",49166,"suzhou","2019/1/27",87,49,35,27,4,6,2019-01-27
"53874",49167,"suzhou","2019/1/28",97,65,38,35,6,12,2019-01-28
"53875",49168,"suzhou","2019/1/29",157,87,18,35,4,13,2019-01-29
"53876",49169,"suzhou","2019/1/30",162,101,17,25,3,8,2019-01-30
"53877",49170,"suzhou","2019/1/31",124,47,31,12,2,7,2019-01-31
"53878",49171,"suzhou","2019/2/1",70,64,31,14,8,9,2019-02-01
"53879",49172,"suzhou","2019/2/2",161,68,28,21,8,7,2019-02-02
"53880",49173,"suzhou","2019/2/3",161,74,20,19,25,14,2019-02-03
"53881",49174,"suzhou","2019/2/4",172,111,42,17,6,13,2019-02-04
