"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"58583",53876,"wuhan","2019/1/2",131,56,13,37,3,12,2019-01-02
"58584",53877,"wuhan","2019/1/3",158,61,15,31,7,15,2019-01-03
"58585",53878,"wuhan","2019/1/4",165,72,16,28,4,14,2019-01-04
"58586",53879,"wuhan","2019/1/5",182,99,20,27,4,14,2019-01-05
"58587",53880,"wuhan","2019/1/6",224,116,16,34,7,20,2019-01-06
"58588",53881,"wuhan","2019/1/7",248,84,19,29,5,16,2019-01-07
"58589",53882,"wuhan","2019/1/8",190,70,18,24,3,15,2019-01-08
"58590",53883,"wuhan","2019/1/9",172,38,11,26,3,18,2019-01-09
"58591",53884,"wuhan","2019/1/10",120,30,11,23,3,12,2019-01-10
"58592",53885,"wuhan","2019/1/11",116,52,8,26,3,13,2019-01-11
"58593",53886,"wuhan","2019/1/12",163,81,22,34,8,20,2019-01-12
"58594",53887,"wuhan","2019/1/13",188,92,18,44,7,26,2019-01-13
"58595",53888,"wuhan","2019/1/14",190,73,11,30,6,20,2019-01-14
"58596",53889,"wuhan","2019/1/15",174,88,21,26,4,19,2019-01-15
"58597",53890,"wuhan","2019/1/16",199,77,19,27,6,15,2019-01-16
"58598",53891,"wuhan","2019/1/17",121,123,11,44,7,25,2019-01-17
"58599",53892,"wuhan","2019/1/18",187,108,11,45,6,22,2019-01-18
"58600",53893,"wuhan","2019/1/19",194,89,11,36,5,16,2019-01-19
"58601",53894,"wuhan","2019/1/20",179,105,30,28,7,18,2019-01-20
"58602",53895,"wuhan","2019/1/21",216,113,23,42,11,18,2019-01-21
"58603",53896,"wuhan","2019/1/22",219,103,35,45,8,15,2019-01-22
"58706",53999,"wuhan","2018/11/5",145,70,38,21,5,13,2018-11-05
"58707",54000,"wuhan","2018/11/6",156,12,10,14,3,10,2018-11-06
"58708",54001,"wuhan","2018/11/7",44,14,15,14,2,9,2018-11-07
"58709",54002,"wuhan","2018/11/8",67,30,26,17,4,10,2018-11-08
"58710",54003,"wuhan","2018/11/9",111,54,26,31,7,13,2018-11-09
"58711",54004,"wuhan","2018/11/10",133,44,16,31,9,15,2018-11-10
"58712",54005,"wuhan","2018/11/11",114,38,40,19,4,6,2018-11-11
"58713",54006,"wuhan","2018/11/12",118,64,37,31,4,10,2018-11-12
"58714",54007,"wuhan","2018/11/13",168,65,32,30,8,18,2018-11-13
"58715",54008,"wuhan","2018/11/14",157,52,18,26,6,16,2018-11-14
"58716",54009,"wuhan","2018/11/15",148,50,22,20,4,9,2018-11-15
"58717",54010,"wuhan","2018/11/16",154,46,26,16,3,7,2018-11-16
"58718",54011,"wuhan","2018/11/17",134,41,12,18,3,8,2018-11-17
"58719",54012,"wuhan","2018/11/18",136,26,15,18,4,8,2018-11-18
"58720",54013,"wuhan","2018/11/19",107,60,21,34,7,16,2018-11-19
"58721",54014,"wuhan","2018/11/20",160,55,22,34,6,13,2018-11-20
"58722",54015,"wuhan","2018/11/21",143,63,35,26,5,12,2018-11-21
"58723",54016,"wuhan","2018/11/22",161,82,44,40,11,20,2018-11-22
"58724",54017,"wuhan","2018/11/23",175,79,38,41,6,12,2018-11-23
"58725",54018,"wuhan","2018/11/24",161,80,38,46,10,15,2018-11-24
"58726",54019,"wuhan","2018/11/25",170,116,33,59,7,22,2018-11-25
"58727",54020,"wuhan","2018/11/26",226,114,48,59,6,24,2018-11-26
"58728",54021,"wuhan","2018/11/27",202,100,59,58,10,24,2018-11-27
"58729",54022,"wuhan","2018/11/28",187,132,42,58,10,22,2018-11-28
"58730",54023,"wuhan","2018/11/29",187,110,40,51,10,21,2018-11-29
"58731",54024,"wuhan","2018/11/30",195,151,26,40,20,37,2018-11-30
"58732",54025,"wuhan","2018/12/1",291,126,16,35,10,28,2018-12-01
"58733",54026,"wuhan","2018/12/2",236,100,4,29,6,22,2018-12-02
"58734",54027,"wuhan","2018/12/3",194,53,18,23,3,21,2018-12-03
"58735",54028,"wuhan","2018/12/4",157,87,16,18,3,15,2018-12-04
"58736",54029,"wuhan","2018/12/5",156,63,6,18,5,13,2018-12-05
"58737",54030,"wuhan","2018/12/6",125,15,17,13,5,9,2018-12-06
"58738",54031,"wuhan","2018/12/7",66,49,21,13,3,10,2018-12-07
"58739",54032,"wuhan","2018/12/8",127,38,21,15,5,7,2018-12-08
"58740",54033,"wuhan","2018/12/9",80,48,15,21,7,10,2018-12-09
"58741",54034,"wuhan","2018/12/10",119,50,10,20,4,9,2018-12-10
"58742",54035,"wuhan","2018/12/11",151,64,13,22,5,11,2018-12-11
"58743",54036,"wuhan","2018/12/12",173,99,32,34,12,19,2018-12-12
"58744",54037,"wuhan","2018/12/13",202,106,26,53,11,18,2018-12-13
"58745",54038,"wuhan","2018/12/14",189,79,38,40,11,14,2018-12-14
"58746",54039,"wuhan","2018/12/15",168,81,18,37,7,12,2018-12-15
