"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"2828",2828,"xianning","2019/1/2",121,46,NA,14,4,8,2019-01-02
"2829",2829,"xianning","2019/1/3",137,55,NA,12,4,7,2019-01-03
"2830",2830,"xianning","2019/1/4",151,60,NA,19,4,12,2019-01-04
"2831",2831,"xianning","2019/1/5",151,86,NA,19,6,15,2019-01-05
"2832",2832,"xianning","2019/1/6",190,83,NA,12,4,13,2019-01-06
"2833",2833,"xianning","2019/1/7",180,76,NA,20,5,13,2019-01-07
"2834",2834,"xianning","2019/1/8",177,75,NA,20,6,12,2019-01-08
"2835",2835,"xianning","2019/1/9",171,24,NA,17,3,9,2019-01-09
"2836",2836,"xianning","2019/1/10",98,40,NA,18,4,9,2019-01-10
"2837",2837,"xianning","2019/1/11",96,47,NA,20,4,10,2019-01-11
"2838",2838,"xianning","2019/1/12",134,59,NA,15,4,10,2019-01-12
"2839",2839,"xianning","2019/1/13",157,70,NA,24,6,13,2019-01-13
"2840",2840,"xianning","2019/1/14",164,59,NA,22,5,12,2019-01-14
"2841",2841,"xianning","2019/1/15",165,69,NA,20,5,12,2019-01-15
"2842",2842,"xianning","2019/1/16",169,79,NA,20,5,8,2019-01-16
"2843",2843,"xianning","2019/1/17",155,82,NA,21,5,11,2019-01-17
"2844",2844,"xianning","2019/1/18",167,69,NA,19,4,11,2019-01-18
"2845",2845,"xianning","2019/1/19",158,69,NA,26,4,11,2019-01-19
"2846",2846,"xianning","2019/1/20",162,97,NA,25,8,12,2019-01-20
"2847",2847,"xianning","2019/1/21",194,106,NA,31,9,14,2019-01-21
"2848",2848,"xianning","2019/1/22",202,90,NA,22,4,11,2019-01-22
"2849",2849,"xianning","2019/1/23",165,64,NA,18,4,8,2019-01-23
"2953",2953,"xianning","2018/11/6",160,12,NA,15,3,9,2018-11-06
"2954",2954,"xianning","2018/11/7",48,14,NA,10,3,7,2018-11-07
"2955",2955,"xianning","2018/11/8",59,28,NA,12,4,9,2018-11-08
"2956",2956,"xianning","2018/11/9",72,31,NA,13,3,9,2018-11-09
"2957",2957,"xianning","2018/11/10",64,31,NA,13,4,7,2018-11-10
"2958",2958,"xianning","2018/11/11",83,32,NA,16,4,8,2018-11-11
"2959",2959,"xianning","2018/11/12",92,43,NA,12,5,10,2018-11-12
"2960",2960,"xianning","2018/11/13",139,34,NA,9,3,7,2018-11-13
"2961",2961,"xianning","2018/11/14",86,34,NA,10,3,8,2018-11-14
"2962",2962,"xianning","2018/11/15",99,44,NA,15,4,9,2018-11-15
"2963",2963,"xianning","2018/11/16",121,23,NA,13,3,6,2018-11-16
"2964",2964,"xianning","2018/11/17",88,37,NA,14,4,9,2018-11-17
"2965",2965,"xianning","2018/11/18",103,32,NA,14,3,8,2018-11-18
"2966",2966,"xianning","2018/11/19",82,42,NA,11,4,9,2018-11-19
"2967",2967,"xianning","2018/11/20",92,48,NA,18,3,10,2018-11-20
"2968",2968,"xianning","2018/11/21",103,62,NA,20,4,9,2018-11-21
"2969",2969,"xianning","2018/11/22",134,74,NA,23,5,10,2018-11-22
"2970",2970,"xianning","2018/11/23",160,56,NA,17,3,8,2018-11-23
"2971",2971,"xianning","2018/11/24",133,59,NA,18,4,6,2018-11-24
"2972",2972,"xianning","2018/11/25",119,75,NA,20,4,10,2018-11-25
