"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"63205",58498,"xuzhou","2019/1/2",175,130,20,39,15,13,2019-01-02
"63206",58499,"xuzhou","2019/1/3",200,155,17,34,11,13,2019-01-03
"63207",58500,"xuzhou","2019/1/4",230,128,12,29,9,14,2019-01-04
"63208",58501,"xuzhou","2019/1/5",218,109,13,31,8,14,2019-01-05
"63209",58502,"xuzhou","2019/1/6",204,78,21,22,4,8,2019-01-06
"63210",58503,"xuzhou","2019/1/7",166,98,15,28,6,10,2019-01-07
"63211",58504,"xuzhou","2019/1/8",180,145,18,30,11,14,2019-01-08
"63212",58505,"xuzhou","2019/1/9",235,60,18,19,5,8,2019-01-09
"63213",58506,"xuzhou","2019/1/10",112,74,6,25,5,9,2019-01-10
"63214",58507,"xuzhou","2019/1/11",163,88,9,25,4,15,2019-01-11
"63215",58508,"xuzhou","2019/1/12",174,103,27,17,4,11,2019-01-12
"63216",58509,"xuzhou","2019/1/13",203,126,14,24,2,13,2019-01-13
"63217",58510,"xuzhou","2019/1/14",215,147,14,28,3,26,2019-01-14
"63218",58511,"xuzhou","2019/1/15",239,137,22,23,3,14,2019-01-15
"63219",58512,"xuzhou","2019/1/16",178,92,22,26,6,7,2019-01-16
"63220",58513,"xuzhou","2019/1/17",128,110,20,30,9,11,2019-01-17
"63221",58514,"xuzhou","2019/1/18",172,118,5,33,10,12,2019-01-18
"63222",58515,"xuzhou","2019/1/19",181,134,8,34,10,13,2019-01-19
"63223",58516,"xuzhou","2019/1/20",199,121,12,33,9,15,2019-01-20
"63224",58517,"xuzhou","2019/1/21",193,91,21,29,9,9,2019-01-21
"63225",58518,"xuzhou","2019/1/22",158,96,26,29,9,12,2019-01-22
"63226",58519,"xuzhou","2019/1/23",155,116,33,41,11,12,2019-01-23
"63227",58520,"xuzhou","2019/1/24",181,134,44,43,11,10,2019-01-24
"63228",58521,"xuzhou","2019/1/25",204,118,24,32,10,9,2019-01-25
"63229",58522,"xuzhou","2019/1/26",184,60,31,20,4,5,2019-01-26
"63230",58523,"xuzhou","2019/1/27",106,81,31,24,5,7,2019-01-27
"63231",58524,"xuzhou","2019/1/28",159,113,28,29,7,9,2019-01-28
"63232",58525,"xuzhou","2019/1/29",172,107,21,27,8,8,2019-01-29
"63233",58526,"xuzhou","2019/1/30",164,89,24,23,4,9,2019-01-30
"63234",58527,"xuzhou","2019/1/31",166,67,36,15,3,13,2019-01-31
"63235",58528,"xuzhou","2019/2/1",147,80,31,12,2,9,2019-02-01
"63236",58529,"xuzhou","2019/2/2",165,86,19,19,5,10,2019-02-02
"63237",58530,"xuzhou","2019/2/3",174,114,22,18,3,14,2019-02-03
"63341",58634,"xuzhou","2018/11/17",139,60,17,24,6,5,2018-11-17
"63342",58635,"xuzhou","2018/11/18",102,71,12,25,5,9,2018-11-18
"63343",58636,"xuzhou","2018/11/19",161,81,32,24,7,11,2018-11-19
"63344",58637,"xuzhou","2018/11/20",169,79,19,24,5,10,2018-11-20
"63345",58638,"xuzhou","2018/11/21",163,114,30,36,12,13,2018-11-21
"63346",58639,"xuzhou","2018/11/22",200,94,33,33,9,10,2018-11-22
"63347",58640,"xuzhou","2018/11/23",169,91,37,35,11,9,2018-11-23
"63348",58641,"xuzhou","2018/11/24",171,118,33,41,12,11,2018-11-24
"63349",58642,"xuzhou","2018/11/25",192,147,35,38,14,13,2018-11-25
"63350",58643,"xuzhou","2018/11/26",241,113,36,27,10,12,2018-11-26
"63351",58644,"xuzhou","2018/11/27",205,138,36,35,8,14,2018-11-27
"63352",58645,"xuzhou","2018/11/28",245,234,36,29,10,15,2018-11-28
"63353",58646,"xuzhou","2018/11/29",285,183,12,33,6,16,2018-11-29
"63354",58647,"xuzhou","2018/11/30",268,160,11,28,10,11,2018-11-30
"63355",58648,"xuzhou","2018/12/1",201,116,12,26,6,10,2018-12-01
"63356",58649,"xuzhou","2018/12/2",178,74,11,20,5,7,2018-12-02
"63357",58650,"xuzhou","2018/12/3",159,97,21,20,4,15,2018-12-03
"63358",58651,"xuzhou","2018/12/4",193,94,15,18,5,5,2018-12-04
"63359",58652,"xuzhou","2018/12/5",137,68,13,15,5,4,2018-12-05
"63360",58653,"xuzhou","2018/12/6",101,66,10,19,5,6,2018-12-06
"63361",58654,"xuzhou","2018/12/7",141,48,20,15,6,4,2018-12-07
"63362",58655,"xuzhou","2018/12/8",75,75,NA,22,10,6,2018-12-08
"63363",58656,"xuzhou","2018/12/9",123,78,NA,22,11,7,2018-12-09
"63364",58657,"xuzhou","2018/12/10",142,87,6,28,11,9,2018-12-10
"63365",58658,"xuzhou","2018/12/11",159,94,16,25,10,9,2018-12-11
"63366",58659,"xuzhou","2018/12/12",178,94,39,29,15,8,2018-12-12
"63367",58660,"xuzhou","2018/12/13",160,109,24,33,13,11,2018-12-13
"63368",58661,"xuzhou","2018/12/14",173,111,24,29,15,10,2018-12-14
"63369",58662,"xuzhou","2018/12/15",170,90,34,31,10,7,2018-12-15
