"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"9567",4860,"benxi","2020/2/2",222,60,26,16,17,11,2020-02-02
"9568",4861,"benxi","2020/2/3",127,67,26,19,23,16,2020-02-03
"9569",4862,"benxi","2020/2/4",140,43,27,10,12,10,2020-02-04
"9596",4889,"benxi","2020/1/2",193,182,17,37,33,49,2020-01-02
"9597",4890,"benxi","2020/1/3",251,169,11,39,34,51,2020-01-03
"9598",4891,"benxi","2020/1/4",233,247,13,39,30,53,2020-01-04
"9599",4892,"benxi","2020/1/5",285,141,13,33,26,33,2020-01-05
"9600",4893,"benxi","2020/1/6",210,88,19,30,27,28,2020-01-06
"9601",4894,"benxi","2020/1/7",166,95,27,21,17,15,2020-01-07
"9602",4895,"benxi","2020/1/8",190,80,25,16,14,9,2020-01-08
"9603",4896,"benxi","2020/1/9",166,67,23,21,12,11,2020-01-09
"9604",4897,"benxi","2020/1/10",138,116,19,29,25,29,2020-01-10
"9605",4898,"benxi","2020/1/11",183,85,22,26,21,15,2020-01-11
"9606",4899,"benxi","2020/1/12",154,105,20,25,20,18,2020-01-12
"9607",4900,"benxi","2020/1/13",168,108,21,26,19,22,2020-01-13
"9608",4901,"benxi","2020/1/14",176,117,22,27,21,21,2020-01-14
"9609",4902,"benxi","2020/1/15",175,171,17,39,36,46,2020-01-15
"9610",4903,"benxi","2020/1/16",226,158,20,32,22,30,2020-01-16
"9611",4904,"benxi","2020/1/17",208,145,22,36,26,35,2020-01-17
"9612",4905,"benxi","2020/1/18",212,168,19,42,34,47,2020-01-18
"9613",4906,"benxi","2020/1/19",228,76,27,27,18,21,2020-01-19
"9614",4907,"benxi","2020/1/20",154,81,29,23,13,19,2020-01-20
"9615",4908,"benxi","2020/1/21",152,74,32,25,20,23,2020-01-21
"9616",4909,"benxi","2020/1/22",122,71,36,28,25,29,2020-01-22
"9617",4910,"benxi","2020/1/23",149,85,33,19,18,15,2020-01-23
"9618",4911,"benxi","2020/1/24",164,65,31,14,15,10,2020-01-24
