"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"11936",7229,"cangzhou","2020/2/2",131,44,34,5,4,6,2020-02-02
"11937",7230,"cangzhou","2020/2/3",104,43,33,9,8,8,2020-02-03
"11938",7231,"cangzhou","2020/2/4",100,58,29,10,11,9,2020-02-04
"11939",7232,"cangzhou","2020/2/5",123,37,29,7,6,4,2020-02-05
"11940",7233,"cangzhou","2020/2/6",82,47,24,6,5,6,2020-02-06
"11941",7234,"cangzhou","2020/2/7",105,81,19,9,6,11,2020-02-07
"11942",7235,"cangzhou","2020/2/8",170,84,33,12,7,12,2020-02-08
"11965",7258,"cangzhou","2020/1/2",157,120,12,45,17,18,2020-01-02
"11966",7259,"cangzhou","2020/1/3",194,127,12,44,20,19,2020-01-03
"11967",7260,"cangzhou","2020/1/4",201,175,17,47,20,24,2020-01-04
"11968",7261,"cangzhou","2020/1/5",282,101,5,36,9,15,2020-01-05
"11969",7262,"cangzhou","2020/1/6",188,74,3,26,4,13,2020-01-06
"11970",7263,"cangzhou","2020/1/7",157,73,11,25,8,10,2020-01-07
"11971",7264,"cangzhou","2020/1/8",150,47,26,22,9,9,2020-01-08
"11972",7265,"cangzhou","2020/1/9",101,81,31,27,9,17,2020-01-09
"11973",7266,"cangzhou","2020/1/10",166,98,23,35,13,19,2020-01-10
"11974",7267,"cangzhou","2020/1/11",182,60,18,25,8,9,2020-01-11
"11975",7268,"cangzhou","2020/1/12",113,77,16,30,10,9,2020-01-12
"11976",7269,"cangzhou","2020/1/13",150,67,20,29,9,NA,2020-01-13
"11977",7270,"cangzhou","2020/1/14",132,53,25,24,9,NA,2020-01-14
"11978",7271,"cangzhou","2020/1/15",118,98,26,31,10,5,2020-01-15
"11979",7272,"cangzhou","2020/1/16",184,187,18,36,10,5,2020-01-16
"11980",7273,"cangzhou","2020/1/17",294,176,19,31,14,22,2020-01-17
"11981",7274,"cangzhou","2020/1/18",275,132,18,13,6,8,2020-01-18
"11982",7275,"cangzhou","2020/1/19",206,110,26,20,5,16,2020-01-19
"11983",7276,"cangzhou","2020/1/20",183,59,24,18,7,5,2020-01-20
"11984",7277,"cangzhou","2020/1/21",113,87,26,24,15,10,2020-01-21
"11985",7278,"cangzhou","2020/1/22",152,172,24,30,15,26,2020-01-22
"11986",7279,"cangzhou","2020/1/23",272,186,37,23,10,26,2020-01-23
"11987",7280,"cangzhou","2020/1/24",281,59,30,9,6,4,2020-01-24
"11988",7281,"cangzhou","2020/1/25",131,94,34,15,16,8,2020-01-25
"11989",7282,"cangzhou","2020/1/26",180,127,32,18,10,15,2020-01-26
"11990",7283,"cangzhou","2020/1/27",224,118,41,16,15,16,2020-01-27
"11991",7284,"cangzhou","2020/1/28",212,140,40,15,11,18,2020-01-28
"11992",7285,"cangzhou","2020/1/29",248,81,36,13,7,11,2020-01-29
"11993",7286,"cangzhou","2020/1/30",170,55,32,10,10,10,2020-01-30
"11994",7287,"cangzhou","2020/1/31",126,87,45,11,17,14,2020-01-31
"11995",7288,"cangzhou","2020/2/1",170,61,33,10,8,10,2020-02-01
"12047",7340,"cangzhou","2019/11/22",167,106,20,33,11,NA,2019-11-22
"12048",7341,"cangzhou","2019/11/23",168,120,5,44,8,NA,2019-11-23
"12049",7342,"cangzhou","2019/11/24",188,53,22,13,3,NA,2019-11-24
"12050",7343,"cangzhou","2019/11/25",84,39,20,20,7,NA,2019-11-25
"12051",7344,"cangzhou","2019/11/26",67,71,21,28,13,11,2019-11-26
"12052",7345,"cangzhou","2019/11/27",128,57,23,22,8,NA,2019-11-27
"12053",7346,"cangzhou","2019/11/28",103,52,22,24,7,1,2019-11-28
"12054",7347,"cangzhou","2019/11/29",86,66,21,29,12,8,2019-11-29
"12055",7348,"cangzhou","2019/11/30",140,99,9,32,10,NA,2019-11-30
"12056",7349,"cangzhou","2019/12/1",176,64,22,24,5,NA,2019-12-01
"12057",7350,"cangzhou","2019/12/2",127,44,26,17,5,NA,2019-12-02
"12058",7351,"cangzhou","2019/12/3",117,76,19,28,12,NA,2019-12-03
"12059",7352,"cangzhou","2019/12/4",131,74,6,35,13,NA,2019-12-04
"12060",7353,"cangzhou","2019/12/5",154,58,24,22,7,4,2019-12-05
"12061",7354,"cangzhou","2019/12/6",121,62,22,23,10,11,2019-12-06
"12062",7355,"cangzhou","2019/12/7",129,120,6,27,4,15,2019-12-07
"12063",7356,"cangzhou","2019/12/8",201,134,18,25,2,18,2019-12-08
"12064",7357,"cangzhou","2019/12/9",208,153,7,28,4,25,2019-12-09
"12065",7358,"cangzhou","2019/12/10",230,132,6,31,4,25,2019-12-10
"12066",7359,"cangzhou","2019/12/11",238,83,17,25,5,16,2019-12-11
"12067",7360,"cangzhou","2019/12/12",143,58,16,30,11,12,2019-12-12
"12068",7361,"cangzhou","2019/12/13",114,85,14,34,14,14,2019-12-13
"12069",7362,"cangzhou","2019/12/14",164,53,17,23,9,6,2019-12-14
"12070",7363,"cangzhou","2019/12/15",103,73,4,27,17,9,2019-12-15
"12071",7364,"cangzhou","2019/12/16",147,79,6,24,5,13,2019-12-16
"12072",7365,"cangzhou","2019/12/17",167,56,23,18,3,7,2019-12-17
"12073",7366,"cangzhou","2019/12/18",117,43,18,21,6,7,2019-12-18
"12074",7367,"cangzhou","2019/12/19",83,56,19,23,10,9,2019-12-19
"12075",7368,"cangzhou","2019/12/20",111,57,16,26,10,10,2019-12-20
"12076",7369,"cangzhou","2019/12/21",112,132,10,31,9,18,2019-12-21
"12077",7370,"cangzhou","2019/12/22",229,180,7,33,9,22,2019-12-22
"12078",7371,"cangzhou","2019/12/23",309,142,16,33,11,23,2019-12-23
"12079",7372,"cangzhou","2019/12/24",257,71,15,25,9,11,2019-12-24
"12080",7373,"cangzhou","2019/12/25",153,95,6,28,8,16,2019-12-25
"12081",7374,"cangzhou","2019/12/26",181,77,17,28,10,12,2019-12-26
"12082",7375,"cangzhou","2019/12/27",155,82,16,27,13,14,2019-12-27
"12083",7376,"cangzhou","2019/12/28",153,105,14,32,13,19,2019-12-28
"12084",7377,"cangzhou","2019/12/29",186,116,15,31,10,19,2019-12-29
"12085",7378,"cangzhou","2019/12/30",209,NA,NA,NA,NA,NA,2019-12-30
"14173",9466,"cangzhou","2020/1/1",NA,81,15,28,15,10,2020-01-01
