"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"14306",9599,"changzhou","2020/2/2",121,36,NA,14,4,5,2020-02-02
"14307",9600,"changzhou","2020/2/3",93,66,NA,14,4,7,2020-02-03
"14335",9628,"changzhou","2020/1/2",104,74,NA,27,6,8,2020-01-02
"14336",9629,"changzhou","2020/1/3",148,63,NA,19,5,6,2020-01-03
"14337",9630,"changzhou","2020/1/4",123,97,NA,31,8,11,2020-01-04
"14338",9631,"changzhou","2020/1/5",182,67,NA,25,6,9,2020-01-05
"14339",9632,"changzhou","2020/1/6",142,77,NA,23,6,10,2020-01-06
"14340",9633,"changzhou","2020/1/7",149,44,NA,20,4,13,2020-01-07
"14341",9634,"changzhou","2020/1/8",97,48,NA,17,6,9,2020-01-08
"14342",9635,"changzhou","2020/1/9",112,48,NA,24,6,10,2020-01-09
"14343",9636,"changzhou","2020/1/10",119,32,NA,23,4,7,2020-01-10
"14344",9637,"changzhou","2020/1/11",86,45,NA,19,3,6,2020-01-11
"14345",9638,"changzhou","2020/1/12",117,88,NA,24,3,11,2020-01-12
"14346",9639,"changzhou","2020/1/13",174,117,NA,37,4,16,2020-01-13
"14347",9640,"changzhou","2020/1/14",211,114,NA,30,5,14,2020-01-14
"14348",9641,"changzhou","2020/1/15",220,58,NA,25,5,8,2020-01-15
"14349",9642,"changzhou","2020/1/16",136,18,NA,16,2,5,2020-01-16
"14350",9643,"changzhou","2020/1/17",52,58,NA,19,4,8,2020-01-17
"14351",9644,"changzhou","2020/1/18",140,70,NA,22,4,8,2020-01-18
"14352",9645,"changzhou","2020/1/19",161,75,NA,22,4,10,2020-01-19
"14353",9646,"changzhou","2020/1/20",167,99,NA,32,5,14,2020-01-20
"14354",9647,"changzhou","2020/1/21",187,105,NA,28,4,13,2020-01-21
"14355",9648,"changzhou","2020/1/22",191,81,NA,25,3,11,2020-01-22
"14356",9649,"changzhou","2020/1/23",167,35,NA,17,3,6,2020-01-23
"14357",9650,"changzhou","2020/1/24",85,53,NA,12,3,7,2020-01-24
"14358",9651,"changzhou","2020/1/25",114,31,NA,8,3,5,2020-01-25
"14359",9652,"changzhou","2020/1/26",71,17,NA,6,2,5,2020-01-26
"14360",9653,"changzhou","2020/1/27",48,39,NA,7,2,8,2020-01-27
"14361",9654,"changzhou","2020/1/28",104,66,NA,8,3,10,2020-01-28
"14362",9655,"changzhou","2020/1/29",160,58,NA,7,4,8,2020-01-29
"14363",9656,"changzhou","2020/1/30",152,69,NA,9,5,10,2020-01-30
"14364",9657,"changzhou","2020/1/31",159,67,NA,13,4,10,2020-01-31
"14365",9658,"changzhou","2020/2/1",149,46,NA,11,4,7,2020-02-01
"14412",9705,"changzhou","2019/11/17",157,100,NA,34,7,8,2019-11-17
"14413",9706,"changzhou","2019/11/18",166,67,NA,12,4,5,2019-11-18
"14414",9707,"changzhou","2019/11/19",89,94,NA,22,6,6,2019-11-19
"14415",9708,"changzhou","2019/11/20",123,77,NA,25,6,7,2019-11-20
"14416",9709,"changzhou","2019/11/21",119,51,NA,22,5,5,2019-11-21
"14417",9710,"changzhou","2019/11/22",83,75,NA,31,7,9,2019-11-22
"14418",9711,"changzhou","2019/11/23",134,62,NA,24,5,6,2019-11-23
"14419",9712,"changzhou","2019/11/24",103,62,NA,14,4,4,2019-11-24
"14420",9713,"changzhou","2019/11/25",119,29,NA,10,4,2,2019-11-25
"14421",9714,"changzhou","2019/11/26",65,37,NA,15,5,3,2019-11-26
"14422",9715,"changzhou","2019/11/27",72,50,NA,15,4,4,2019-11-27
"14423",9716,"changzhou","2019/11/28",92,26,NA,9,5,2,2019-11-28
"14424",9717,"changzhou","2019/11/29",67,41,NA,17,5,3,2019-11-29
"14425",9718,"changzhou","2019/11/30",70,70,NA,29,5,9,2019-11-30
"14426",9719,"changzhou","2019/12/1",119,52,NA,18,3,7,2019-12-01
"14427",9720,"changzhou","2019/12/2",105,70,NA,22,7,7,2019-12-02
"14428",9721,"changzhou","2019/12/3",149,110,NA,32,7,11,2019-12-03
"14429",9722,"changzhou","2019/12/4",173,81,NA,36,8,12,2019-12-04
"14430",9723,"changzhou","2019/12/5",161,75,NA,28,9,10,2019-12-05
"14431",9724,"changzhou","2019/12/6",153,39,NA,15,5,3,2019-12-06
"14432",9725,"changzhou","2019/12/7",75,74,NA,37,9,9,2019-12-07
"14433",9726,"changzhou","2019/12/8",144,94,NA,33,8,10,2019-12-08
"14434",9727,"changzhou","2019/12/9",173,82,NA,38,8,9,2019-12-09
"14435",9728,"changzhou","2019/12/10",147,82,NA,42,8,9,2019-12-10
"14436",9729,"changzhou","2019/12/11",159,97,NA,37,8,10,2019-12-11
"14437",9730,"changzhou","2019/12/12",178,64,NA,29,7,9,2019-12-12
"14438",9731,"changzhou","2019/12/13",129,80,NA,35,7,10,2019-12-13
"14439",9732,"changzhou","2019/12/14",137,82,NA,28,7,9,2019-12-14
