"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"25834",21127,"fangchenggang","2020/2/2",130,58,40,5,3,9,2020-02-02
"25835",21128,"fangchenggang","2020/2/3",116,37,28,4,2,9,2020-02-03
"25836",21129,"fangchenggang","2020/2/4",79,9,18,2,NA,8,2020-02-04
"25837",21130,"fangchenggang","2020/2/5",28,15,16,3,2,8,2020-02-05
"25838",21131,"fangchenggang","2020/2/6",47,30,30,6,2,8,2020-02-06
"25839",21132,"fangchenggang","2020/2/7",59,20,14,4,3,11,2020-02-07
"25863",21156,"fangchenggang","2020/1/2",122,42,31,13,5,4,2020-01-02
"25864",21157,"fangchenggang","2020/1/3",77,38,34,10,2,4,2020-01-03
"25865",21158,"fangchenggang","2020/1/4",75,48,32,12,4,4,2020-01-04
"25866",21159,"fangchenggang","2020/1/5",84,46,38,10,3,4,2020-01-05
"25867",21160,"fangchenggang","2020/1/6",100,42,32,8,2,4,2020-01-06
"25868",21161,"fangchenggang","2020/1/7",77,47,25,13,3,4,2020-01-07
"25869",21162,"fangchenggang","2020/1/8",77,45,26,13,5,5,2020-01-08
"25870",21163,"fangchenggang","2020/1/9",94,48,43,11,3,4,2020-01-09
"25871",21164,"fangchenggang","2020/1/10",93,49,32,9,2,5,2020-01-10
"25872",21165,"fangchenggang","2020/1/11",82,31,31,9,2,6,2020-01-11
"25873",21166,"fangchenggang","2020/1/12",62,25,19,8,4,8,2020-01-12
"25874",21167,"fangchenggang","2020/1/13",53,58,20,12,5,10,2020-01-13
"25875",21168,"fangchenggang","2020/1/14",135,55,10,15,4,11,2020-01-14
"25876",21169,"fangchenggang","2020/1/15",129,39,19,17,3,10,2020-01-15
"25877",21170,"fangchenggang","2020/1/16",79,36,17,11,3,7,2020-01-16
"25878",21171,"fangchenggang","2020/1/17",73,25,15,7,NA,8,2020-01-17
"25879",21172,"fangchenggang","2020/1/18",60,34,12,7,NA,7,2020-01-18
"25880",21173,"fangchenggang","2020/1/19",83,31,15,7,3,6,2020-01-19
"25881",21174,"fangchenggang","2020/1/20",74,46,19,8,2,7,2020-01-20
"25882",21175,"fangchenggang","2020/1/21",111,54,33,9,4,8,2020-01-21
"25883",21176,"fangchenggang","2020/1/22",119,40,37,7,4,5,2020-01-22
"25884",21177,"fangchenggang","2020/1/23",77,38,31,9,2,4,2020-01-23
"25885",21178,"fangchenggang","2020/1/24",78,39,22,7,2,4,2020-01-24
"25886",21179,"fangchenggang","2020/1/25",87,19,15,5,3,8,2020-01-25
"25887",21180,"fangchenggang","2020/1/26",48,10,23,3,3,7,2020-01-26
"25888",21181,"fangchenggang","2020/1/27",30,19,27,3,2,7,2020-01-27
"25889",21182,"fangchenggang","2020/1/28",62,30,26,3,3,6,2020-01-28
"25890",21183,"fangchenggang","2020/1/29",94,40,31,4,3,6,2020-01-29
"25891",21184,"fangchenggang","2020/1/30",116,47,42,5,3,6,2020-01-30
"25892",21185,"fangchenggang","2020/1/31",131,51,45,5,3,6,2020-01-31
"25893",21186,"fangchenggang","2020/2/1",132,53,35,5,3,8,2020-02-01
"25944",21237,"fangchenggang","2019/11/21",96,62,54,10,5,7,2019-11-21
"25945",21238,"fangchenggang","2019/11/22",125,64,64,11,6,7,2019-11-22
"25946",21239,"fangchenggang","2019/11/23",138,64,56,12,6,8,2019-11-23
"25947",21240,"fangchenggang","2019/11/24",129,49,37,11,6,7,2019-11-24
"25948",21241,"fangchenggang","2019/11/25",106,56,65,8,4,6,2019-11-25
"25949",21242,"fangchenggang","2019/11/26",121,56,28,9,3,8,2019-11-26
"25950",21243,"fangchenggang","2019/11/27",117,55,27,8,3,8,2019-11-27
"25951",21244,"fangchenggang","2019/11/28",129,28,22,6,3,6,2019-11-28
"25952",21245,"fangchenggang","2019/11/29",51,40,25,8,3,8,2019-11-29
"25953",21246,"fangchenggang","2019/11/30",90,62,26,12,5,8,2019-11-30
"25954",21247,"fangchenggang","2019/12/1",137,61,22,10,6,10,2019-12-01
"25955",21248,"fangchenggang","2019/12/2",124,39,36,5,3,6,2019-12-02
"25956",21249,"fangchenggang","2019/12/3",57,45,40,6,5,5,2019-12-03
"25957",21250,"fangchenggang","2019/12/4",86,47,41,7,5,5,2019-12-04
"25958",21251,"fangchenggang","2019/12/5",91,47,42,6,5,4,2019-12-05
"25959",21252,"fangchenggang","2019/12/6",81,46,42,6,4,NA,2019-12-06
"25960",21253,"fangchenggang","2019/12/7",83,53,48,7,6,5,2019-12-07
"25961",21254,"fangchenggang","2019/12/8",109,59,52,10,7,5,2019-12-08
"25962",21255,"fangchenggang","2019/12/9",138,60,51,13,9,6,2019-12-09
"25963",21256,"fangchenggang","2019/12/10",135,66,57,13,7,7,2019-12-10
"25964",21257,"fangchenggang","2019/12/11",151,63,58,15,7,6,2019-12-11
"25965",21258,"fangchenggang","2019/12/12",145,63,79,12,9,7,2019-12-12
"25966",21259,"fangchenggang","2019/12/13",150,63,58,13,8,6,2019-12-13
"25967",21260,"fangchenggang","2019/12/14",126,58,38,11,5,6,2019-12-14
"25968",21261,"fangchenggang","2019/12/15",102,50,39,9,5,4,2019-12-15
"25969",21262,"fangchenggang","2019/12/16",84,57,27,14,3,5,2019-12-16
"25970",21263,"fangchenggang","2019/12/17",103,43,21,10,3,4,2019-12-17
"25971",21264,"fangchenggang","2019/12/18",78,36,17,9,4,4,2019-12-18
"25972",21265,"fangchenggang","2019/12/19",71,59,16,9,4,8,2019-12-19
