"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"30194",25487,"ganzhou","2020/2/2",110,42,41,4,4,83,2020-02-02
"30195",25488,"ganzhou","2020/2/3",107,33,31,3,2,81,2020-02-03
"30196",25489,"ganzhou","2020/2/4",84,38,29,3,3,79,2020-02-04
"30197",25490,"ganzhou","2020/2/5",92,38,27,6,5,75,2020-02-05
"30223",25516,"ganzhou","2020/1/2",152,89,46,33,32,15,2020-01-02
"30224",25517,"ganzhou","2020/1/3",153,74,41,18,27,12,2020-01-03
"30225",25518,"ganzhou","2020/1/4",155,74,48,18,25,13,2020-01-04
"30226",25519,"ganzhou","2020/1/5",157,77,64,24,9,14,2020-01-05
"30227",25520,"ganzhou","2020/1/6",149,56,39,21,12,11,2020-01-06
"30228",25521,"ganzhou","2020/1/7",88,56,42,10,46,11,2020-01-07
"30229",25522,"ganzhou","2020/1/8",73,44,50,18,49,13,2020-01-08
"30230",25523,"ganzhou","2020/1/9",77,68,99,19,14,13,2020-01-09
"30231",25524,"ganzhou","2020/1/10",130,73,35,15,15,13,2020-01-10
"30232",25525,"ganzhou","2020/1/11",156,30,14,14,6,12,2020-01-11
"30233",25526,"ganzhou","2020/1/12",73,29,17,10,5,11,2020-01-12
"30234",25527,"ganzhou","2020/1/13",69,42,39,9,7,10,2020-01-13
"30235",25528,"ganzhou","2020/1/14",85,42,23,8,6,9,2020-01-14
"30236",25529,"ganzhou","2020/1/15",89,52,20,13,9,11,2020-01-15
"30237",25530,"ganzhou","2020/1/16",110,25,10,11,4,13,2020-01-16
"30238",25531,"ganzhou","2020/1/17",57,26,16,8,4,12,2020-01-17
"30239",25532,"ganzhou","2020/1/18",65,45,20,8,4,11,2020-01-18
"30240",25533,"ganzhou","2020/1/19",103,46,31,9,4,10,2020-01-19
"30241",25534,"ganzhou","2020/1/20",101,43,32,8,6,11,2020-01-20
"30242",25535,"ganzhou","2020/1/21",98,53,35,17,7,12,2020-01-21
"30243",25536,"ganzhou","2020/1/22",105,52,43,18,6,14,2020-01-22
"30244",25537,"ganzhou","2020/1/23",105,56,28,7,12,15,2020-01-23
"30245",25538,"ganzhou","2020/1/24",131,22,14,6,5,14,2020-01-24
"30246",25539,"ganzhou","2020/1/25",61,17,23,5,5,12,2020-01-25
"30247",25540,"ganzhou","2020/1/26",46,20,22,3,3,11,2020-01-26
"30248",25541,"ganzhou","2020/1/27",51,16,25,3,6,10,2020-01-27
"30249",25542,"ganzhou","2020/1/28",63,29,30,3,5,44,2020-01-28
"30250",25543,"ganzhou","2020/1/29",83,33,43,4,6,58,2020-01-29
"30251",25544,"ganzhou","2020/1/30",97,37,47,6,16,33,2020-01-30
"30252",25545,"ganzhou","2020/1/31",105,41,52,7,52,88,2020-01-31
"30253",25546,"ganzhou","2020/2/1",105,44,50,7,3,80,2020-02-01
"30302",25595,"ganzhou","2019/11/19",101,49,33,8,10,8,2019-11-19
"30303",25596,"ganzhou","2019/11/20",75,61,47,11,19,7,2019-11-20
"30304",25597,"ganzhou","2019/11/21",93,65,51,17,13,8,2019-11-21
"30305",25598,"ganzhou","2019/11/22",110,81,59,32,16,12,2019-11-22
"30306",25599,"ganzhou","2019/11/23",128,94,101,36,17,11,2019-11-23
"30307",25600,"ganzhou","2019/11/24",147,90,89,34,15,11,2019-11-24
