"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"32198",27491,"guangzhou","2020/2/2",92,42,34,14,3,5,2020-02-02
"32199",27492,"guangzhou","2020/2/3",91,46,17,18,3,6,2020-02-03
"32200",27493,"guangzhou","2020/2/4",97,5,17,8,2,6,2020-02-04
"32201",27494,"guangzhou","2020/2/5",16,14,11,10,2,6,2020-02-05
"32202",27495,"guangzhou","2020/2/6",43,25,30,11,2,5,2020-02-06
"32227",27520,"guangzhou","2020/1/2",117,60,18,33,3,11,2020-01-02
"32228",27521,"guangzhou","2020/1/3",128,70,34,42,4,12,2020-01-03
"32229",27522,"guangzhou","2020/1/4",146,92,80,64,5,13,2020-01-04
"32230",27523,"guangzhou","2020/1/5",175,60,43,35,3,7,2020-01-05
"32231",27524,"guangzhou","2020/1/6",134,47,32,28,4,6,2020-01-06
"32232",27525,"guangzhou","2020/1/7",72,60,32,37,4,9,2020-01-07
"32233",27526,"guangzhou","2020/1/8",98,57,30,35,4,9,2020-01-08
"32234",27527,"guangzhou","2020/1/9",100,63,43,35,4,8,2020-01-09
"32235",27528,"guangzhou","2020/1/10",103,55,32,28,3,8,2020-01-10
"32236",27529,"guangzhou","2020/1/11",96,58,20,23,5,8,2020-01-11
"32237",27530,"guangzhou","2020/1/12",109,33,27,17,3,9,2020-01-12
"32238",27531,"guangzhou","2020/1/13",58,52,18,27,3,10,2020-01-13
"32239",27532,"guangzhou","2020/1/14",95,63,23,34,4,10,2020-01-14
"32240",27533,"guangzhou","2020/1/15",120,53,40,21,3,8,2020-01-15
"32241",27534,"guangzhou","2020/1/16",96,50,26,23,3,9,2020-01-16
"32242",27535,"guangzhou","2020/1/17",93,26,16,15,3,11,2020-01-17
"32243",27536,"guangzhou","2020/1/18",54,37,21,16,2,10,2020-01-18
"32244",27537,"guangzhou","2020/1/19",79,36,10,15,3,11,2020-01-19
"32245",27538,"guangzhou","2020/1/20",81,38,14,19,3,9,2020-01-20
"32246",27539,"guangzhou","2020/1/21",86,50,43,24,3,9,2020-01-21
"32247",27540,"guangzhou","2020/1/22",113,41,41,22,2,8,2020-01-22
"32248",27541,"guangzhou","2020/1/23",95,37,41,19,3,7,2020-01-23
"32249",27542,"guangzhou","2020/1/24",94,31,30,14,3,6,2020-01-24
"32250",27543,"guangzhou","2020/1/25",77,39,9,12,3,8,2020-01-25
"32251",27544,"guangzhou","2020/1/26",96,10,13,8,2,9,2020-01-26
"32252",27545,"guangzhou","2020/1/27",31,12,22,4,2,7,2020-01-27
"32253",27546,"guangzhou","2020/1/28",41,14,29,4,2,6,2020-01-28
"32254",27547,"guangzhou","2020/1/29",49,26,33,4,2,6,2020-01-29
"32255",27548,"guangzhou","2020/1/30",74,31,40,5,2,6,2020-01-30
"32256",27549,"guangzhou","2020/1/31",85,30,43,9,2,6,2020-01-31
"32257",27550,"guangzhou","2020/2/1",84,45,44,21,3,6,2020-02-01
"32307",27600,"guangzhou","2019/11/20",71,59,50,26,5,7,2019-11-20
"32308",27601,"guangzhou","2019/11/21",103,68,5,40,6,8,2019-11-21
"32309",27602,"guangzhou","2019/11/22",116,81,NA,49,6,10,2019-11-22
"32310",27603,"guangzhou","2019/11/23",136,91,NA,69,5,12,2019-11-23
"32311",27604,"guangzhou","2019/11/24",158,72,NA,43,4,11,2019-11-24
"32312",27605,"guangzhou","2019/11/25",126,83,NA,38,6,11,2019-11-25
"32313",27606,"guangzhou","2019/11/26",146,62,NA,26,5,10,2019-11-26
"32314",27607,"guangzhou","2019/11/27",123,68,NA,30,6,10,2019-11-27
"32315",27608,"guangzhou","2019/11/28",124,41,NA,17,4,7,2019-11-28
"32316",27609,"guangzhou","2019/11/29",53,44,NA,21,3,6,2019-11-29
"32317",27610,"guangzhou","2019/11/30",77,51,NA,28,4,7,2019-11-30
"32318",27611,"guangzhou","2019/12/1",98,63,NA,29,7,9,2019-12-01
"32319",27612,"guangzhou","2019/12/2",110,47,NA,16,4,6,2019-12-02
"32320",27613,"guangzhou","2019/12/3",75,55,NA,20,5,5,2019-12-03
"32321",27614,"guangzhou","2019/12/4",100,58,NA,27,5,5,2019-12-04
"32322",27615,"guangzhou","2019/12/5",106,57,NA,25,5,5,2019-12-05
"32323",27616,"guangzhou","2019/12/6",91,58,46,22,5,5,2019-12-06
"32324",27617,"guangzhou","2019/12/7",95,55,45,24,5,5,2019-12-07
"32325",27618,"guangzhou","2019/12/8",104,56,42,29,4,6,2019-12-08
"32326",27619,"guangzhou","2019/12/9",99,78,29,46,5,10,2019-12-09
"32327",27620,"guangzhou","2019/12/10",134,101,35,55,7,12,2019-12-10
"32328",27621,"guangzhou","2019/12/11",156,107,41,59,7,15,2019-12-11
"32329",27622,"guangzhou","2019/12/12",148,95,52,61,6,12,2019-12-12
"32330",27623,"guangzhou","2019/12/13",155,113,64,63,6,13,2019-12-13
"32331",27624,"guangzhou","2019/12/14",160,103,57,75,6,15,2019-12-14
"32332",27625,"guangzhou","2019/12/15",169,72,51,45,5,8,2019-12-15
