"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"34567",29860,"hangzhou","2020/2/2",122,46,36,12,4,7,2020-02-02
"34568",29861,"hangzhou","2020/2/3",106,59,50,8,3,8,2020-02-03
"34596",29889,"hangzhou","2020/1/2",135,87,2,34,4,8,2020-01-02
"34597",29890,"hangzhou","2020/1/3",158,73,3,32,4,11,2020-01-03
"34598",29891,"hangzhou","2020/1/4",135,39,3,26,2,9,2020-01-04
"34599",29892,"hangzhou","2020/1/5",90,70,15,33,4,10,2020-01-05
"34600",29893,"hangzhou","2020/1/6",145,62,21,29,5,11,2020-01-06
"34601",29894,"hangzhou","2020/1/7",103,65,8,28,4,14,2020-01-07
"34602",29895,"hangzhou","2020/1/8",117,53,30,17,3,9,2020-01-08
"34603",29896,"hangzhou","2020/1/9",118,72,7,31,5,9,2020-01-09
"34604",29897,"hangzhou","2020/1/10",153,28,4,28,3,8,2020-01-10
"34605",29898,"hangzhou","2020/1/11",82,23,13,20,2,6,2020-01-11
"34606",29899,"hangzhou","2020/1/12",63,64,30,17,4,9,2020-01-12
"34607",29900,"hangzhou","2020/1/13",142,104,22,29,5,11,2020-01-13
"34608",29901,"hangzhou","2020/1/14",186,119,NA,29,6,13,2020-01-14
"34609",29902,"hangzhou","2020/1/15",198,84,3,34,4,10,2020-01-15
"34610",29903,"hangzhou","2020/1/16",166,16,19,20,3,6,2020-01-16
"34611",29904,"hangzhou","2020/1/17",51,28,19,15,1,8,2020-01-17
"34612",29905,"hangzhou","2020/1/18",71,47,17,14,2,8,2020-01-18
"34613",29906,"hangzhou","2020/1/19",110,56,33,23,3,9,2020-01-19
"34614",29907,"hangzhou","2020/1/20",140,67,12,23,3,10,2020-01-20
"34615",29908,"hangzhou","2020/1/21",151,93,20,34,3,13,2020-01-21
"34616",29909,"hangzhou","2020/1/22",184,66,14,19,2,12,2020-01-22
"34617",29910,"hangzhou","2020/1/23",148,26,21,15,3,11,2020-01-23
"34618",29911,"hangzhou","2020/1/24",80,43,36,9,4,7,2020-01-24
"34619",29912,"hangzhou","2020/1/25",101,33,30,7,3,6,2020-01-25
"34620",29913,"hangzhou","2020/1/26",91,10,29,7,3,5,2020-01-26
"34621",29914,"hangzhou","2020/1/27",36,13,29,7,3,8,2020-01-27
"34622",29915,"hangzhou","2020/1/28",44,38,32,7,2,9,2020-01-28
"34623",29916,"hangzhou","2020/1/29",99,53,43,7,3,6,2020-01-29
"34624",29917,"hangzhou","2020/1/30",141,71,46,7,3,8,2020-01-30
"34625",29918,"hangzhou","2020/1/31",165,72,48,12,3,10,2020-01-31
"34626",29919,"hangzhou","2020/2/1",165,46,44,12,3,7,2020-02-01
"34673",29966,"hangzhou","2019/11/17",156,104,29,45,5,10,2019-11-17
"34674",29967,"hangzhou","2019/11/18",161,53,22,16,2,8,2019-11-18
"34675",29968,"hangzhou","2019/11/19",95,90,26,26,4,7,2019-11-19
"34676",29969,"hangzhou","2019/11/20",124,90,29,33,4,8,2019-11-20
"34677",29970,"hangzhou","2019/11/21",128,81,22,36,3,8,2019-11-21
"34678",29971,"hangzhou","2019/11/22",126,86,11,34,4,9,2019-11-22
"34679",29972,"hangzhou","2019/11/23",125,100,29,43,5,10,2019-11-23
"34680",29973,"hangzhou","2019/11/24",159,75,39,30,4,9,2019-11-24
"34681",29974,"hangzhou","2019/11/25",143,31,21,17,3,6,2019-11-25
"34682",29975,"hangzhou","2019/11/26",66,50,11,25,4,8,2019-11-26
"34683",29976,"hangzhou","2019/11/27",90,41,16,25,3,9,2019-11-27
"34684",29977,"hangzhou","2019/11/28",84,40,26,19,2,7,2019-11-28
"34685",29978,"hangzhou","2019/11/29",82,60,13,29,4,8,2019-11-29
"34686",29979,"hangzhou","2019/11/30",99,70,6,33,3,10,2019-11-30
"34687",29980,"hangzhou","2019/12/1",124,40,16,21,2,9,2019-12-01
"34688",29981,"hangzhou","2019/12/2",89,72,39,22,4,9,2019-12-02
"34689",29982,"hangzhou","2019/12/3",158,94,35,40,6,11,2019-12-03
"34690",29983,"hangzhou","2019/12/4",173,93,22,40,5,11,2019-12-04
"34691",29984,"hangzhou","2019/12/5",163,97,22,42,6,10,2019-12-05
"34692",29985,"hangzhou","2019/12/6",163,58,27,29,4,6,2019-12-06
"34693",29986,"hangzhou","2019/12/7",100,81,30,38,5,8,2019-12-07
