"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"41671",36964,"jinzhou","2020/2/2",141,70,31,13,31,12,2020-02-02
"41672",36965,"jinzhou","2020/2/3",135,62,35,13,24,10,2020-02-03
"41673",36966,"jinzhou","2020/2/4",119,49,36,6,25,7,2020-02-04
"41700",36993,"jinzhou","2020/1/2",169,155,18,35,51,25,2020-01-02
"41701",36994,"jinzhou","2020/1/3",258,212,20,48,49,32,2020-01-03
"41702",36995,"jinzhou","2020/1/4",327,151,25,35,39,23,2020-01-04
"41703",36996,"jinzhou","2020/1/5",229,161,16,39,37,23,2020-01-05
"41704",36997,"jinzhou","2020/1/6",222,97,16,32,36,19,2020-01-06
"41705",36998,"jinzhou","2020/1/7",176,49,30,12,27,8,2020-01-07
"41706",36999,"jinzhou","2020/1/8",99,49,33,15,25,9,2020-01-08
"41707",37000,"jinzhou","2020/1/9",112,97,25,30,33,15,2020-01-09
"41708",37001,"jinzhou","2020/1/10",179,131,20,37,50,19,2020-01-10
"41709",37002,"jinzhou","2020/1/11",224,70,25,22,29,8,2020-01-11
"41710",37003,"jinzhou","2020/1/12",125,69,26,19,32,9,2020-01-12
"41711",37004,"jinzhou","2020/1/13",134,89,25,23,33,13,2020-01-13
"41712",37005,"jinzhou","2020/1/14",157,80,25,24,35,13,2020-01-14
"41713",37006,"jinzhou","2020/1/15",156,138,18,32,38,23,2020-01-15
"41714",37007,"jinzhou","2020/1/16",215,111,30,30,40,17,2020-01-16
"41715",37008,"jinzhou","2020/1/17",190,141,24,36,45,19,2020-01-17
"41716",37009,"jinzhou","2020/1/18",232,167,17,38,39,23,2020-01-18
"41717",37010,"jinzhou","2020/1/19",277,133,32,30,31,13,2020-01-19
"41718",37011,"jinzhou","2020/1/20",159,90,30,24,30,14,2020-01-20
"41719",37012,"jinzhou","2020/1/21",146,86,26,22,35,16,2020-01-21
"41720",37013,"jinzhou","2020/1/22",146,95,23,26,43,15,2020-01-22
"41721",37014,"jinzhou","2020/1/23",200,95,30,19,33,12,2020-01-23
"41722",37015,"jinzhou","2020/1/24",168,185,44,18,41,12,2020-01-24
"41723",37016,"jinzhou","2020/1/25",230,631,35,36,59,25,2020-01-25
"41724",37017,"jinzhou","2020/1/26",591,151,35,22,42,16,2020-01-26
"41725",37018,"jinzhou","2020/1/27",267,121,27,25,49,16,2020-01-27
"41726",37019,"jinzhou","2020/1/28",203,115,37,18,38,15,2020-01-28
"41727",37020,"jinzhou","2020/1/29",195,65,37,7,26,6,2020-01-29
"41728",37021,"jinzhou","2020/1/30",104,40,35,5,22,6,2020-01-30
"41729",37022,"jinzhou","2020/1/31",76,67,35,16,35,11,2020-01-31
"41730",37023,"jinzhou","2020/2/1",157,72,36,16,24,11,2020-02-01
"41778",37071,"jinzhou","2019/11/18",154,134,24,13,13,11,2019-11-18
"41779",37072,"jinzhou","2019/11/19",89,88,24,22,22,8,2019-11-19
"41780",37073,"jinzhou","2019/11/20",101,116,40,30,45,18,2019-11-20
"41781",37074,"jinzhou","2019/11/21",165,166,27,37,40,23,2019-11-21
"41782",37075,"jinzhou","2019/11/22",215,77,28,27,44,11,2019-11-22
