"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"44040",39333,"nanchang","2020/2/2",154,60,36,15,7,9,2020-02-02
"44041",39334,"nanchang","2020/2/3",157,49,36,11,7,7,2020-02-03
"44042",39335,"nanchang","2020/2/4",136,45,40,16,5,6,2020-02-04
"44069",39362,"nanchang","2020/1/2",147,73,10,25,10,11,2020-01-02
"44070",39363,"nanchang","2020/1/3",164,79,10,28,6,11,2020-01-03
"44071",39364,"nanchang","2020/1/4",171,59,9,25,4,15,2020-01-04
"44072",39365,"nanchang","2020/1/5",146,82,7,32,9,14,2020-01-05
"44073",39366,"nanchang","2020/1/6",155,115,34,40,13,19,2020-01-06
"44074",39367,"nanchang","2020/1/7",168,52,31,20,4,15,2020-01-07
"44075",39368,"nanchang","2020/1/8",120,51,39,19,5,13,2020-01-08
"44076",39369,"nanchang","2020/1/9",129,50,15,20,5,10,2020-01-09
"44077",39370,"nanchang","2020/1/10",125,26,8,19,3,10,2020-01-10
"44078",39371,"nanchang","2020/1/11",102,25,15,17,3,11,2020-01-11
"44079",39372,"nanchang","2020/1/12",81,51,25,21,4,8,2020-01-12
"44080",39373,"nanchang","2020/1/13",120,55,20,23,4,8,2020-01-13
"44081",39374,"nanchang","2020/1/14",125,78,29,21,6,9,2020-01-14
"44082",39375,"nanchang","2020/1/15",166,69,19,23,3,13,2020-01-15
"44083",39376,"nanchang","2020/1/16",160,40,22,16,2,11,2020-01-16
"44084",39377,"nanchang","2020/1/17",123,60,19,18,2,8,2020-01-17
"44085",39378,"nanchang","2020/1/18",159,55,25,21,5,7,2020-01-18
"44086",39379,"nanchang","2020/1/19",153,68,45,31,4,10,2020-01-19
"44087",39380,"nanchang","2020/1/20",165,72,41,33,5,11,2020-01-20
"44088",39381,"nanchang","2020/1/21",167,75,34,27,5,11,2020-01-21
"44089",39382,"nanchang","2020/1/22",170,50,29,17,3,10,2020-01-22
"44090",39383,"nanchang","2020/1/23",144,31,32,13,4,9,2020-01-23
"44091",39384,"nanchang","2020/1/24",100,33,25,9,5,7,2020-01-24
"44092",39385,"nanchang","2020/1/25",107,47,28,8,4,7,2020-01-25
"44093",39386,"nanchang","2020/1/26",133,11,24,6,3,5,2020-01-26
"44094",39387,"nanchang","2020/1/27",57,35,28,6,5,8,2020-01-27
"44095",39388,"nanchang","2020/1/28",111,47,31,7,7,7,2020-01-28
"44096",39389,"nanchang","2020/1/29",141,57,42,16,3,8,2020-01-29
"44097",39390,"nanchang","2020/1/30",155,52,44,18,4,7,2020-01-30
"44098",39391,"nanchang","2020/1/31",154,62,57,19,7,11,2020-01-31
"44099",39392,"nanchang","2020/2/1",162,61,47,14,8,10,2020-02-01
"44147",39440,"nanchang","2019/11/18",163,59,22,15,8,5,2019-11-18
"44148",39441,"nanchang","2019/11/19",111,76,28,17,12,5,2019-11-19
"44149",39442,"nanchang","2019/11/20",99,79,37,25,14,6,2019-11-20
"44150",39443,"nanchang","2019/11/21",119,66,29,29,13,7,2019-11-21
"44151",39444,"nanchang","2019/11/22",119,82,42,36,9,10,2019-11-22
"44152",39445,"nanchang","2019/11/23",136,111,47,46,11,15,2019-11-23
"44153",39446,"nanchang","2019/11/24",156,141,55,30,13,12,2019-11-24
"44154",39447,"nanchang","2019/11/25",163,101,17,13,3,7,2019-11-25
"44155",39448,"nanchang","2019/11/26",104,72,4,16,4,7,2019-11-26
"44156",39449,"nanchang","2019/11/27",98,31,12,15,5,9,2019-11-27
"44157",39450,"nanchang","2019/11/28",76,54,13,16,6,7,2019-11-28
"44158",39451,"nanchang","2019/11/29",131,54,19,19,13,6,2019-11-29
"44159",39452,"nanchang","2019/11/30",119,71,17,26,8,8,2019-11-30
