"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"46408",41701,"nanjing","2020/2/2",126,25,NA,13,2,7,2020-02-02
"46409",41702,"nanjing","2020/2/3",76,69,NA,20,2,9,2020-02-03
"46437",41730,"nanjing","2020/1/2",118,63,NA,33,4,8,2020-01-02
"46438",41731,"nanjing","2020/1/3",140,59,NA,24,2,5,2020-01-03
"46439",41732,"nanjing","2020/1/4",129,97,NA,37,6,11,2020-01-04
"46440",41733,"nanjing","2020/1/5",183,80,NA,26,4,9,2020-01-05
"46441",41734,"nanjing","2020/1/6",160,49,NA,28,3,8,2020-01-06
"46442",41735,"nanjing","2020/1/7",120,28,NA,21,2,13,2020-01-07
"46443",41736,"nanjing","2020/1/8",79,54,NA,18,3,11,2020-01-08
"46444",41737,"nanjing","2020/1/9",141,37,NA,26,3,9,2020-01-09
"46445",41738,"nanjing","2020/1/10",119,34,NA,24,2,7,2020-01-10
"46446",41739,"nanjing","2020/1/11",105,37,NA,19,3,8,2020-01-11
"46447",41740,"nanjing","2020/1/12",108,94,NA,23,4,14,2020-01-12
"46448",41741,"nanjing","2020/1/13",187,116,NA,41,5,19,2020-01-13
"46449",41742,"nanjing","2020/1/14",197,115,NA,31,6,17,2020-01-14
"46450",41743,"nanjing","2020/1/15",209,72,NA,27,4,8,2020-01-15
"46451",41744,"nanjing","2020/1/16",162,17,NA,18,1,3,2020-01-16
"46452",41745,"nanjing","2020/1/17",69,57,NA,18,2,5,2020-01-17
"46453",41746,"nanjing","2020/1/18",147,68,NA,22,2,6,2020-01-18
"46454",41747,"nanjing","2020/1/19",162,81,NA,25,3,8,2020-01-19
"46455",41748,"nanjing","2020/1/20",170,90,NA,36,5,11,2020-01-20
"46456",41749,"nanjing","2020/1/21",175,109,NA,29,3,10,2020-01-21
"46457",41750,"nanjing","2020/1/22",192,68,NA,26,2,8,2020-01-22
"46458",41751,"nanjing","2020/1/23",138,38,NA,14,2,2,2020-01-23
"46459",41752,"nanjing","2020/1/24",87,59,NA,11,3,5,2020-01-24
"46460",41753,"nanjing","2020/1/25",129,41,NA,8,3,3,2020-01-25
"46461",41754,"nanjing","2020/1/26",85,28,NA,8,1,4,2020-01-26
"46462",41755,"nanjing","2020/1/27",81,51,NA,9,3,8,2020-01-27
"46463",41756,"nanjing","2020/1/28",135,63,NA,9,3,7,2020-01-28
"46464",41757,"nanjing","2020/1/29",159,55,NA,9,3,6,2020-01-29
"46465",41758,"nanjing","2020/1/30",148,82,NA,11,3,12,2020-01-30
"46466",41759,"nanjing","2020/1/31",176,72,NA,18,3,11,2020-01-31
"46467",41760,"nanjing","2020/2/1",168,44,NA,14,2,10,2020-02-01
"46514",41807,"nanjing","2019/11/17",160,106,NA,43,6,10,2019-11-17
"46515",41808,"nanjing","2019/11/18",168,82,NA,15,4,5,2019-11-18
"46516",41809,"nanjing","2019/11/19",108,101,NA,27,5,8,2019-11-19
"46517",41810,"nanjing","2019/11/20",113,77,NA,27,5,8,2019-11-20
"46518",41811,"nanjing","2019/11/21",100,58,NA,28,3,7,2019-11-21
"46519",41812,"nanjing","2019/11/22",82,55,NA,32,4,7,2019-11-22
"46520",41813,"nanjing","2019/11/23",92,66,NA,31,4,8,2019-11-23
"46521",41814,"nanjing","2019/11/24",126,75,NA,24,4,10,2019-11-24
"46522",41815,"nanjing","2019/11/25",143,34,NA,16,2,8,2019-11-25
"46523",41816,"nanjing","2019/11/26",77,35,NA,22,3,10,2019-11-26
"46524",41817,"nanjing","2019/11/27",71,44,NA,19,2,12,2019-11-27
"46525",41818,"nanjing","2019/11/28",113,39,NA,15,3,8,2019-11-28
"46526",41819,"nanjing","2019/11/29",75,39,NA,23,2,10,2019-11-29
"46527",41820,"nanjing","2019/11/30",73,55,NA,31,3,10,2019-11-30
"46528",41821,"nanjing","2019/12/1",112,38,NA,20,2,11,2019-12-01
"46529",41822,"nanjing","2019/12/2",117,103,NA,30,5,14,2019-12-02
"46530",41823,"nanjing","2019/12/3",186,104,NA,40,7,17,2019-12-03
"46531",41824,"nanjing","2019/12/4",178,81,NA,42,9,12,2019-12-04
"46532",41825,"nanjing","2019/12/5",146,85,NA,38,9,13,2019-12-05
"46533",41826,"nanjing","2019/12/6",157,44,NA,18,4,6,2019-12-06
"46534",41827,"nanjing","2019/12/7",84,68,NA,39,6,9,2019-12-07
"46535",41828,"nanjing","2019/12/8",139,80,NA,42,7,9,2019-12-08
"46536",41829,"nanjing","2019/12/9",156,75,NA,46,9,12,2019-12-09
"46537",41830,"nanjing","2019/12/10",150,84,NA,48,12,17,2019-12-10
"46538",41831,"nanjing","2019/12/11",160,94,NA,39,8,12,2019-12-11
"46539",41832,"nanjing","2019/12/12",171,68,NA,33,4,10,2019-12-12
"46540",41833,"nanjing","2019/12/13",134,78,NA,40,6,11,2019-12-13
"46541",41834,"nanjing","2019/12/14",143,91,NA,29,5,10,2019-12-14
"46542",41835,"nanjing","2019/12/15",162,59,NA,24,4,6,2019-12-15
"46543",41836,"nanjing","2019/12/16",104,70,NA,32,3,8,2019-12-16
"46544",41837,"nanjing","2019/12/17",142,59,NA,24,2,12,2019-12-17
"46545",41838,"nanjing","2019/12/18",145,38,NA,16,2,7,2019-12-18
"46546",41839,"nanjing","2019/12/19",90,45,NA,24,3,10,2019-12-19
"46547",41840,"nanjing","2019/12/20",104,66,NA,30,5,11,2019-12-20
"46548",41841,"nanjing","2019/12/21",145,60,NA,31,3,10,2019-12-21
"46549",41842,"nanjing","2019/12/22",138,49,NA,27,3,10,2019-12-22
"46550",41843,"nanjing","2019/12/23",123,69,NA,29,3,11,2019-12-23
"46551",41844,"nanjing","2019/12/24",157,47,NA,22,2,8,2019-12-24
"46552",41845,"nanjing","2019/12/25",118,55,NA,29,3,9,2019-12-25
"46553",41846,"nanjing","2019/12/26",125,42,NA,18,1,9,2019-12-26
"46554",41847,"nanjing","2019/12/27",122,83,NA,30,4,16,2019-12-27
"46555",41848,"nanjing","2019/12/28",170,80,NA,37,5,13,2019-12-28
"46556",41849,"nanjing","2019/12/29",163,75,NA,35,5,12,2019-12-29
"46557",41850,"nanjing","2019/12/30",159,NA,NA,NA,NA,NA,2019-12-30
"48645",43938,"nanjing","2020/1/1",NA,58,NA,33,3,6,2020-01-01
