"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"51146",46439,"shanghai","2020/2/2",81,33,41,10,4,5,2020-02-02
"51147",46440,"shanghai","2020/2/3",88,53,42,12,4,7,2020-02-03
"51148",46441,"shanghai","2020/2/4",160,18,37,9,3,4,2020-02-04
"51149",46442,"shanghai","2020/2/5",61,28,35,10,3,5,2020-02-05
"51150",46443,"shanghai","2020/2/6",77,19,32,5,NA,4,2020-02-06
"51151",46444,"shanghai","2020/2/7",57,21,33,6,3,5,2020-02-07
"51152",46445,"shanghai","2020/2/8",70,33,32,6,3,5,2020-02-08
"51153",46446,"shanghai","2020/2/9",98,62,39,10,3,8,2020-02-09
"51175",46468,"shanghai","2020/1/2",52,32,15,32,3,5,2020-01-02
"51176",46469,"shanghai","2020/1/3",72,43,11,29,4,6,2020-01-03
"51177",46470,"shanghai","2020/1/4",133,55,23,22,3,6,2020-01-04
"51178",46471,"shanghai","2020/1/5",137,45,25,24,3,5,2020-01-05
"51179",46472,"shanghai","2020/1/6",102,29,29,26,4,6,2020-01-06
"51180",46473,"shanghai","2020/1/7",78,33,12,29,3,11,2020-01-07
"51181",46474,"shanghai","2020/1/8",92,43,19,22,3,11,2020-01-08
"51182",46475,"shanghai","2020/1/9",119,36,23,21,3,8,2020-01-09
"51183",46476,"shanghai","2020/1/10",104,21,22,18,3,6,2020-01-10
"51184",46477,"shanghai","2020/1/11",64,29,25,19,3,7,2020-01-11
"51185",46478,"shanghai","2020/1/12",91,84,27,22,6,15,2020-01-12
"51186",46479,"shanghai","2020/1/13",181,97,28,30,5,14,2020-01-13
"51187",46480,"shanghai","2020/1/14",196,92,27,26,4,14,2020-01-14
"51188",46481,"shanghai","2020/1/15",190,41,28,22,1,5,2020-01-15
"51189",46482,"shanghai","2020/1/16",117,12,28,15,1,4,2020-01-16
"51190",46483,"shanghai","2020/1/17",50,39,25,20,3,8,2020-01-17
"51191",46484,"shanghai","2020/1/18",111,61,24,19,4,10,2020-01-18
"51192",46485,"shanghai","2020/1/19",158,69,29,26,3,11,2020-01-19
"51193",46486,"shanghai","2020/1/20",165,93,46,33,5,15,2020-01-20
"51194",46487,"shanghai","2020/1/21",192,81,47,23,4,10,2020-01-21
"51195",46488,"shanghai","2020/1/22",177,66,31,24,3,12,2020-01-22
"51196",46489,"shanghai","2020/1/23",162,33,28,13,2,8,2020-01-23
