"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"55912",51205,"tangshan","2020/1/2",176,137,8,46,23,24,2020-01-02
"55913",51206,"tangshan","2020/1/3",195,182,8,50,24,21,2020-01-03
"55914",51207,"tangshan","2020/1/4",201,117,18,43,20,18,2020-01-04
"55915",51208,"tangshan","2020/1/5",183,123,13,35,39,30,2020-01-05
"55916",51209,"tangshan","2020/1/6",174,77,12,28,13,16,2020-01-06
"55917",51210,"tangshan","2020/1/7",163,66,21,23,15,14,2020-01-07
"55918",51211,"tangshan","2020/1/8",121,56,24,27,12,7,2020-01-08
"55919",51212,"tangshan","2020/1/9",99,101,12,37,23,22,2020-01-09
"55920",51213,"tangshan","2020/1/10",163,97,16,40,13,18,2020-01-10
"55921",51214,"tangshan","2020/1/11",173,77,21,30,17,16,2020-01-11
"55922",51215,"tangshan","2020/1/12",123,107,14,35,24,17,2020-01-12
"55923",51216,"tangshan","2020/1/13",167,95,22,30,17,NA,2020-01-13
"55924",51217,"tangshan","2020/1/14",155,115,18,37,30,NA,2020-01-14
"55925",51218,"tangshan","2020/1/15",170,125,17,46,17,5,2020-01-15
"55926",51219,"tangshan","2020/1/16",187,127,20,35,21,7,2020-01-16
"55927",51220,"tangshan","2020/1/17",199,118,12,40,20,15,2020-01-17
"55928",51221,"tangshan","2020/1/18",180,208,9,37,6,15,2020-01-18
"55929",51222,"tangshan","2020/1/19",316,116,26,27,6,13,2020-01-19
"55930",51223,"tangshan","2020/1/20",173,83,25,24,12,4,2020-01-20
"55931",51224,"tangshan","2020/1/21",137,108,20,32,15,13,2020-01-21
"55932",51225,"tangshan","2020/1/22",180,195,21,39,20,29,2020-01-22
"55933",51226,"tangshan","2020/1/23",288,139,28,27,13,20,2020-01-23
"55934",51227,"tangshan","2020/1/24",238,71,27,19,22,11,2020-01-24
"55935",51228,"tangshan","2020/1/25",154,96,30,16,8,6,2020-01-25
"55936",51229,"tangshan","2020/1/26",188,164,22,36,38,40,2020-01-26
"55937",51230,"tangshan","2020/1/27",264,167,35,31,26,36,2020-01-27
"55982",51275,"tangshan","2019/11/10",240,87,31,28,10,17,2019-11-10
"55983",51276,"tangshan","2019/11/11",151,76,17,30,14,10,2019-11-11
"55984",51277,"tangshan","2019/11/12",110,113,20,42,16,16,2019-11-12
"55985",51278,"tangshan","2019/11/13",155,81,24,23,9,4,2019-11-13
"55986",51279,"tangshan","2019/11/14",105,104,14,33,28,4,2019-11-14
"55987",51280,"tangshan","2019/11/15",164,94,18,26,34,12,2019-11-15
"55988",51281,"tangshan","2019/11/16",131,77,13,25,31,5,2019-11-16
"55989",51282,"tangshan","2019/11/17",120,107,12,24,14,9,2019-11-17
"55990",51283,"tangshan","2019/11/18",133,70,20,12,4,NA,2019-11-18
"55991",51284,"tangshan","2019/11/19",69,65,19,24,10,NA,2019-11-19
"55992",51285,"tangshan","2019/11/20",84,153,9,45,34,NA,2019-11-20
"55993",51286,"tangshan","2019/11/21",181,224,9,48,38,NA,2019-11-21
"55994",51287,"tangshan","2019/11/22",232,165,17,39,30,NA,2019-11-22
"55995",51288,"tangshan","2019/11/23",211,123,60,35,27,NA,2019-11-23
"55996",51289,"tangshan","2019/11/24",189,68,23,17,13,NA,2019-11-24
"55997",51290,"tangshan","2019/11/25",115,66,17,23,15,1,2019-11-25
"55998",51291,"tangshan","2019/11/26",101,89,16,35,15,11,2019-11-26
"55999",51292,"tangshan","2019/11/27",158,85,43,27,24,NA,2019-11-27
"56000",51293,"tangshan","2019/11/28",123,102,16,31,35,2,2019-11-28
"56001",51294,"tangshan","2019/11/29",143,168,11,43,36,27,2019-11-29
"56002",51295,"tangshan","2019/11/30",199,113,10,32,15,NA,2019-11-30
"56003",51296,"tangshan","2019/12/1",190,64,23,26,12,NA,2019-12-01
"56004",51297,"tangshan","2019/12/2",114,54,25,20,9,NA,2019-12-02
"56005",51298,"tangshan","2019/12/3",80,85,16,30,11,NA,2019-12-03
"56006",51299,"tangshan","2019/12/4",141,99,8,31,24,NA,2019-12-04
"56007",51300,"tangshan","2019/12/5",159,84,14,26,31,7,2019-12-05
"56008",51301,"tangshan","2019/12/6",151,97,13,35,15,13,2019-12-06
"56009",51302,"tangshan","2019/12/7",165,153,13,43,26,26,2019-12-07
"56010",51303,"tangshan","2019/12/8",212,147,9,38,8,22,2019-12-08
"56011",51304,"tangshan","2019/12/9",222,163,5,40,8,19,2019-12-09
"56012",51305,"tangshan","2019/12/10",235,242,5,47,23,35,2019-12-10
"56013",51306,"tangshan","2019/12/11",284,72,30,23,16,9,2019-12-11
"56014",51307,"tangshan","2019/12/12",112,73,20,31,12,12,2019-12-12
"56015",51308,"tangshan","2019/12/13",116,103,11,36,20,21,2019-12-13
"56016",51309,"tangshan","2019/12/14",167,81,21,29,22,12,2019-12-14
"56017",51310,"tangshan","2019/12/15",119,112,6,34,27,14,2019-12-15
"56018",51311,"tangshan","2019/12/16",173,91,4,29,12,25,2019-12-16
"56019",51312,"tangshan","2019/12/17",172,60,25,24,8,13,2019-12-17
"56020",51313,"tangshan","2019/12/18",120,54,21,26,12,12,2019-12-18
"56021",51314,"tangshan","2019/12/19",110,75,27,25,17,13,2019-12-19
"56022",51315,"tangshan","2019/12/20",136,87,14,32,24,18,2019-12-20
"56023",51316,"tangshan","2019/12/21",153,108,10,41,15,20,2019-12-21
"56024",51317,"tangshan","2019/12/22",172,142,6,38,32,38,2019-12-22
"56025",51318,"tangshan","2019/12/23",199,114,19,30,25,32,2019-12-23
"56026",51319,"tangshan","2019/12/24",189,87,10,31,19,20,2019-12-24
"56027",51320,"tangshan","2019/12/25",161,133,15,37,16,23,2019-12-25
"56028",51321,"tangshan","2019/12/26",194,87,20,25,16,10,2019-12-26
"56029",51322,"tangshan","2019/12/27",145,129,9,39,17,17,2019-12-27
"56030",51323,"tangshan","2019/12/28",167,218,9,44,41,54,2019-12-28
"56031",51324,"tangshan","2019/12/29",233,173,25,40,22,42,2019-12-29
