"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"125",125,"tianjin","2020/2/2",66,20,NA,9,2,5,2020-02-02
"126",126,"tianjin","2020/2/3",83,27,NA,9,4,6,2020-02-03
"127",127,"tianjin","2020/2/4",76,33,NA,14,5,10,2020-02-04
"128",128,"tianjin","2020/2/5",86,24,NA,10,3,5,2020-02-05
"154",154,"tianjin","2020/1/2",147,74,NA,40,10,14,2020-01-02
"155",155,"tianjin","2020/1/3",154,104,NA,49,16,22,2020-01-03
"156",156,"tianjin","2020/1/4",191,112,NA,50,12,23,2020-01-04
"157",157,"tianjin","2020/1/5",201,54,NA,34,6,13,2020-01-05
"158",158,"tianjin","2020/1/6",132,60,NA,30,3,16,2020-01-06
"159",159,"tianjin","2020/1/7",155,16,NA,23,3,13,2020-01-07
"160",160,"tianjin","2020/1/8",106,22,NA,18,1,7,2020-01-08
"161",161,"tianjin","2020/1/9",54,79,NA,35,4,13,2020-01-09
"162",162,"tianjin","2020/1/10",164,59,NA,31,3,10,2020-01-10
"163",163,"tianjin","2020/1/11",151,36,NA,21,6,8,2020-01-11
"164",164,"tianjin","2020/1/12",79,34,NA,28,4,6,2020-01-12
"165",165,"tianjin","2020/1/13",94,21,NA,16,2,4,2020-01-13
"166",166,"tianjin","2020/1/14",60,35,NA,22,5,8,2020-01-14
"167",167,"tianjin","2020/1/15",83,91,NA,34,6,16,2020-01-15
"168",168,"tianjin","2020/1/16",210,135,NA,44,9,24,2020-01-16
"169",169,"tianjin","2020/1/17",297,127,NA,43,7,24,2020-01-17
"170",170,"tianjin","2020/1/18",299,183,NA,25,4,24,2020-01-18
"171",171,"tianjin","2020/1/19",289,58,NA,21,3,11,2020-01-19
"172",172,"tianjin","2020/1/20",151,24,NA,14,2,6,2020-01-20
"173",173,"tianjin","2020/1/21",64,49,NA,27,9,11,2020-01-21
"174",174,"tianjin","2020/1/22",117,92,NA,37,5,20,2020-01-22
"175",175,"tianjin","2020/1/23",218,79,NA,25,6,15,2020-01-23
"176",176,"tianjin","2020/1/24",216,NA,NA,11,4,6,2020-01-24
"177",177,"tianjin","2020/1/25",133,84,NA,16,5,8,2020-01-25
"178",178,"tianjin","2020/1/26",143,130,NA,20,6,17,2020-01-26
"179",179,"tianjin","2020/1/27",267,109,NA,19,5,17,2020-01-27
"180",180,"tianjin","2020/1/28",276,136,NA,19,8,21,2020-01-28
"181",181,"tianjin","2020/1/29",278,NA,NA,16,5,14,2020-01-29
"182",182,"tianjin","2020/1/30",160,31,NA,15,10,13,2020-01-30
"183",183,"tianjin","2020/1/31",87,69,NA,18,9,13,2020-01-31
"184",184,"tianjin","2020/2/1",164,32,NA,8,2,4,2020-02-01
"233",233,"tianjin","2019/11/19",68,54,NA,22,3,8,2019-11-19
"234",234,"tianjin","2019/11/20",82,98,NA,40,14,16,2019-11-20
"235",235,"tianjin","2019/11/21",143,108,NA,46,10,18,2019-11-21
"236",236,"tianjin","2019/11/22",179,101,NA,40,7,19,2019-11-22
"237",237,"tianjin","2019/11/23",185,101,NA,39,9,25,2019-11-23
"238",238,"tianjin","2019/11/24",192,32,NA,11,1,6,2019-11-24
"239",239,"tianjin","2019/11/25",70,25,NA,15,3,6,2019-11-25
"240",240,"tianjin","2019/11/26",56,54,NA,28,8,12,2019-11-26
"241",241,"tianjin","2019/11/27",123,50,NA,26,7,12,2019-11-27
"242",242,"tianjin","2019/11/28",90,39,NA,24,6,7,2019-11-28
"243",243,"tianjin","2019/11/29",81,57,NA,31,8,10,2019-11-29
"244",244,"tianjin","2019/11/30",144,68,NA,30,5,8,2019-11-30
"245",245,"tianjin","2019/12/1",166,25,NA,13,2,5,2019-12-01
"246",246,"tianjin","2019/12/2",55,28,NA,16,3,7,2019-12-02
"247",247,"tianjin","2019/12/3",51,59,NA,29,6,12,2019-12-03
"248",248,"tianjin","2019/12/4",125,49,NA,29,5,10,2019-12-04
"249",249,"tianjin","2019/12/5",91,43,NA,19,7,8,2019-12-05
"250",250,"tianjin","2019/12/6",97,46,NA,26,6,7,2019-12-06
"251",251,"tianjin","2019/12/7",112,93,NA,36,4,14,2019-12-07
"252",252,"tianjin","2019/12/8",200,100,NA,28,3,13,2019-12-08
"253",253,"tianjin","2019/12/9",205,124,NA,38,2,20,2019-12-09
"254",254,"tianjin","2019/12/10",231,102,NA,40,2,27,2019-12-10
"255",255,"tianjin","2019/12/11",215,26,NA,17,1,4,2019-12-11
"256",256,"tianjin","2019/12/12",57,29,NA,27,5,10,2019-12-12
"257",257,"tianjin","2019/12/13",65,51,NA,18,7,10,2019-12-13
"258",258,"tianjin","2019/12/14",111,31,NA,20,5,8,2019-12-14
"259",259,"tianjin","2019/12/15",61,48,NA,28,10,9,2019-12-15
"260",260,"tianjin","2019/12/16",116,66,NA,25,4,13,2019-12-16
"261",261,"tianjin","2019/12/17",148,18,NA,9,1,4,2019-12-17
"262",262,"tianjin","2019/12/18",62,24,NA,16,4,7,2019-12-18
"263",263,"tianjin","2019/12/19",64,25,NA,17,3,6,2019-12-19
"264",264,"tianjin","2019/12/20",73,32,NA,27,5,8,2019-12-20
"265",265,"tianjin","2019/12/21",74,66,NA,37,6,17,2019-12-21
"266",266,"tianjin","2019/12/22",152,92,NA,43,7,24,2019-12-22
"267",267,"tianjin","2019/12/23",192,64,NA,30,6,21,2019-12-23
"268",268,"tianjin","2019/12/24",153,47,NA,25,7,14,2019-12-24
"269",269,"tianjin","2019/12/25",127,56,NA,27,4,15,2019-12-25
"270",270,"tianjin","2019/12/26",148,51,NA,26,3,12,2019-12-26
"271",271,"tianjin","2019/12/27",111,72,NA,34,9,12,2019-12-27
"272",272,"tianjin","2019/12/28",151,86,NA,42,7,17,2019-12-28
"273",273,"tianjin","2019/12/29",172,84,NA,37,5,16,2019-12-29
"274",274,"tianjin","2019/12/30",175,NA,NA,NA,NA,NA,2019-12-30
"2361",2361,"tianjin","2020/1/1",NA,63,NA,34,8,12,2020-01-01
