"","X.1","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"58280",58280,53573,"wuhan","2020/1/2",136,81,4,24,4,11,2020-01-02
"58281",58281,53574,"wuhan","2020/1/3",165,86,5,25,3,9,2020-01-03
"58282",58282,53575,"wuhan","2020/1/4",182,104,3,27,3,13,2020-01-04
"58283",58283,53576,"wuhan","2020/1/5",194,82,2,22,4,14,2020-01-05
"58284",58284,53577,"wuhan","2020/1/6",165,29,5,21,3,14,2020-01-06
"58285",58285,53578,"wuhan","2020/1/7",70,23,19,20,2,13,2020-01-07
"58286",58286,53579,"wuhan","2020/1/8",71,49,21,20,5,12,2020-01-08
"58287",58287,53580,"wuhan","2020/1/9",129,22,19,18,3,8,2020-01-09
"58288",58288,53581,"wuhan","2020/1/10",71,31,14,16,2,8,2020-01-10
"58289",58289,53582,"wuhan","2020/1/11",105,39,14,19,2,7,2020-01-11
"58290",58290,53583,"wuhan","2020/1/12",119,70,15,33,4,15,2020-01-12
"58291",58291,53584,"wuhan","2020/1/13",163,58,24,27,4,11,2020-01-13
"58292",58292,53585,"wuhan","2020/1/14",145,89,32,22,5,13,2020-01-14
"58293",58293,53586,"wuhan","2020/1/15",187,77,28,22,5,14,2020-01-15
"58294",58294,53587,"wuhan","2020/1/16",177,54,18,15,2,9,2020-01-16
"58295",58295,53588,"wuhan","2020/1/17",159,46,19,19,3,8,2020-01-17
"58296",58296,53589,"wuhan","2020/1/18",142,61,26,29,5,13,2020-01-18
"58297",58297,53590,"wuhan","2020/1/19",158,85,32,27,4,11,2020-01-19
"58298",58298,53591,"wuhan","2020/1/20",184,95,25,44,5,18,2020-01-20
"58299",58299,53592,"wuhan","2020/1/21",186,79,23,26,4,13,2020-01-21
"58300",58300,53593,"wuhan","2020/1/22",176,73,21,17,3,11,2020-01-22
"58345",58345,53638,"wuhan","2019/11/5",175,79,50,34,10,15,2019-11-05
"58346",58346,53639,"wuhan","2019/11/6",165,72,43,35,7,11,2019-11-06
"58347",58347,53640,"wuhan","2019/11/7",147,69,56,26,5,8,2019-11-07
"58348",58348,53641,"wuhan","2019/11/8",136,72,58,42,12,19,2019-11-08
"58349",58349,53642,"wuhan","2019/11/9",153,82,54,48,7,11,2019-11-09
"58350",58350,53643,"wuhan","2019/11/10",160,85,44,44,7,10,2019-11-10
"58351",58351,53644,"wuhan","2019/11/11",152,81,48,47,7,11,2019-11-11
"58352",58352,53645,"wuhan","2019/11/12",151,69,40,26,7,10,2019-11-12
"58353",58353,53646,"wuhan","2019/11/13",140,59,26,24,4,8,2019-11-13
"58354",58354,53647,"wuhan","2019/11/14",104,56,27,31,5,7,2019-11-14
"58355",58355,53648,"wuhan","2019/11/15",84,67,34,39,10,10,2019-11-15
"58356",58356,53649,"wuhan","2019/11/16",116,94,29,53,12,14,2019-11-16
"58357",58357,53650,"wuhan","2019/11/17",152,89,21,32,5,12,2019-11-17
"58358",58358,53651,"wuhan","2019/11/18",174,57,26,16,3,5,2019-11-18
"58359",58359,53652,"wuhan","2019/11/19",83,76,20,28,6,8,2019-11-19
"58360",58360,53653,"wuhan","2019/11/20",111,72,26,33,6,7,2019-11-20
"58361",58361,53654,"wuhan","2019/11/21",120,81,15,41,9,10,2019-11-21
"58362",58362,53655,"wuhan","2019/11/22",150,101,35,48,10,13,2019-11-22
"58363",58363,53656,"wuhan","2019/11/23",159,88,18,51,10,13,2019-11-23
"58364",58364,53657,"wuhan","2019/11/24",155,112,24,30,6,12,2019-11-24
"58365",58365,53658,"wuhan","2019/11/25",184,29,19,11,3,6,2019-11-25
"58366",58366,53659,"wuhan","2019/11/26",80,37,11,16,4,10,2019-11-26
"58367",58367,53660,"wuhan","2019/11/27",98,24,17,14,3,7,2019-11-27
"58368",58368,53661,"wuhan","2019/11/28",80,73,14,23,14,12,2019-11-28
"58369",58369,53662,"wuhan","2019/11/29",164,57,20,23,6,9,2019-11-29
"58370",58370,53663,"wuhan","2019/11/30",119,53,12,22,4,6,2019-11-30
"58371",58371,53664,"wuhan","2019/12/1",143,67,21,22,4,8,2019-12-01
"58372",58372,53665,"wuhan","2019/12/2",164,76,27,34,10,13,2019-12-02
"58373",58373,53666,"wuhan","2019/12/3",161,82,17,48,5,16,2019-12-03
"58374",58374,53667,"wuhan","2019/12/4",162,89,25,52,7,18,2019-12-04
"58375",58375,53668,"wuhan","2019/12/5",162,73,30,40,7,13,2019-12-05
"58376",58376,53669,"wuhan","2019/12/6",140,85,35,38,11,13,2019-12-06
"58377",58377,53670,"wuhan","2019/12/7",178,84,34,44,9,12,2019-12-07
"58378",58378,53671,"wuhan","2019/12/8",169,85,33,46,9,13,2019-12-08
"58379",58379,53672,"wuhan","2019/12/9",166,89,28,54,9,13,2019-12-09
"58380",58380,53673,"wuhan","2019/12/10",163,107,15,60,10,17,2019-12-10
"58381",58381,53674,"wuhan","2019/12/11",173,103,29,52,9,18,2019-12-11
"58382",58382,53675,"wuhan","2019/12/12",173,86,33,43,9,13,2019-12-12
"58383",58383,53676,"wuhan","2019/12/13",160,112,19,55,10,14,2019-12-13
"58384",58384,53677,"wuhan","2019/12/14",181,123,25,39,11,18,2019-12-14
"58385",58385,53678,"wuhan","2019/12/15",206,105,18,33,14,19,2019-12-15
"58386",58386,53679,"wuhan","2019/12/16",184,70,5,23,4,9,2019-12-16
"58387",58387,53680,"wuhan","2019/12/17",155,55,8,22,4,10,2019-12-17
"58388",58388,53681,"wuhan","2019/12/18",137,63,8,18,3,10,2019-12-18
"58389",58389,53682,"wuhan","2019/12/19",159,45,18,22,12,9,2019-12-19
"58390",58390,53683,"wuhan","2019/12/20",112,62,7,26,6,11,2019-12-20
"58391",58391,53684,"wuhan","2019/12/21",147,60,5,29,5,11,2019-12-21
"58392",58392,53685,"wuhan","2019/12/22",150,53,23,24,4,7,2019-12-22
"58393",58393,53686,"wuhan","2019/12/23",152,58,14,23,6,10,2019-12-23
"58394",58394,53687,"wuhan","2019/12/24",143,74,6,24,5,15,2019-12-24
"58395",58395,53688,"wuhan","2019/12/25",171,51,5,18,4,13,2019-12-25
"58396",58396,53689,"wuhan","2019/12/26",129,66,21,21,5,12,2019-12-26
"58397",58397,53690,"wuhan","2019/12/27",151,82,21,33,6,13,2019-12-27
"58398",58398,53691,"wuhan","2019/12/28",169,87,5,39,14,16,2019-12-28
"58399",58399,53692,"wuhan","2019/12/29",167,61,17,28,4,10,2019-12-29
"58400",58400,53693,"wuhan","2019/12/30",150,NA,NA,NA,NA,NA,2019-12-30
"60352",60352,55645,"wuhan","2020/1/1",NA,65,7,29,7,12,2020-01-01
