"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"60502",55795,"wuxi","2020/2/2",136,40,NA,13,4,5,2020-02-02
"60531",55824,"wuxi","2020/1/2",79,63,NA,30,3,9,2020-01-02
"60532",55825,"wuxi","2020/1/3",122,67,NA,23,3,9,2020-01-03
"60533",55826,"wuxi","2020/1/4",127,82,NA,31,4,12,2020-01-04
"60534",55827,"wuxi","2020/1/5",165,63,NA,22,4,8,2020-01-05
"60535",55828,"wuxi","2020/1/6",130,63,NA,27,5,12,2020-01-06
"60536",55829,"wuxi","2020/1/7",114,64,NA,21,2,16,2020-01-07
"60537",55830,"wuxi","2020/1/8",117,56,NA,18,3,10,2020-01-08
"60538",55831,"wuxi","2020/1/9",123,51,NA,23,4,11,2020-01-09
"60539",55832,"wuxi","2020/1/10",116,37,NA,19,2,6,2020-01-10
"60540",55833,"wuxi","2020/1/11",76,50,NA,22,3,9,2020-01-11
"60541",55834,"wuxi","2020/1/12",117,88,NA,23,6,16,2020-01-12
"60542",55835,"wuxi","2020/1/13",179,114,NA,33,5,17,2020-01-13
"60543",55836,"wuxi","2020/1/14",202,122,NA,33,6,19,2020-01-14
"60544",55837,"wuxi","2020/1/15",222,59,NA,23,4,8,2020-01-15
"60545",55838,"wuxi","2020/1/16",136,29,NA,14,2,4,2020-01-16
"60546",55839,"wuxi","2020/1/17",53,55,NA,20,3,9,2020-01-17
"60547",55840,"wuxi","2020/1/18",132,69,NA,21,4,10,2020-01-18
"60548",55841,"wuxi","2020/1/19",159,74,NA,22,4,11,2020-01-19
"60549",55842,"wuxi","2020/1/20",164,100,NA,30,5,16,2020-01-20
"60550",55843,"wuxi","2020/1/21",188,97,NA,24,3,12,2020-01-21
"60551",55844,"wuxi","2020/1/22",186,74,NA,22,2,13,2020-01-22
"60552",55845,"wuxi","2020/1/23",168,42,NA,13,2,7,2020-01-23
"60553",55846,"wuxi","2020/1/24",94,63,NA,10,2,8,2020-01-24
"60554",55847,"wuxi","2020/1/25",125,45,NA,8,2,6,2020-01-25
"60555",55848,"wuxi","2020/1/26",81,30,NA,6,2,6,2020-01-26
"60556",55849,"wuxi","2020/1/27",55,37,NA,7,1,7,2020-01-27
"60557",55850,"wuxi","2020/1/28",79,67,NA,8,3,11,2020-01-28
"60558",55851,"wuxi","2020/1/29",159,62,NA,7,4,7,2020-01-29
"60559",55852,"wuxi","2020/1/30",154,69,NA,9,6,11,2020-01-30
"60560",55853,"wuxi","2020/1/31",162,75,NA,15,5,10,2020-01-31
"60561",55854,"wuxi","2020/2/1",163,57,NA,18,4,8,2020-02-01
"60607",55900,"wuxi","2019/11/16",105,74,NA,48,6,8,2019-11-16
"60608",55901,"wuxi","2019/11/17",126,81,NA,37,5,9,2019-11-17
