"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"65242",60535,"yangzhou","2020/2/2",119,50,NA,11,5,7,2020-02-02
"65243",60536,"yangzhou","2020/2/3",124,55,NA,5,3,6,2020-02-03
"65244",60537,"yangzhou","2020/2/4",138,47,NA,8,4,6,2020-02-04
"65271",60564,"yangzhou","2020/1/2",120,56,NA,19,3,7,2020-01-02
"65272",60565,"yangzhou","2020/1/3",140,57,NA,15,2,8,2020-01-03
"65273",60566,"yangzhou","2020/1/4",126,101,NA,21,7,13,2020-01-04
"65274",60567,"yangzhou","2020/1/5",197,54,NA,18,3,9,2020-01-05
"65275",60568,"yangzhou","2020/1/6",151,36,NA,20,3,8,2020-01-06
"65276",60569,"yangzhou","2020/1/7",84,15,NA,18,2,10,2020-01-07
"65277",60570,"yangzhou","2020/1/8",49,41,NA,13,2,7,2020-01-08
"65278",60571,"yangzhou","2020/1/9",110,44,NA,17,2,6,2020-01-09
"65279",60572,"yangzhou","2020/1/10",112,34,NA,15,3,5,2020-01-10
"65280",60573,"yangzhou","2020/1/11",92,40,NA,13,3,6,2020-01-11
"65281",60574,"yangzhou","2020/1/12",126,102,NA,22,3,11,2020-01-12
"65282",60575,"yangzhou","2020/1/13",217,147,NA,36,5,16,2020-01-13
"65283",60576,"yangzhou","2020/1/14",286,88,NA,25,4,13,2020-01-14
"65284",60577,"yangzhou","2020/1/15",237,59,NA,17,4,6,2020-01-15
"65285",60578,"yangzhou","2020/1/16",140,16,NA,10,2,5,2020-01-16
"65286",60579,"yangzhou","2020/1/17",64,57,NA,13,3,7,2020-01-17
"65287",60580,"yangzhou","2020/1/18",149,68,NA,15,3,8,2020-01-18
"65288",60581,"yangzhou","2020/1/19",173,99,NA,28,4,10,2020-01-19
"65289",60582,"yangzhou","2020/1/20",190,91,NA,23,5,11,2020-01-20
"65290",60583,"yangzhou","2020/1/21",199,104,NA,23,4,12,2020-01-21
"65291",60584,"yangzhou","2020/1/22",212,46,NA,11,2,6,2020-01-22
"65292",60585,"yangzhou","2020/1/23",113,32,NA,6,3,4,2020-01-23
"65293",60586,"yangzhou","2020/1/24",76,52,NA,4,3,5,2020-01-24
"65294",60587,"yangzhou","2020/1/25",115,35,NA,2,2,3,2020-01-25
"65295",60588,"yangzhou","2020/1/26",58,31,NA,2,2,5,2020-01-26
"65296",60589,"yangzhou","2020/1/27",84,42,NA,3,2,7,2020-01-27
"65297",60590,"yangzhou","2020/1/28",143,60,NA,4,3,6,2020-01-28
"65298",60591,"yangzhou","2020/1/29",167,65,NA,3,5,7,2020-01-29
"65299",60592,"yangzhou","2020/1/30",162,62,NA,4,4,9,2020-01-30
"65300",60593,"yangzhou","2020/1/31",176,51,NA,6,4,7,2020-01-31
"65301",60594,"yangzhou","2020/2/1",155,47,NA,11,5,7,2020-02-01
"65349",60642,"yangzhou","2019/11/18",161,96,NA,12,3,3,2019-11-18
"65350",60643,"yangzhou","2019/11/19",88,94,NA,19,5,2,2019-11-19
"65351",60644,"yangzhou","2019/11/20",74,79,NA,22,6,4,2019-11-20
"65352",60645,"yangzhou","2019/11/21",78,54,NA,20,6,3,2019-11-21
"65353",60646,"yangzhou","2019/11/22",55,57,NA,26,7,6,2019-11-22
"65354",60647,"yangzhou","2019/11/23",92,69,NA,29,6,6,2019-11-23
"65355",60648,"yangzhou","2019/11/24",122,55,NA,11,4,4,2019-11-24
"65356",60649,"yangzhou","2019/11/25",90,31,NA,9,2,2,2019-11-25
"65357",60650,"yangzhou","2019/11/26",28,32,NA,13,2,2,2019-11-26
"65358",60651,"yangzhou","2019/11/27",34,38,NA,13,2,3,2019-11-27
"65359",60652,"yangzhou","2019/11/28",72,31,NA,9,2,2,2019-11-28
"65360",60653,"yangzhou","2019/11/29",16,34,NA,14,2,2,2019-11-29
"65361",60654,"yangzhou","2019/11/30",33,59,NA,30,4,6,2019-11-30
"65362",60655,"yangzhou","2019/12/1",102,41,NA,18,3,6,2019-12-01
"65363",60656,"yangzhou","2019/12/2",95,70,NA,23,5,6,2019-12-02
"65364",60657,"yangzhou","2019/12/3",140,95,NA,36,6,7,2019-12-03
"65365",60658,"yangzhou","2019/12/4",155,74,NA,37,7,6,2019-12-04
"65366",60659,"yangzhou","2019/12/5",121,75,NA,31,8,6,2019-12-05
"65367",60660,"yangzhou","2019/12/6",129,41,NA,13,3,5,2019-12-06
"65368",60661,"yangzhou","2019/12/7",49,68,NA,32,5,8,2019-12-07
"65369",60662,"yangzhou","2019/12/8",116,89,NA,37,7,6,2019-12-08
"65370",60663,"yangzhou","2019/12/9",152,81,NA,42,8,7,2019-12-09
"65371",60664,"yangzhou","2019/12/10",139,84,NA,48,10,8,2019-12-10
"65372",60665,"yangzhou","2019/12/11",141,89,NA,27,6,7,2019-12-11
"65373",60666,"yangzhou","2019/12/12",143,67,NA,20,6,7,2019-12-12
"65374",60667,"yangzhou","2019/12/13",113,75,NA,31,7,8,2019-12-13
"65375",60668,"yangzhou","2019/12/14",116,72,NA,14,4,6,2019-12-14
