"","X","id","date","pm25","pm10","o3","no2","so2","co","newdate"
"67611",62904,"yibin","2020/2/2",125,53,18,6,2,8,2020-02-02
"67612",62905,"yibin","2020/2/3",131,35,31,7,2,6,2020-02-03
"67613",62906,"yibin","2020/2/4",90,48,23,11,5,7,2020-02-04
"67614",62907,"yibin","2020/2/5",121,56,21,10,3,7,2020-02-05
"67640",62933,"yibin","2020/1/2",191,110,10,20,5,11,2020-01-02
"67641",62934,"yibin","2020/1/3",207,102,18,22,5,10,2020-01-03
"67642",62935,"yibin","2020/1/4",193,97,20,21,7,10,2020-01-04
"67643",62936,"yibin","2020/1/5",185,100,20,19,4,8,2020-01-05
"67644",62937,"yibin","2020/1/6",185,76,20,17,3,10,2020-01-06
"67645",62938,"yibin","2020/1/7",169,62,25,20,5,10,2020-01-07
"67646",62939,"yibin","2020/1/8",149,77,20,25,5,10,2020-01-08
"67647",62940,"yibin","2020/1/9",162,84,25,26,6,10,2020-01-09
"67648",62941,"yibin","2020/1/10",168,61,21,14,3,10,2020-01-10
"67649",62942,"yibin","2020/1/11",136,55,38,18,3,11,2020-01-11
"67650",62943,"yibin","2020/1/12",127,63,37,25,8,12,2020-01-12
"67651",62944,"yibin","2020/1/13",144,73,21,20,5,11,2020-01-13
"67652",62945,"yibin","2020/1/14",161,87,16,19,4,11,2020-01-14
"67653",62946,"yibin","2020/1/15",169,62,17,14,3,10,2020-01-15
"67654",62947,"yibin","2020/1/16",141,61,16,15,4,9,2020-01-16
"67655",62948,"yibin","2020/1/17",146,73,13,19,5,11,2020-01-17
"67656",62949,"yibin","2020/1/18",163,71,16,15,3,10,2020-01-18
"67657",62950,"yibin","2020/1/19",157,60,24,17,3,11,2020-01-19
"67658",62951,"yibin","2020/1/20",139,70,26,17,4,10,2020-01-20
"67659",62952,"yibin","2020/1/21",158,83,31,16,4,9,2020-01-21
"67660",62953,"yibin","2020/1/22",166,87,33,19,5,10,2020-01-22
"67661",62954,"yibin","2020/1/23",170,93,32,14,3,10,2020-01-23
"67662",62955,"yibin","2020/1/24",174,95,20,10,2,10,2020-01-24
"67663",62956,"yibin","2020/1/25",176,53,29,7,2,8,2020-01-25
"67664",62957,"yibin","2020/1/26",128,52,27,8,4,8,2020-01-26
"67665",62958,"yibin","2020/1/27",117,53,19,7,2,8,2020-01-27
"67666",62959,"yibin","2020/1/28",129,47,17,7,2,9,2020-01-28
"67667",62960,"yibin","2020/1/29",111,52,23,8,3,9,2020-01-29
"67668",62961,"yibin","2020/1/30",125,61,15,10,2,9,2020-01-30
"67669",62962,"yibin","2020/1/31",152,50,26,7,2,7,2020-01-31
"67670",62963,"yibin","2020/2/1",117,51,23,8,2,7,2020-02-01
"67719",63012,"yibin","2019/11/19",73,65,19,16,3,4,2019-11-19
"67720",63013,"yibin","2019/11/20",113,78,10,17,2,5,2019-11-20
"67721",63014,"yibin","2019/11/21",148,73,20,19,5,7,2019-11-21
"67722",63015,"yibin","2019/11/22",154,74,8,20,3,7,2019-11-22
"67723",63016,"yibin","2019/11/23",162,69,16,18,5,7,2019-11-23
"67724",63017,"yibin","2019/11/24",158,47,19,14,2,6,2019-11-24
"67725",63018,"yibin","2019/11/25",109,30,23,14,3,5,2019-11-25
"67726",63019,"yibin","2019/11/26",67,45,17,14,2,5,2019-11-26
"67727",63020,"yibin","2019/11/27",106,68,19,16,3,5,2019-11-27
"67728",63021,"yibin","2019/11/28",153,65,7,17,2,6,2019-11-28
"67729",63022,"yibin","2019/11/29",146,52,6,15,3,6,2019-11-29
"67730",63023,"yibin","2019/11/30",120,45,11,14,2,7,2019-11-30
"67731",63024,"yibin","2019/12/1",102,45,25,15,2,7,2019-12-01
"67732",63025,"yibin","2019/12/2",96,47,25,19,3,6,2019-12-02
"67733",63026,"yibin","2019/12/3",92,72,15,23,8,8,2019-12-03
"67734",63027,"yibin","2019/12/4",152,77,18,21,4,8,2019-12-04
"67735",63028,"yibin","2019/12/5",162,65,23,19,5,7,2019-12-05
"67736",63029,"yibin","2019/12/6",150,62,22,18,4,8,2019-12-06
"67737",63030,"yibin","2019/12/7",143,82,28,19,4,9,2019-12-07
"67738",63031,"yibin","2019/12/8",168,104,13,21,5,10,2019-12-08
"67739",63032,"yibin","2019/12/9",193,87,30,21,7,10,2019-12-09
"67740",63033,"yibin","2019/12/10",179,91,24,27,6,10,2019-12-10
"67741",63034,"yibin","2019/12/11",184,108,5,24,7,12,2019-12-11
"67742",63035,"yibin","2019/12/12",216,109,15,23,4,10,2019-12-12
"67743",63036,"yibin","2019/12/13",206,94,10,22,4,10,2019-12-13
"67744",63037,"yibin","2019/12/14",189,100,27,20,4,8,2019-12-14
"67745",63038,"yibin","2019/12/15",184,101,29,24,8,9,2019-12-15
"67746",63039,"yibin","2019/12/16",192,102,34,24,3,10,2019-12-16
"67747",63040,"yibin","2019/12/17",193,62,22,17,3,9,2019-12-17
"67748",63041,"yibin","2019/12/18",142,48,22,13,2,6,2019-12-18
"67749",63042,"yibin","2019/12/19",109,34,21,12,4,6,2019-12-19
"67750",63043,"yibin","2019/12/20",85,52,11,16,3,7,2019-12-20
"67751",63044,"yibin","2019/12/21",136,56,12,18,2,7,2019-12-21
"67752",63045,"yibin","2019/12/22",134,61,16,20,4,9,2019-12-22
"67753",63046,"yibin","2019/12/23",153,67,15,22,4,9,2019-12-23
"67754",63047,"yibin","2019/12/24",158,79,9,17,3,10,2019-12-24
"67755",63048,"yibin","2019/12/25",167,78,15,18,3,8,2019-12-25
"67756",63049,"yibin","2019/12/26",165,50,20,16,2,6,2019-12-26
"67757",63050,"yibin","2019/12/27",109,50,14,19,6,7,2019-12-27
"67758",63051,"yibin","2019/12/28",115,61,15,20,5,7,2019-12-28
"67759",63052,"yibin","2019/12/29",148,74,16,23,8,9,2019-12-29
"67760",63053,"yibin","2019/12/30",165,NA,NA,NA,NA,NA,2019-12-30
"69849",65142,"yibin","2020/1/1",NA,101,16,21,3,11,2020-01-01
