date, pm25, pm10, o3, no2, so2, co
2020/7/2, 54, 56, 43, 18, 9, 15
2020/7/3, 83, 50, 44, 13, 6, 11
2020/7/4, 91, 64, 18, 14, 4, 14
2020/7/5, 115, , , , , 
2020/6/2, 55, 50, 46, 22, 22, 12
2020/6/3, 98, 55, 57, 23, 33, 19
2020/6/4, 94, 52, 37, 15, 9, 8
2020/6/5, 70, 55, 48, 17, 7, 10
2020/6/6, 81, 55, 62, 16, 6, 7
2020/6/7, 77, 66, 64, 20, 20, 15
2020/6/8, 93, 106, 62, 23, 29, 23
2020/6/9, 101, 68, 65, 19, 26, 19
2020/6/10, 116, 59, 42, 18, 22, 18
2020/6/11, 104, 50, 69, 17, 10, 12
2020/6/12, 91, 71, 77, 19, 17, 16
2020/6/13, 115, 64, 61, 17, 18, 15
2020/6/14, 85, 49, 43, 12, 10, 9
2020/6/15, 64, 51, 41, 15, 9, 14
2020/6/16, 69, 63, 57, 20, 18, 11
2020/6/17, 105, 66, 85, 22, 12, 18
2020/6/18, 93, 60, 84, 21, 11, 10
2020/6/19, 96, 68, 83, 19, 10, 11
2020/6/20, 70, 70, 88, 23, 18, 21
2020/6/21, 114, 70, 89, 22, 21, 21
2020/6/22, 133, 48, 60, 15, 16, 18
2020/6/23, 96, 48, 48, 21, 25, 22
2020/6/24, 87, 27, 35, 10, 5, 7
2020/6/25, 55, 28, 39, 10, 4, 7
2020/6/26, 48, 30, 34, 10, 6, 6
2020/6/27, 64, 45, 49, 11, 6, 9
2020/6/28, 83, 58, 63, 16, 8, 17
2020/6/29, 111, 62, 45, 20, 10, 16
2020/6/30, 100, 76, 42, 22, 6, 15
2020/7/1, 128, 39, 41, 11, 5, 10
2020/5/2, 119, 62, 70, 26, 35, 24
2020/5/3, 111, 43, 43, 15, 19, 14
2020/5/4, 84, 29, 38, 9, 3, 5
2020/5/5, 75, 64, 64, 19, 14, 14
2020/5/6, 116, 66, 47, 17, 5, 7
2020/5/7, 78, 71, 59, 22, 18, 15
